timestamp,action,pod
2025-05-10 00:33:02,ADD,mbw-s9x2g
2025-05-10 00:33:02,ADD,mbw-4tfbs
2025-05-10 00:33:07,ADD,mbw-jhzv5
2025-05-10 00:33:23,ADD,step-load-8476d48fcd-c26md
2025-05-10 00:43:03,DEL,mbw-s9x2g
2025-05-10 00:43:03,DEL,mbw-4tfbs
2025-05-10 00:43:08,ADD,mbw-nvdzp
2025-05-10 00:43:08,ADD,mbw-2zcn6
2025-05-10 00:43:08,DEL,mbw-jhzv5
2025-05-10 00:50:02,ADD,nginx-7c4b4649d-r5lmz
2025-05-10 00:52:57,ADD,nginx-7c4b4649d-8wcjj
2025-05-10 00:52:57,ADD,nginx-7c4b4649d-ml5rl
2025-05-10 00:53:07,DEL,mbw-nvdzp
2025-05-10 00:53:12,ADD,mbw-n862g
2025-05-10 00:53:12,ADD,mbw-5jpr8
2025-05-10 00:53:12,DEL,mbw-2zcn6
2025-05-10 01:00:25,DEL,nginx-7c4b4649d-8wcjj
2025-05-10 01:00:25,DEL,nginx-7c4b4649d-ml5rl
2025-05-10 01:00:25,DEL,nginx-7c4b4649d-r5lmz
2025-05-10 01:01:42,ADD,step-load-8476d48fcd-6pgw4
2025-05-10 01:02:23,ADD,nginx-7c4b4649d-czftq
2025-05-10 01:03:14,DEL,mbw-n862g
2025-05-10 01:03:14,DEL,mbw-5jpr8
2025-05-10 01:07:50,ADD,step-load-8476d48fcd-wc9xv
2025-05-10 01:07:55,ADD,nginx-7c4b4649d-79wp6
2025-05-10 01:07:55,ADD,nginx-7c4b4649d-t7ctj
2025-05-10 01:10:13,ADD,step-load-8476d48fcd-7xcwg
2025-05-10 01:12:57,ADD,nginx-7c4b4649d-s6wzx
2025-05-10 01:12:57,ADD,nginx-7c4b4649d-982mm
2025-05-10 01:30:12,DEL,nginx-7c4b4649d-s6wzx
2025-05-10 01:30:43,ADD,mbw-2gz2f
2025-05-10 01:30:43,DEL,step-load-8476d48fcd-6pgw4
2025-05-10 01:30:43,DEL,step-load-8476d48fcd-7xcwg
2025-05-10 01:30:43,DEL,step-load-8476d48fcd-wc9xv
2025-05-10 01:30:48,ADD,mbw-n5q8b
2025-05-10 01:35:46,DEL,nginx-7c4b4649d-czftq
2025-05-10 01:35:46,DEL,nginx-7c4b4649d-79wp6
2025-05-10 01:47:35,ADD,mbw-frn5b
2025-05-10 01:47:35,ADD,mbw-48gfd
2025-05-10 01:47:35,DEL,mbw-n5q8b
2025-05-10 01:47:35,DEL,nginx-7c4b4649d-982mm
2025-05-10 01:47:35,DEL,mbw-2gz2f
2025-05-10 01:50:14,ADD,step-load-8476d48fcd-fhvz8
2025-05-10 01:50:55,ADD,mbw-4ffp8
2025-05-10 01:50:55,DEL,mbw-frn5b
2025-05-10 01:53:13,ADD,mbw-gpd98
2025-05-10 01:53:13,DEL,mbw-48gfd
2025-05-10 01:54:55,ADD,nginx-7c4b4649d-jqltg
2025-05-10 02:01:00,DEL,mbw-4ffp8
2025-05-10 02:03:13,DEL,mbw-gpd98
2025-05-10 02:11:12,DEL,nginx-7c4b4649d-jqltg
2025-05-10 02:11:58,ADD,nginx-7c4b4649d-fwwsr
2025-05-10 02:13:04,ADD,step-load-8476d48fcd-vfdvs
2025-05-10 02:13:04,ADD,nginx-7c4b4649d-4f8b9
2025-05-10 02:16:28,DEL,nginx-7c4b4649d-fwwsr
2025-05-10 02:16:28,DEL,nginx-7c4b4649d-4f8b9
2025-05-10 02:16:28,DEL,nginx-7c4b4649d-t7ctj
2025-05-10 02:16:58,DEL,step-load-8476d48fcd-c26md
2025-05-10 02:16:58,DEL,step-load-8476d48fcd-fhvz8
2025-05-10 02:16:58,DEL,step-load-8476d48fcd-vfdvs
