timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:05:27,0.562,56.16,2202075136,87.50
2025-05-14 15:05:32,0.562,56.16,2202075136,87.50
2025-05-14 15:05:38,0.562,56.16,2202075136,87.50
2025-05-14 15:05:43,0.562,56.16,2202075136,87.50
2025-05-14 15:05:48,0.562,56.16,2202075136,87.50
2025-05-14 15:05:53,0.562,56.16,2202075136,87.50
2025-05-14 15:05:58,0.741,74.05,2202091520,87.50
2025-05-14 15:06:03,0.741,74.05,2202091520,87.50
2025-05-14 15:06:09,0.741,74.05,2202091520,87.50
2025-05-14 15:06:14,0.741,74.05,2202091520,87.50
2025-05-14 15:06:19,0.741,74.05,2202091520,87.50
2025-05-14 15:06:24,0.741,74.05,2202091520,87.50
2025-05-14 15:06:29,0.905,90.46,126701568,5.03
2025-05-14 15:06:35,0.905,90.46,126701568,5.03
2025-05-14 15:06:40,0.905,90.46,126701568,5.03
2025-05-14 15:06:45,0.905,90.46,126701568,5.03
2025-05-14 15:06:50,0.905,90.46,126701568,5.03
2025-05-14 15:06:55,0.905,90.46,2278154240,90.53
2025-05-14 15:07:01,0.293,29.34,2278154240,90.53
2025-05-14 15:07:06,0.293,29.34,2278154240,90.53
2025-05-14 15:07:11,0.293,29.34,2278154240,90.53
2025-05-14 15:07:16,0.293,29.34,2278154240,90.53
2025-05-14 15:07:22,0.293,29.34,2278154240,90.53
2025-05-14 15:07:27,0.293,29.34,2278182912,90.53
2025-05-14 15:07:32,1.118,111.78,2278182912,90.53
2025-05-14 15:07:37,1.118,111.78,2278182912,90.53
2025-05-14 15:07:43,1.118,111.78,2278182912,90.53
2025-05-14 15:07:48,1.118,111.78,2278182912,90.53
2025-05-14 15:07:53,1.118,111.78,2278182912,90.53
2025-05-14 15:07:58,0.298,29.79,2280701952,90.63
2025-05-14 15:08:04,0.298,29.79,2280701952,90.63
2025-05-14 15:08:09,0.298,29.79,2280701952,90.63
2025-05-14 15:08:14,0.298,29.79,2280701952,90.63
2025-05-14 15:08:20,0.298,29.79,2280701952,90.63
2025-05-14 15:08:25,0.298,29.79,2280726528,90.63
2025-05-14 15:08:30,1.043,104.35,2280726528,90.63
2025-05-14 15:08:36,1.043,104.35,2280726528,90.63
2025-05-14 15:08:41,1.043,104.35,2280726528,90.63
2025-05-14 15:08:47,1.043,104.35,2280726528,90.63
2025-05-14 15:08:52,1.043,104.35,2280726528,90.63
2025-05-14 15:08:58,0.747,74.71,128598016,5.11
2025-05-14 15:09:03,0.747,74.71,128598016,5.11
2025-05-14 15:09:08,0.747,74.71,128598016,5.11
2025-05-14 15:09:13,0.747,74.71,128598016,5.11
2025-05-14 15:09:19,0.747,74.71,128598016,5.11
2025-05-14 15:09:24,0.747,74.71,128598016,5.11
2025-05-14 15:09:29,0.513,51.35,126070784,5.01
2025-05-14 15:09:35,0.513,51.35,126070784,5.01
2025-05-14 15:09:40,0.513,51.35,126070784,5.01
2025-05-14 15:09:45,0.513,51.35,126070784,5.01
2025-05-14 15:09:51,0.513,51.35,126070784,5.01
2025-05-14 15:09:56,0.513,51.35,2278215680,90.53
2025-05-14 15:10:02,0.690,68.97,2278215680,90.53
2025-05-14 15:10:07,0.690,68.97,2278215680,90.53
2025-05-14 15:10:12,0.690,68.97,2278215680,90.53
2025-05-14 15:10:18,0.690,68.97,2278215680,90.53
2025-05-14 15:10:23,0.690,68.97,2278215680,90.53
2025-05-14 15:10:28,0.289,28.91,128581632,5.11
2025-05-14 15:10:33,0.289,28.91,128581632,5.11
2025-05-14 15:10:39,0.289,28.91,128581632,5.11
2025-05-14 15:10:44,0.289,28.91,128581632,5.11
2025-05-14 15:10:49,0.289,28.91,128581632,5.11
2025-05-14 15:10:54,0.289,28.91,128581632,5.11
2025-05-14 15:11:00,0.829,82.85,2280747008,90.63
