timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:31:44,0.893,89.34,2193903616,87.18
2025-05-10 01:31:49,0.893,89.34,2193903616,87.18
2025-05-10 01:31:55,0.893,89.34,1510240256,60.01
2025-05-10 01:32:00,0.893,89.34,1510240256,60.01
2025-05-10 01:32:05,0.893,89.34,1510240256,60.01
2025-05-10 01:32:10,0.893,89.34,1510240256,60.01
2025-05-10 01:32:16,1.034,103.44,1510240256,60.01
2025-05-10 01:32:21,1.034,103.44,1510240256,60.01
2025-05-10 01:32:26,1.034,103.44,2193928192,87.18
2025-05-10 01:32:31,1.034,103.44,2193928192,87.18
2025-05-10 01:32:37,1.034,103.44,2193928192,87.18
2025-05-10 01:32:42,0.435,43.47,2193928192,87.18
2025-05-10 01:32:47,0.435,43.47,2193928192,87.18
2025-05-10 01:32:52,0.435,43.47,2195189760,87.23
2025-05-10 01:32:58,0.435,43.47,2195189760,87.23
2025-05-10 01:33:03,0.435,43.47,2195189760,87.23
2025-05-10 01:33:08,0.435,43.47,2195189760,87.23
2025-05-10 01:33:14,0.846,84.60,2195189760,87.23
2025-05-10 01:33:19,0.846,84.60,2195189760,87.23
2025-05-10 01:33:24,0.846,84.60,2195197952,87.23
2025-05-10 01:33:29,0.846,84.60,2195197952,87.23
2025-05-10 01:33:35,0.846,84.60,2195197952,87.23
2025-05-10 01:33:40,0.846,84.60,2195197952,87.23
2025-05-10 01:33:45,0.961,96.12,2195197952,87.23
2025-05-10 01:33:51,0.961,96.12,2195197952,87.23
2025-05-10 01:33:56,0.961,96.12,2195202048,87.23
2025-05-10 01:34:01,0.961,96.12,2195202048,87.23
2025-05-10 01:34:07,0.961,96.12,2195202048,87.23
2025-05-10 01:34:12,0.888,88.81,2195202048,87.23
2025-05-10 01:34:17,0.888,88.81,2195202048,87.23
2025-05-10 01:34:22,0.888,88.81,40435712,1.61
2025-05-10 01:34:28,0.888,88.81,40435712,1.61
2025-05-10 01:34:33,0.888,88.81,40435712,1.61
2025-05-10 01:34:38,0.888,88.81,40435712,1.61
2025-05-10 01:34:44,0.607,60.67,40435712,1.61
2025-05-10 01:34:49,0.607,60.67,40435712,1.61
2025-05-10 01:34:54,0.607,60.67,2192707584,87.13
2025-05-10 01:34:59,0.607,60.67,2192707584,87.13
2025-05-10 01:35:05,0.607,60.67,2192707584,87.13
2025-05-10 01:35:10,0.607,60.67,2192707584,87.13
2025-05-10 01:35:15,1.081,108.07,2192707584,87.13
2025-05-10 01:35:20,1.081,108.07,2192707584,87.13
2025-05-10 01:35:26,1.081,108.07,2192703488,87.13
2025-05-10 01:35:31,1.081,108.07,2192703488,87.13
2025-05-10 01:35:36,1.081,108.07,2192703488,87.13
2025-05-10 01:35:42,0.873,87.27,2192703488,87.13
2025-05-10 01:35:47,0.873,87.27,2192703488,87.13
2025-05-10 01:35:52,0.873,87.27,2192699392,87.13
2025-05-10 01:35:57,0.873,87.27,2192699392,87.13
2025-05-10 01:36:03,0.873,87.27,2192699392,87.13
2025-05-10 01:36:08,0.873,87.27,2192699392,87.13
2025-05-10 01:36:13,0.553,55.32,2192699392,87.13
2025-05-10 01:36:19,0.553,55.32,2192699392,87.13
2025-05-10 01:36:24,0.553,55.32,2195193856,87.23
2025-05-10 01:36:29,0.553,55.32,2195193856,87.23
2025-05-10 01:36:34,0.553,55.32,2195193856,87.23
2025-05-10 01:36:40,0.553,55.32,2195193856,87.23
2025-05-10 01:36:45,0.831,83.06,2195193856,87.23
2025-05-10 01:36:50,0.831,83.06,2195193856,87.23
2025-05-10 01:36:55,0.831,83.06,2195210240,87.23
2025-05-10 01:37:01,0.831,83.06,2195210240,87.23
2025-05-10 01:37:06,0.831,83.06,2195210240,87.23
2025-05-10 01:37:11,0.831,83.06,2195210240,87.23
2025-05-10 01:37:16,1.005,100.47,2195210240,87.23
2025-05-10 01:37:22,1.005,100.47,2195202048,87.23
2025-05-10 01:37:27,1.005,100.47,2195202048,87.23
2025-05-10 01:37:32,1.005,100.47,2195202048,87.23
2025-05-10 01:37:37,1.005,100.47,2195202048,87.23
2025-05-10 01:37:43,0.813,81.33,2195202048,87.23
2025-05-10 01:37:48,0.813,81.33,2195202048,87.23
2025-05-10 01:37:53,0.813,81.33,2192793600,87.13
2025-05-10 01:37:59,0.813,81.33,2192793600,87.13
2025-05-10 01:38:04,0.813,81.33,2192793600,87.13
2025-05-10 01:38:09,0.813,81.33,2192793600,87.13
2025-05-10 01:38:15,0.712,71.22,2192793600,87.13
2025-05-10 01:38:20,0.712,71.22,2192793600,87.13
