timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:32:14,0.689,68.89,2287423488,90.89
2025-05-10 12:32:19,0.689,68.89,2287423488,90.89
2025-05-10 12:32:24,0.689,68.89,2287423488,90.89
2025-05-10 12:32:30,0.689,68.89,2287423488,90.89
2025-05-10 12:32:35,0.689,68.89,2287456256,90.90
2025-05-10 12:32:40,0.882,88.18,2287456256,90.90
2025-05-10 12:32:45,0.882,88.18,2287456256,90.90
2025-05-10 12:32:51,0.882,88.18,2287456256,90.90
2025-05-10 12:32:56,0.882,88.18,2287456256,90.90
2025-05-10 12:33:01,0.882,88.18,2287456256,90.90
2025-05-10 12:33:07,0.882,88.18,2287456256,90.90
2025-05-10 12:33:12,0.732,73.23,2287456256,90.90
2025-05-10 12:33:17,0.732,73.23,2287456256,90.90
2025-05-10 12:33:23,0.732,73.23,2287456256,90.90
2025-05-10 12:33:28,0.732,73.23,2287456256,90.90
2025-05-10 12:33:33,0.732,73.23,2288951296,90.95
2025-05-10 12:33:38,0.732,73.23,2288951296,90.95
2025-05-10 12:33:44,0.676,67.64,2288951296,90.95
2025-05-10 12:33:49,0.676,67.64,2288951296,90.95
2025-05-10 12:33:54,0.676,67.64,2288951296,90.95
2025-05-10 12:34:00,0.676,67.64,2288951296,90.95
2025-05-10 12:34:05,0.676,67.64,2288951296,90.95
2025-05-10 12:34:10,1.002,100.23,2288951296,90.95
2025-05-10 12:34:16,1.002,100.23,2288951296,90.95
2025-05-10 12:34:21,1.002,100.23,2288951296,90.95
2025-05-10 12:34:26,1.002,100.23,2288951296,90.95
2025-05-10 12:34:32,1.002,100.23,2288951296,90.95
2025-05-10 12:34:37,1.002,100.23,2288959488,90.96
2025-05-10 12:34:42,0.956,95.62,2288959488,90.96
2025-05-10 12:34:47,0.956,95.62,2288959488,90.96
2025-05-10 12:34:53,0.956,95.62,2288959488,90.96
2025-05-10 12:34:58,0.956,95.62,2288959488,90.96
2025-05-10 12:35:03,0.956,95.62,2287083520,90.88
2025-05-10 12:35:09,0.956,95.62,2287083520,90.88
2025-05-10 12:35:14,0.786,78.57,2287083520,90.88
2025-05-10 12:35:20,0.786,78.57,2287083520,90.88
2025-05-10 12:35:25,0.786,78.57,2287083520,90.88
2025-05-10 12:35:30,0.786,78.57,2287083520,90.88
2025-05-10 12:35:35,0.786,78.57,2287095808,90.88
2025-05-10 12:35:41,0.814,81.45,2287095808,90.88
2025-05-10 12:35:46,0.814,81.45,2287095808,90.88
2025-05-10 12:35:51,0.814,81.45,2287095808,90.88
2025-05-10 12:35:57,0.814,81.45,2287095808,90.88
2025-05-10 12:36:02,0.814,81.45,2287091712,90.88
2025-05-10 12:36:07,0.814,81.45,2287091712,90.88
2025-05-10 12:36:13,0.653,65.33,2287091712,90.88
2025-05-10 12:36:18,0.653,65.33,2287091712,90.88
2025-05-10 12:36:23,0.653,65.33,2287091712,90.88
2025-05-10 12:36:29,0.653,65.33,2287091712,90.88
2025-05-10 12:36:34,0.653,65.33,137457664,5.46
2025-05-10 12:36:39,0.653,65.33,137457664,5.46
2025-05-10 12:36:45,0.906,90.63,137457664,5.46
2025-05-10 12:36:50,0.906,90.63,137457664,5.46
2025-05-10 12:36:55,0.906,90.63,137457664,5.46
2025-05-10 12:37:01,0.906,90.63,137457664,5.46
2025-05-10 12:37:06,0.906,90.63,137482240,5.46
2025-05-10 12:37:11,0.901,90.08,137482240,5.46
2025-05-10 12:37:16,0.901,90.08,137482240,5.46
2025-05-10 12:37:22,0.901,90.08,137482240,5.46
2025-05-10 12:37:27,0.901,90.08,137482240,5.46
2025-05-10 12:37:32,0.901,90.08,2289590272,90.98
2025-05-10 12:37:38,0.901,90.08,2289590272,90.98
2025-05-10 12:37:43,0.845,84.54,2289590272,90.98
2025-05-10 12:37:48,0.845,84.54,2289590272,90.98
2025-05-10 12:37:53,0.845,84.54,2289590272,90.98
2025-05-10 12:37:59,0.845,84.54,2289590272,90.98
2025-05-10 12:38:04,0.845,84.54,2289590272,90.98
2025-05-10 12:38:09,0.845,84.54,2289590272,90.98
2025-05-10 12:38:15,0.832,83.23,2289590272,90.98
2025-05-10 12:38:20,0.832,83.23,2289590272,90.98
2025-05-10 12:38:25,0.832,83.23,2289590272,90.98
2025-05-10 12:38:31,0.832,83.23,2289590272,90.98
2025-05-10 12:38:36,0.832,83.23,2287128576,90.88
2025-05-10 12:38:41,0.768,76.83,2287128576,90.88
2025-05-10 12:38:47,0.768,76.83,2287128576,90.88
2025-05-10 12:38:52,0.768,76.83,2287128576,90.88
2025-05-10 12:38:57,0.768,76.83,2287128576,90.88
2025-05-10 12:39:03,0.768,76.83,2287153152,90.88
2025-05-10 12:39:08,0.768,76.83,2287153152,90.88
2025-05-10 12:39:13,0.908,90.82,2287153152,90.88
2025-05-10 12:39:19,0.908,90.82,2287153152,90.88
2025-05-10 12:39:24,0.908,90.82,2287153152,90.88
2025-05-10 12:39:29,0.908,90.82,2287153152,90.88
2025-05-10 12:39:35,0.908,90.82,137506816,5.46
2025-05-10 12:39:40,0.908,90.82,137506816,5.46
2025-05-10 12:39:46,0.908,90.82,137506816,5.46
2025-05-10 12:39:51,0.908,90.82,137506816,5.46
2025-05-10 12:39:56,0.908,90.82,137506816,5.46
2025-05-10 12:40:02,0.908,90.82,137506816,5.46
2025-05-10 12:40:07,0.908,90.82,2289639424,90.98
2025-05-10 12:40:12,0.170,17.04,2289639424,90.98
2025-05-10 12:40:18,0.170,17.04,2289639424,90.98
2025-05-10 12:40:23,0.170,17.04,2289639424,90.98
2025-05-10 12:40:28,0.170,17.04,2289639424,90.98
2025-05-10 12:40:34,0.170,17.04,2289655808,90.98
2025-05-10 12:40:39,0.170,17.04,2289655808,90.98
2025-05-10 12:40:45,1.233,123.29,2289655808,90.98
2025-05-10 12:40:50,1.233,123.29,2289655808,90.98
2025-05-10 12:40:55,1.233,123.29,2289655808,90.98
2025-05-10 12:41:01,1.233,123.29,2289655808,90.98
2025-05-10 12:41:06,1.233,123.29,2289651712,90.98
2025-05-10 12:41:11,0.969,96.87,2289651712,90.98
2025-05-10 12:41:17,0.969,96.87,2289651712,90.98
2025-05-10 12:41:22,0.969,96.87,2289651712,90.98
2025-05-10 12:41:27,0.969,96.87,2289651712,90.98
