timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:42:15,0.287,28.68,2183380992,86.76
2025-05-10 12:42:20,0.287,28.68,2183380992,86.76
2025-05-10 12:42:26,0.287,28.68,2183380992,86.76
2025-05-10 12:42:31,0.287,28.68,2183401472,86.76
2025-05-10 12:42:36,0.287,28.68,2183401472,86.76
2025-05-10 12:42:42,1.185,118.49,2183401472,86.76
2025-05-10 12:42:47,1.185,118.49,2183401472,86.76
2025-05-10 12:42:52,1.185,118.49,2183401472,86.76
2025-05-10 12:42:58,1.185,118.49,2183401472,86.76
2025-05-10 12:43:03,1.185,118.49,2183401472,86.76
2025-05-10 12:43:08,1.185,118.49,2183401472,86.76
2025-05-10 12:43:14,0.848,84.83,2183401472,86.76
2025-05-10 12:43:19,0.848,84.83,2183401472,86.76
2025-05-10 12:43:24,0.848,84.83,2183401472,86.76
2025-05-10 12:43:30,0.848,84.83,2183401472,86.76
2025-05-10 12:43:35,0.848,84.83,2184679424,86.81
2025-05-10 12:43:40,0.625,62.48,2184679424,86.81
2025-05-10 12:43:46,0.625,62.48,2184679424,86.81
2025-05-10 12:43:51,0.625,62.48,2184679424,86.81
2025-05-10 12:43:56,0.625,62.48,2184679424,86.81
2025-05-10 12:44:01,0.625,62.48,32567296,1.29
2025-05-10 12:44:07,0.625,62.48,32567296,1.29
2025-05-10 12:44:12,0.615,61.52,32567296,1.29
2025-05-10 12:44:17,0.615,61.52,32567296,1.29
2025-05-10 12:44:23,0.615,61.52,32567296,1.29
2025-05-10 12:44:28,0.615,61.52,32567296,1.29
2025-05-10 12:44:33,0.615,61.52,32567296,1.29
2025-05-10 12:44:39,0.615,61.52,32567296,1.29
2025-05-10 12:44:44,0.923,92.27,32567296,1.29
2025-05-10 12:44:50,0.923,92.27,32567296,1.29
2025-05-10 12:44:55,0.923,92.27,32567296,1.29
2025-05-10 12:45:00,0.923,92.27,32567296,1.29
2025-05-10 12:45:06,0.923,92.27,29843456,1.19
2025-05-10 12:45:11,0.969,96.87,29843456,1.19
2025-05-10 12:45:16,0.969,96.87,29843456,1.19
2025-05-10 12:45:22,0.969,96.87,29843456,1.19
2025-05-10 12:45:27,0.969,96.87,29843456,1.19
2025-05-10 12:45:32,0.969,96.87,29999104,1.19
2025-05-10 12:45:38,0.969,96.87,29999104,1.19
2025-05-10 12:45:43,0.850,84.96,29999104,1.19
2025-05-10 12:45:48,0.850,84.96,29999104,1.19
2025-05-10 12:45:54,0.850,84.96,29999104,1.19
2025-05-10 12:45:59,0.850,84.96,29999104,1.19
2025-05-10 12:46:04,0.850,84.96,2182115328,86.71
2025-05-10 12:46:10,0.850,84.96,2182115328,86.71
2025-05-10 12:46:15,0.937,93.72,2182115328,86.71
2025-05-10 12:46:20,0.937,93.72,2182115328,86.71
2025-05-10 12:46:26,0.937,93.72,2182115328,86.71
2025-05-10 12:46:31,0.937,93.72,2182115328,86.71
2025-05-10 12:46:36,0.937,93.72,32468992,1.29
2025-05-10 12:46:41,0.736,73.55,32468992,1.29
2025-05-10 12:46:47,0.736,73.55,32468992,1.29
2025-05-10 12:46:52,0.736,73.55,32468992,1.29
2025-05-10 12:46:57,0.736,73.55,32468992,1.29
2025-05-10 12:47:03,0.736,73.55,2184601600,86.81
2025-05-10 12:47:08,0.736,73.55,2184601600,86.81
2025-05-10 12:47:13,0.824,82.37,2184601600,86.81
2025-05-10 12:47:19,0.824,82.37,2184601600,86.81
2025-05-10 12:47:24,0.824,82.37,2184601600,86.81
2025-05-10 12:47:29,0.824,82.37,2184601600,86.81
2025-05-10 12:47:34,0.824,82.37,32518144,1.29
2025-05-10 12:47:40,0.824,82.37,32518144,1.29
2025-05-10 12:47:45,0.934,93.43,32518144,1.29
2025-05-10 12:47:50,0.934,93.43,32518144,1.29
2025-05-10 12:47:56,0.934,93.43,32518144,1.29
2025-05-10 12:48:01,0.934,93.43,32518144,1.29
2025-05-10 12:48:06,0.934,93.43,2184622080,86.81
2025-05-10 12:48:12,0.519,51.88,2184622080,86.81
2025-05-10 12:48:17,0.519,51.88,2184622080,86.81
2025-05-10 12:48:22,0.519,51.88,2184622080,86.81
2025-05-10 12:48:28,0.519,51.88,2184622080,86.81
2025-05-10 12:48:33,0.519,51.88,2182217728,86.71
2025-05-10 12:48:38,0.519,51.88,2182217728,86.71
2025-05-10 12:48:44,0.942,94.18,2182217728,86.71
2025-05-10 12:48:49,0.942,94.18,2182217728,86.71
2025-05-10 12:48:54,0.942,94.18,2182217728,86.71
2025-05-10 12:49:00,0.942,94.18,2182217728,86.71
2025-05-10 12:49:05,0.942,94.18,30126080,1.20
2025-05-10 12:49:10,1.065,106.55,30126080,1.20
2025-05-10 12:49:16,1.065,106.55,30126080,1.20
2025-05-10 12:49:21,1.065,106.55,30126080,1.20
2025-05-10 12:49:26,1.065,106.55,30126080,1.20
2025-05-10 12:49:31,1.065,106.55,2182238208,86.71
2025-05-10 12:49:37,1.065,106.55,2182238208,86.71
2025-05-10 12:49:42,0.723,72.35,2182238208,86.71
2025-05-10 12:49:47,0.723,72.35,2182238208,86.71
2025-05-10 12:49:53,0.723,72.35,2182238208,86.71
2025-05-10 12:49:58,0.723,72.35,2182238208,86.71
2025-05-10 12:50:03,0.723,72.35,2184720384,86.81
2025-05-10 12:50:09,0.723,72.35,2184720384,86.81
2025-05-10 12:50:14,0.561,56.08,2184720384,86.81
2025-05-10 12:50:19,0.561,56.08,2184720384,86.81
2025-05-10 12:50:25,0.561,56.08,2184720384,86.81
2025-05-10 12:50:30,0.561,56.08,2184720384,86.81
2025-05-10 12:50:35,0.561,56.08,2184740864,86.81
2025-05-10 12:50:41,1.094,109.40,2184740864,86.81
2025-05-10 12:50:46,1.094,109.40,2184740864,86.81
2025-05-10 12:50:51,1.094,109.40,2184740864,86.81
2025-05-10 12:50:56,1.094,109.40,2184740864,86.81
2025-05-10 12:51:02,1.094,109.40,2184744960,86.81
2025-05-10 12:51:07,1.094,109.40,2184744960,86.81
2025-05-10 12:51:12,0.895,89.50,2184744960,86.81
2025-05-10 12:51:18,0.895,89.50,2184744960,86.81
2025-05-10 12:51:23,0.895,89.50,2184744960,86.81
2025-05-10 12:51:28,0.895,89.50,2184744960,86.81
