timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:11:15,0.647,64.69,2261352448,89.86
2025-05-09 01:11:21,0.647,64.69,2261352448,89.86
2025-05-09 01:11:26,0.647,64.69,2261352448,89.86
2025-05-09 01:11:32,0.647,64.69,1418551296,56.37
2025-05-09 01:11:38,0.647,64.69,1418551296,56.37
2025-05-09 01:11:44,0.876,87.57,1418551296,56.37
2025-05-09 01:11:49,0.876,87.57,1418551296,56.37
2025-05-09 01:11:55,0.876,87.57,1418551296,56.37
2025-05-09 01:12:00,0.876,87.57,2263556096,89.95
2025-05-09 01:12:06,0.876,87.57,2263556096,89.95
2025-05-09 01:12:11,0.876,87.57,2263556096,89.95
2025-05-09 01:12:17,0.828,82.79,2263556096,89.95
2025-05-09 01:12:22,0.828,82.79,2263556096,89.95
2025-05-09 01:12:27,0.828,82.79,2263556096,89.95
2025-05-09 01:12:33,0.828,82.79,2263584768,89.95
2025-05-09 01:12:38,0.828,82.79,2263584768,89.95
2025-05-09 01:12:44,0.937,93.67,2263584768,89.95
2025-05-09 01:12:49,0.937,93.67,2263584768,89.95
2025-05-09 01:12:55,0.937,93.67,2263584768,89.95
2025-05-09 01:13:00,0.937,93.67,2042617856,81.17
2025-05-09 01:13:06,0.937,93.67,2042617856,81.17
2025-05-09 01:13:11,0.937,93.67,2042617856,81.17
2025-05-09 01:13:17,0.755,75.52,2042617856,81.17
2025-05-09 01:13:22,0.755,75.52,2042617856,81.17
2025-05-09 01:13:28,0.755,75.52,2042617856,81.17
2025-05-09 01:13:34,0.755,75.52,112877568,4.49
2025-05-09 01:13:39,0.755,75.52,112877568,4.49
2025-05-09 01:13:45,0.842,84.23,112877568,4.49
2025-05-09 01:13:50,0.842,84.23,112877568,4.49
2025-05-09 01:13:56,0.842,84.23,112877568,4.49
2025-05-09 01:14:02,0.842,84.23,2261053440,89.85
2025-05-09 01:14:07,0.842,84.23,2261053440,89.85
2025-05-09 01:14:13,0.516,51.62,2261053440,89.85
2025-05-09 01:14:18,0.516,51.62,2261053440,89.85
2025-05-09 01:14:24,0.516,51.62,2261053440,89.85
2025-05-09 01:14:29,0.516,51.62,2261053440,89.85
2025-05-09 01:14:35,0.516,51.62,2261061632,89.85
2025-05-09 01:14:41,0.516,51.62,2261061632,89.85
2025-05-09 01:14:46,1.177,117.72,2261061632,89.85
