timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:19:59,0.771,77.09,2183520256,86.77
2025-05-14 16:20:04,0.771,77.09,2183520256,86.77
2025-05-14 16:20:10,0.771,77.09,2183520256,86.77
2025-05-14 16:20:15,0.771,77.09,31387648,1.25
2025-05-14 16:20:20,0.771,77.09,31387648,1.25
2025-05-14 16:20:26,0.771,77.09,31387648,1.25
2025-05-14 16:20:31,0.703,70.27,31387648,1.25
2025-05-14 16:20:36,0.703,70.27,31387648,1.25
2025-05-14 16:20:41,0.703,70.27,31387648,1.25
2025-05-14 16:20:47,0.703,70.27,2183516160,86.77
2025-05-14 16:20:52,0.703,70.27,2183516160,86.77
2025-05-14 16:20:57,0.859,85.90,2183516160,86.77
2025-05-14 16:21:02,0.859,85.90,2183516160,86.77
2025-05-14 16:21:08,0.859,85.90,2183516160,86.77
2025-05-14 16:21:13,0.859,85.90,2183516160,86.77
2025-05-14 16:21:18,0.859,85.90,2185695232,86.85
2025-05-14 16:21:24,0.859,85.90,2185695232,86.85
2025-05-14 16:21:29,0.448,44.80,2185695232,86.85
2025-05-14 16:21:35,0.448,44.80,2185695232,86.85
2025-05-14 16:21:40,0.448,44.80,2185695232,86.85
2025-05-14 16:21:45,0.448,44.80,2185703424,86.85
2025-05-14 16:21:51,0.448,44.80,2185703424,86.85
2025-05-14 16:21:56,0.448,44.80,2185703424,86.85
2025-05-14 16:22:01,1.054,105.44,2185703424,86.85
2025-05-14 16:22:06,1.054,105.44,2185703424,86.85
2025-05-14 16:22:12,1.054,105.44,2185703424,86.85
2025-05-14 16:22:17,1.054,105.44,33566720,1.33
2025-05-14 16:22:22,1.054,105.44,33566720,1.33
2025-05-14 16:22:28,0.835,83.52,33566720,1.33
2025-05-14 16:22:33,0.835,83.52,33566720,1.33
2025-05-14 16:22:38,0.835,83.52,33566720,1.33
2025-05-14 16:22:43,0.835,83.52,33566720,1.33
2025-05-14 16:22:49,0.835,83.52,2185703424,86.85
2025-05-14 16:22:54,0.835,83.52,2185703424,86.85
2025-05-14 16:22:59,0.668,66.77,2185703424,86.85
2025-05-14 16:23:05,0.668,66.77,2185703424,86.85
2025-05-14 16:23:10,0.668,66.77,2185703424,86.85
2025-05-14 16:23:15,0.668,66.77,2185695232,86.85
2025-05-14 16:23:21,0.668,66.77,2185695232,86.85
2025-05-14 16:23:26,0.668,66.77,2185695232,86.85
2025-05-14 16:23:31,0.965,96.51,2185695232,86.85
2025-05-14 16:23:36,0.965,96.51,2185695232,86.85
2025-05-14 16:23:42,0.965,96.51,2185695232,86.85
2025-05-14 16:23:47,0.965,96.51,2185703424,86.85
2025-05-14 16:23:52,0.965,96.51,2185703424,86.85
2025-05-14 16:23:58,0.688,68.82,2185703424,86.85
2025-05-14 16:24:03,0.688,68.82,2185703424,86.85
2025-05-14 16:24:08,0.688,68.82,2185703424,86.85
2025-05-14 16:24:14,0.688,68.82,2185703424,86.85
2025-05-14 16:24:19,0.688,68.82,2185699328,86.85
2025-05-14 16:24:24,0.688,68.82,2185699328,86.85
2025-05-14 16:24:30,0.861,86.06,2185699328,86.85
2025-05-14 16:24:35,0.861,86.06,2185699328,86.85
2025-05-14 16:24:40,0.861,86.06,2185699328,86.85
2025-05-14 16:24:45,0.861,86.06,2185707520,86.85
2025-05-14 16:24:51,0.861,86.06,2185707520,86.85
2025-05-14 16:24:56,0.861,86.06,2185707520,86.85
2025-05-14 16:25:01,0.995,99.55,2185707520,86.85
2025-05-14 16:25:06,0.995,99.55,2185707520,86.85
2025-05-14 16:25:12,0.995,99.55,2185707520,86.85
2025-05-14 16:25:17,0.995,99.55,2185707520,86.85
2025-05-14 16:25:22,0.995,99.55,2185707520,86.85
2025-05-14 16:25:27,0.808,80.78,2185707520,86.85
2025-05-14 16:25:33,0.808,80.78,2185707520,86.85
