timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:53:12,0.959,95.89,2183409664,86.76
2025-05-10 13:53:18,0.959,95.89,2183409664,86.76
2025-05-10 13:53:23,0.959,95.89,2183409664,86.76
2025-05-10 13:53:28,0.959,95.89,2183409664,86.76
2025-05-10 13:53:33,0.959,95.89,2183409664,86.76
2025-05-10 13:53:39,0.959,95.89,2183409664,86.76
2025-05-10 13:53:44,0.867,86.66,2183409664,86.76
2025-05-10 13:53:49,0.867,86.66,2183409664,86.76
2025-05-10 13:53:55,0.867,86.66,2183409664,86.76
2025-05-10 13:54:00,0.867,86.66,2183409664,86.76
2025-05-10 13:54:05,0.867,86.66,2184687616,86.81
2025-05-10 13:54:11,0.523,52.28,2184687616,86.81
2025-05-10 13:54:16,0.523,52.28,2184687616,86.81
2025-05-10 13:54:21,0.523,52.28,2184687616,86.81
2025-05-10 13:54:27,0.523,52.28,2184687616,86.81
2025-05-10 13:54:32,0.523,52.28,2184679424,86.81
2025-05-10 13:54:37,0.523,52.28,2184679424,86.81
2025-05-10 13:54:42,0.732,73.20,2184679424,86.81
2025-05-10 13:54:48,0.732,73.20,2184679424,86.81
2025-05-10 13:54:53,0.732,73.20,2184679424,86.81
2025-05-10 13:54:58,0.732,73.20,2184679424,86.81
2025-05-10 13:55:04,0.732,73.20,2184679424,86.81
2025-05-10 13:55:09,0.732,73.20,2184679424,86.81
2025-05-10 13:55:14,0.789,78.87,2184679424,86.81
2025-05-10 13:55:20,0.789,78.87,2184679424,86.81
2025-05-10 13:55:25,0.789,78.87,2184679424,86.81
2025-05-10 13:55:31,0.789,78.87,2184679424,86.81
2025-05-10 13:55:36,0.789,78.87,2182148096,86.71
2025-05-10 13:55:41,0.914,91.43,2182148096,86.71
2025-05-10 13:55:46,0.914,91.43,2182148096,86.71
2025-05-10 13:55:52,0.914,91.43,2182148096,86.71
2025-05-10 13:55:57,0.914,91.43,2182148096,86.71
2025-05-10 13:56:02,0.914,91.43,2182168576,86.71
2025-05-10 13:56:08,0.914,91.43,2182168576,86.71
2025-05-10 13:56:13,0.966,96.57,2182168576,86.71
2025-05-10 13:56:18,0.966,96.57,2182168576,86.71
2025-05-10 13:56:23,0.966,96.57,2182168576,86.71
2025-05-10 13:56:29,0.966,96.57,2182168576,86.71
