timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:54:12,0.813,81.28,31232000,1.24
2025-05-10 01:54:17,0.813,81.28,31232000,1.24
2025-05-10 01:54:23,0.813,81.28,2183352320,86.76
2025-05-10 01:54:28,0.813,81.28,2183352320,86.76
2025-05-10 01:54:33,0.813,81.28,2183352320,86.76
2025-05-10 01:54:38,0.813,81.28,2183352320,86.76
2025-05-10 01:54:44,0.836,83.57,2183352320,86.76
2025-05-10 01:54:49,0.836,83.57,2183352320,86.76
2025-05-10 01:54:54,0.836,83.57,2183348224,86.76
2025-05-10 01:55:00,0.836,83.57,2183348224,86.76
2025-05-10 01:55:05,0.836,83.57,2183348224,86.76
2025-05-10 01:55:10,0.836,83.57,2183348224,86.76
2025-05-10 01:55:15,0.895,89.55,2183348224,86.76
2025-05-10 01:55:21,0.895,89.55,2183348224,86.76
2025-05-10 01:55:26,0.895,89.55,2184617984,86.81
2025-05-10 01:55:31,0.895,89.55,2184617984,86.81
2025-05-10 01:55:36,0.895,89.55,2184617984,86.81
2025-05-10 01:55:42,0.561,56.07,2184617984,86.81
2025-05-10 01:55:47,0.561,56.07,2184617984,86.81
2025-05-10 01:55:52,0.561,56.07,2184622080,86.81
2025-05-10 01:55:58,0.561,56.07,2184622080,86.81
2025-05-10 01:56:03,0.561,56.07,2184622080,86.81
2025-05-10 01:56:08,0.561,56.07,2184622080,86.81
2025-05-10 01:56:13,1.068,106.76,2184622080,86.81
2025-05-10 01:56:19,1.068,106.76,2184622080,86.81
2025-05-10 01:56:24,1.068,106.76,2184626176,86.81
2025-05-10 01:56:29,1.068,106.76,2184626176,86.81
2025-05-10 01:56:34,1.068,106.76,2184626176,86.81
2025-05-10 01:56:40,1.068,106.76,2184626176,86.81
2025-05-10 01:56:45,0.362,36.18,2184626176,86.81
2025-05-10 01:56:50,0.362,36.18,2184626176,86.81
2025-05-10 01:56:55,0.362,36.18,2182139904,86.71
2025-05-10 01:57:01,0.362,36.18,2182139904,86.71
2025-05-10 01:57:06,0.362,36.18,2182139904,86.71
2025-05-10 01:57:11,0.362,36.18,2182139904,86.71
2025-05-10 01:57:16,1.287,128.68,2182139904,86.71
2025-05-10 01:57:22,1.287,128.68,2182168576,86.71
2025-05-10 01:57:27,1.287,128.68,2182168576,86.71
2025-05-10 01:57:32,1.287,128.68,2182168576,86.71
2025-05-10 01:57:38,1.287,128.68,2182168576,86.71
2025-05-10 01:57:43,0.828,82.84,2182168576,86.71
2025-05-10 01:57:48,0.828,82.84,2182168576,86.71
2025-05-10 01:57:54,0.828,82.84,830025728,32.98
2025-05-10 01:57:59,0.828,82.84,830025728,32.98
2025-05-10 01:58:05,0.828,82.84,830025728,32.98
2025-05-10 01:58:10,0.828,82.84,830025728,32.98
2025-05-10 01:58:15,0.476,47.57,830025728,32.98
2025-05-10 01:58:21,0.476,47.57,830025728,32.98
2025-05-10 01:58:26,0.476,47.57,2184642560,86.81
2025-05-10 01:58:31,0.476,47.57,2184642560,86.81
2025-05-10 01:58:36,0.476,47.57,2184642560,86.81
2025-05-10 01:58:42,0.476,47.57,2184642560,86.81
2025-05-10 01:58:47,1.043,104.31,2184642560,86.81
