timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:59:13,0.843,84.33,2183348224,86.76
2025-05-11 00:59:18,0.843,84.33,2183348224,86.76
2025-05-11 00:59:24,0.843,84.33,2183401472,86.76
2025-05-11 00:59:29,0.843,84.33,2183401472,86.76
2025-05-11 00:59:34,0.843,84.33,2183401472,86.76
2025-05-11 00:59:39,0.843,84.33,2183401472,86.76
2025-05-11 00:59:45,0.402,40.19,2183401472,86.76
2025-05-11 00:59:50,0.402,40.19,2183401472,86.76
2025-05-11 00:59:55,0.402,40.19,2183372800,86.76
2025-05-11 01:00:01,0.402,40.19,2183372800,86.76
2025-05-11 01:00:06,0.402,40.19,2183372800,86.76
2025-05-11 01:00:11,1.101,110.06,2183372800,86.76
2025-05-11 01:00:16,1.101,110.06,2183372800,86.76
2025-05-11 01:00:22,1.101,110.06,2183372800,86.76
2025-05-11 01:00:27,1.101,110.06,31277056,1.24
2025-05-11 01:00:32,1.101,110.06,31277056,1.24
2025-05-11 01:00:37,1.101,110.06,31277056,1.24
2025-05-11 01:00:43,0.890,88.98,31277056,1.24
2025-05-11 01:00:48,0.890,88.98,31277056,1.24
2025-05-11 01:00:53,0.890,88.98,2183364608,86.76
2025-05-11 01:00:59,0.890,88.98,2183364608,86.76
2025-05-11 01:01:04,0.890,88.98,2183364608,86.76
2025-05-11 01:01:09,0.890,88.98,2183364608,86.76
2025-05-11 01:01:14,0.835,83.45,2183364608,86.76
2025-05-11 01:01:20,0.835,83.45,2183364608,86.76
2025-05-11 01:01:25,0.835,83.45,2183372800,86.76
2025-05-11 01:01:30,0.835,83.45,2183372800,86.76
2025-05-11 01:01:36,0.835,83.45,2183372800,86.76
2025-05-11 01:01:41,0.945,94.51,2183372800,86.76
2025-05-11 01:01:46,0.945,94.51,2183372800,86.76
2025-05-11 01:01:51,0.945,94.51,2183372800,86.76
2025-05-11 01:01:57,0.945,94.51,2183372800,86.76
2025-05-11 01:02:02,0.945,94.51,2183372800,86.76
2025-05-11 01:02:07,0.945,94.51,2183372800,86.76
2025-05-11 01:02:12,0.842,84.24,2183372800,86.76
