timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:42:44,0.807,80.74,31260672,1.24
2025-05-10 13:42:49,0.807,80.74,31260672,1.24
2025-05-10 13:42:54,0.807,80.74,31260672,1.24
2025-05-10 13:42:59,0.807,80.74,31260672,1.24
2025-05-10 13:43:05,0.807,80.74,31260672,1.24
2025-05-10 13:43:10,0.807,80.74,31281152,1.24
2025-05-10 13:43:15,0.758,75.80,31281152,1.24
2025-05-10 13:43:21,0.758,75.80,31281152,1.24
2025-05-10 13:43:26,0.758,75.80,31281152,1.24
2025-05-10 13:43:31,0.758,75.80,31281152,1.24
2025-05-10 13:43:36,0.758,75.80,31281152,1.24
2025-05-10 13:43:42,0.770,76.99,32546816,1.29
2025-05-10 13:43:47,0.770,76.99,32546816,1.29
2025-05-10 13:43:52,0.770,76.99,32546816,1.29
2025-05-10 13:43:57,0.770,76.99,32546816,1.29
2025-05-10 13:44:03,0.770,76.99,32546816,1.29
2025-05-10 13:44:08,0.770,76.99,32546816,1.29
2025-05-10 13:44:13,0.810,81.03,2184667136,86.81
2025-05-10 13:44:18,0.810,81.03,2184667136,86.81
2025-05-10 13:44:23,0.810,81.03,2184667136,86.81
2025-05-10 13:44:29,0.810,81.03,2184667136,86.81
2025-05-10 13:44:34,0.810,81.03,2184667136,86.81
2025-05-10 13:44:39,0.810,81.03,32563200,1.29
2025-05-10 13:44:44,0.848,84.81,32563200,1.29
2025-05-10 13:44:50,0.848,84.81,32563200,1.29
2025-05-10 13:44:55,0.848,84.81,32563200,1.29
2025-05-10 13:45:00,0.848,84.81,32563200,1.29
2025-05-10 13:45:06,0.848,84.81,32563200,1.29
2025-05-10 13:45:11,0.743,74.33,2184663040,86.81
2025-05-10 13:45:16,0.743,74.33,2184663040,86.81
2025-05-10 13:45:22,0.743,74.33,2184663040,86.81
2025-05-10 13:45:27,0.743,74.33,2184663040,86.81
2025-05-10 13:45:33,0.743,74.33,2184663040,86.81
2025-05-10 13:45:38,0.743,74.33,2184663040,86.81
2025-05-10 13:45:43,0.865,86.49,2182135808,86.71
2025-05-10 13:45:48,0.865,86.49,2182135808,86.71
2025-05-10 13:45:54,0.865,86.49,2182135808,86.71
2025-05-10 13:45:59,0.865,86.49,2182135808,86.71
2025-05-10 13:46:04,0.865,86.49,2182135808,86.71
2025-05-10 13:46:09,0.865,86.49,2182172672,86.71
2025-05-10 13:46:15,0.945,94.54,2182172672,86.71
2025-05-10 13:46:20,0.945,94.54,2182172672,86.71
2025-05-10 13:46:25,0.945,94.54,2182172672,86.71
2025-05-10 13:46:30,0.945,94.54,2182172672,86.71
2025-05-10 13:46:36,0.945,94.54,2182172672,86.71
2025-05-10 13:46:41,0.642,64.19,32526336,1.29
2025-05-10 13:46:46,0.642,64.19,32526336,1.29
2025-05-10 13:46:52,0.642,64.19,32526336,1.29
2025-05-10 13:46:57,0.642,64.19,32526336,1.29
2025-05-10 13:47:02,0.642,64.19,32526336,1.29
2025-05-10 13:47:07,0.642,64.19,32526336,1.29
2025-05-10 13:47:12,0.866,86.63,1544822784,61.39
2025-05-10 13:47:18,0.866,86.63,1544822784,61.39
2025-05-10 13:47:23,0.866,86.63,1544822784,61.39
2025-05-10 13:47:28,0.866,86.63,1544822784,61.39
2025-05-10 13:47:34,0.866,86.63,1544822784,61.39
2025-05-10 13:47:39,0.866,86.63,1073868800,42.67
2025-05-10 13:47:44,0.815,81.48,1073868800,42.67
2025-05-10 13:47:49,0.815,81.48,1073868800,42.67
