timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:32:14,0.863,86.29,135331840,5.38
2025-05-10 12:32:19,0.863,86.29,135331840,5.38
2025-05-10 12:32:24,0.863,86.29,135331840,5.38
2025-05-10 12:32:30,0.863,86.29,135331840,5.38
2025-05-10 12:32:35,0.863,86.29,135331840,5.38
2025-05-10 12:32:40,0.801,80.08,135331840,5.38
2025-05-10 12:32:45,0.801,80.08,135331840,5.38
2025-05-10 12:32:51,0.801,80.08,135331840,5.38
2025-05-10 12:32:56,0.801,80.08,135331840,5.38
2025-05-10 12:33:01,0.801,80.08,135331840,5.38
2025-05-10 12:33:07,0.801,80.08,135331840,5.38
2025-05-10 12:33:12,0.817,81.65,136822784,5.44
2025-05-10 12:33:17,0.817,81.65,136822784,5.44
2025-05-10 12:33:23,0.817,81.65,136822784,5.44
2025-05-10 12:33:28,0.817,81.65,136822784,5.44
2025-05-10 12:33:33,0.817,81.65,136822784,5.44
2025-05-10 12:33:38,0.817,81.65,136826880,5.44
2025-05-10 12:33:44,0.885,88.48,136826880,5.44
2025-05-10 12:33:49,0.885,88.48,136826880,5.44
2025-05-10 12:33:54,0.885,88.48,136826880,5.44
2025-05-10 12:34:00,0.885,88.48,136826880,5.44
2025-05-10 12:34:05,0.885,88.48,136826880,5.44
2025-05-10 12:34:10,0.619,61.92,2288934912,90.95
2025-05-10 12:34:16,0.619,61.92,2288934912,90.95
2025-05-10 12:34:21,0.619,61.92,2288934912,90.95
2025-05-10 12:34:26,0.619,61.92,2288934912,90.95
2025-05-10 12:34:32,0.619,61.92,2288934912,90.95
2025-05-10 12:34:37,0.619,61.92,2288934912,90.95
2025-05-10 12:34:42,1.019,101.89,2288939008,90.95
2025-05-10 12:34:47,1.019,101.89,2288939008,90.95
2025-05-10 12:34:53,1.019,101.89,2288939008,90.95
2025-05-10 12:34:58,1.019,101.89,2288939008,90.95
2025-05-10 12:35:03,1.019,101.89,2288939008,90.95
2025-05-10 12:35:09,1.019,101.89,2286845952,90.87
2025-05-10 12:35:14,0.866,86.63,2286845952,90.87
