timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:01:43,0.780,77.95,2182434816,86.72
2025-05-09 01:01:48,0.780,77.95,2182434816,86.72
2025-05-09 01:01:54,0.780,77.95,2182434816,86.72
2025-05-09 01:01:59,0.780,77.95,2182434816,86.72
2025-05-09 01:02:05,0.780,77.95,2182434816,86.72
2025-05-09 01:02:10,0.780,77.95,2182443008,86.72
2025-05-09 01:02:16,0.958,95.79,2182443008,86.72
2025-05-09 01:02:21,0.958,95.79,2182443008,86.72
2025-05-09 01:02:27,0.958,95.79,2182443008,86.72
2025-05-09 01:02:32,0.958,95.79,2182443008,86.72
2025-05-09 01:02:38,0.958,95.79,2182443008,86.72
2025-05-09 01:02:43,0.460,46.03,1405976576,55.87
2025-05-09 01:02:49,0.460,46.03,1405976576,55.87
2025-05-09 01:02:54,0.460,46.03,1405976576,55.87
2025-05-09 01:03:00,0.460,46.03,1405976576,55.87
2025-05-09 01:03:06,0.460,46.03,1405976576,55.87
2025-05-09 01:03:11,0.460,46.03,2182549504,86.73
2025-05-09 01:03:17,0.901,90.13,2182549504,86.73
2025-05-09 01:03:22,0.901,90.13,2182549504,86.73
2025-05-09 01:03:28,0.901,90.13,2182549504,86.73
2025-05-09 01:03:33,0.901,90.13,2182549504,86.73
2025-05-09 01:03:39,0.901,90.13,2182443008,86.72
2025-05-09 01:03:44,1.177,117.70,2182443008,86.72
2025-05-09 01:03:52,1.177,117.70,2182443008,86.72
2025-05-09 01:03:58,1.177,117.70,2182443008,86.72
2025-05-09 01:04:04,1.177,117.70,2182443008,86.72
2025-05-09 01:04:09,1.177,117.70,2182447104,86.72
2025-05-09 01:04:15,0.825,82.54,2182447104,86.72
2025-05-09 01:04:20,0.825,82.54,2182447104,86.72
2025-05-09 01:04:26,0.825,82.54,2182447104,86.72
2025-05-09 01:04:31,0.825,82.54,2182447104,86.72
2025-05-09 01:04:37,0.825,82.54,2182447104,86.72
2025-05-09 01:04:42,0.825,82.54,2182447104,86.72
