timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:35:59,0.020,1.97,32313344,1.28
2025-05-14 15:36:05,0.020,1.97,32313344,1.28
2025-05-14 15:36:10,0.020,1.97,32313344,1.28
2025-05-14 15:36:15,0.020,1.97,32313344,1.28
2025-05-14 15:36:20,0.020,1.97,32313344,1.28
2025-05-14 15:36:26,0.020,1.97,31551488,1.25
2025-05-14 15:36:31,0.884,88.39,31551488,1.25
2025-05-14 15:36:36,0.884,88.39,31551488,1.25
2025-05-14 15:36:41,0.884,88.39,31551488,1.25
2025-05-14 15:36:47,0.884,88.39,31551488,1.25
2025-05-14 15:36:52,0.884,88.39,31551488,1.25
2025-05-14 15:36:57,0.584,58.42,2184949760,86.82
2025-05-14 15:37:02,0.584,58.42,2184949760,86.82
2025-05-14 15:37:08,0.584,58.42,2184949760,86.82
2025-05-14 15:37:13,0.584,58.42,2184949760,86.82
2025-05-14 15:37:18,0.584,58.42,2184949760,86.82
2025-05-14 15:37:24,0.584,58.42,2184949760,86.82
2025-05-14 15:37:29,1.045,104.48,2184945664,86.82
2025-05-14 15:37:34,1.045,104.48,2184945664,86.82
2025-05-14 15:37:39,1.045,104.48,2184945664,86.82
2025-05-14 15:37:45,1.045,104.48,2184945664,86.82
2025-05-14 15:37:50,1.045,104.48,2184945664,86.82
2025-05-14 15:37:55,1.045,104.48,2184945664,86.82
2025-05-14 15:38:00,0.786,78.56,2184949760,86.82
2025-05-14 15:38:05,0.786,78.56,2184949760,86.82
2025-05-14 15:38:11,0.786,78.56,2184949760,86.82
2025-05-14 15:38:16,0.786,78.56,2184949760,86.82
2025-05-14 15:38:21,0.786,78.56,2184949760,86.82
2025-05-14 15:38:26,0.786,78.56,2184957952,86.82
2025-05-14 15:38:32,0.906,90.58,2184957952,86.82
2025-05-14 15:38:37,0.906,90.58,2184957952,86.82
2025-05-14 15:38:42,0.906,90.58,2184957952,86.82
2025-05-14 15:38:47,0.906,90.58,2184957952,86.82
2025-05-14 15:38:52,0.906,90.58,2184957952,86.82
2025-05-14 15:38:58,0.805,80.50,2184957952,86.82
2025-05-14 15:39:03,0.805,80.50,2184957952,86.82
2025-05-14 15:39:08,0.805,80.50,2184957952,86.82
2025-05-14 15:39:13,0.805,80.50,2184957952,86.82
2025-05-14 15:39:19,0.805,80.50,2184957952,86.82
2025-05-14 15:39:24,0.805,80.50,2184957952,86.82
2025-05-14 15:39:29,0.798,79.81,2184953856,86.82
2025-05-14 15:39:34,0.798,79.81,2184953856,86.82
2025-05-14 15:39:40,0.798,79.81,2184953856,86.82
2025-05-14 15:39:45,0.798,79.81,2184953856,86.82
2025-05-14 15:39:50,0.798,79.81,2184953856,86.82
2025-05-14 15:39:56,0.798,79.81,2184953856,86.82
2025-05-14 15:40:01,0.628,62.82,2184953856,86.82
2025-05-14 15:40:06,0.628,62.82,2184953856,86.82
2025-05-14 15:40:11,0.628,62.82,2184953856,86.82
2025-05-14 15:40:17,0.628,62.82,2184953856,86.82
