timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:19:28,0.862,86.19,960413696,38.16
2025-05-14 15:19:33,0.862,86.19,2183970816,86.78
2025-05-14 15:19:39,0.862,86.19,2183970816,86.78
2025-05-14 15:19:44,0.862,86.19,2183970816,86.78
2025-05-14 15:19:49,0.862,86.19,2183970816,86.78
2025-05-14 15:19:54,0.862,86.19,2183970816,86.78
2025-05-14 15:19:59,0.962,96.20,2183970816,86.78
2025-05-14 15:20:05,0.962,96.20,32337920,1.28
2025-05-14 15:20:10,0.962,96.20,32337920,1.28
2025-05-14 15:20:15,0.962,96.20,32337920,1.28
2025-05-14 15:20:20,0.962,96.20,32337920,1.28
2025-05-14 15:20:26,0.962,96.20,32337920,1.28
2025-05-14 15:20:31,0.635,63.47,32337920,1.28
2025-05-14 15:20:36,0.635,63.47,2186047488,86.87
2025-05-14 15:20:42,0.635,63.47,2186047488,86.87
2025-05-14 15:20:47,0.635,63.47,2186047488,86.87
2025-05-14 15:20:52,0.635,63.47,2186047488,86.87
2025-05-14 15:20:57,0.525,52.52,2186047488,86.87
2025-05-14 15:21:03,0.525,52.52,2186047488,86.87
2025-05-14 15:21:08,0.525,52.52,2186072064,86.87
2025-05-14 15:21:13,0.525,52.52,2186072064,86.87
2025-05-14 15:21:19,0.525,52.52,2186072064,86.87
2025-05-14 15:21:24,0.525,52.52,2186072064,86.87
2025-05-14 15:21:29,1.069,106.85,2186072064,86.87
2025-05-14 15:21:35,1.069,106.85,2185502720,86.84
2025-05-14 15:21:40,1.069,106.85,2185502720,86.84
2025-05-14 15:21:45,1.069,106.85,2185502720,86.84
2025-05-14 15:21:50,1.069,106.85,2185502720,86.84
2025-05-14 15:21:56,1.069,106.85,2185502720,86.84
2025-05-14 15:22:01,0.797,79.69,2185502720,86.84
2025-05-14 15:22:06,0.797,79.69,40050688,1.59
2025-05-14 15:22:12,0.797,79.69,40050688,1.59
2025-05-14 15:22:17,0.797,79.69,40050688,1.59
2025-05-14 15:22:22,0.797,79.69,40050688,1.59
2025-05-14 15:22:27,0.276,27.60,40050688,1.59
2025-05-14 15:22:33,0.276,27.60,40050688,1.59
2025-05-14 15:22:38,0.276,27.60,2198216704,87.35
2025-05-14 15:22:43,0.276,27.60,2198216704,87.35
2025-05-14 15:22:48,0.276,27.60,2198216704,87.35
2025-05-14 15:22:54,0.276,27.60,2198216704,87.35
2025-05-14 15:22:59,1.118,111.82,2198216704,87.35
2025-05-14 15:23:04,1.118,111.82,2039320576,81.04
2025-05-14 15:23:09,1.118,111.82,2039320576,81.04
2025-05-14 15:23:14,1.118,111.82,2039320576,81.04
2025-05-14 15:23:20,1.118,111.82,2039320576,81.04
2025-05-14 15:23:25,1.118,111.82,2039320576,81.04
2025-05-14 15:23:30,0.594,59.45,2039320576,81.04
2025-05-14 15:23:35,0.594,59.45,48599040,1.93
2025-05-14 15:23:40,0.594,59.45,48599040,1.93
2025-05-14 15:23:45,0.594,59.45,48599040,1.93
2025-05-14 15:23:51,0.594,59.45,48599040,1.93
2025-05-14 15:23:56,0.594,59.45,48599040,1.93
2025-05-14 15:24:01,0.817,81.68,48599040,1.93
2025-05-14 15:24:06,0.817,81.68,2200739840,87.45
2025-05-14 15:24:11,0.817,81.68,2200739840,87.45
2025-05-14 15:24:16,0.817,81.68,2200739840,87.45
2025-05-14 15:24:22,0.817,81.68,2200739840,87.45
2025-05-14 15:24:27,0.817,81.68,2200739840,87.45
2025-05-14 15:24:32,0.588,58.81,2200739840,87.45
2025-05-14 15:24:37,0.588,58.81,2200756224,87.45
2025-05-14 15:24:42,0.588,58.81,2200756224,87.45
2025-05-14 15:24:48,0.588,58.81,2200756224,87.45
2025-05-14 15:24:53,0.588,58.81,2200756224,87.45
2025-05-14 15:24:58,0.812,81.23,2200756224,87.45
2025-05-14 15:25:03,0.812,81.23,2200756224,87.45
2025-05-14 15:25:08,0.812,81.23,2200756224,87.45
2025-05-14 15:25:13,0.812,81.23,2200756224,87.45
2025-05-14 15:25:18,0.812,81.23,2200756224,87.45
2025-05-14 15:25:24,0.812,81.23,2200756224,87.45
2025-05-14 15:25:29,0.988,98.79,2200756224,87.45
2025-05-14 15:25:34,0.988,98.79,2200965120,87.46
2025-05-14 15:25:39,0.988,98.79,2200965120,87.46
2025-05-14 15:25:44,0.988,98.79,2200965120,87.46
2025-05-14 15:25:49,0.988,98.79,2200965120,87.46
2025-05-14 15:25:55,0.988,98.79,2200965120,87.46
2025-05-14 15:26:00,0.791,79.09,2200965120,87.46
2025-05-14 15:26:05,0.791,79.09,2201001984,87.46
