timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:30:28,0.409,40.95,2183462912,86.76
2025-05-14 16:30:33,0.409,40.95,2183462912,86.76
2025-05-14 16:30:39,0.409,40.95,2183462912,86.76
2025-05-14 16:30:44,0.409,40.95,2183462912,86.76
2025-05-14 16:30:49,0.409,40.95,2183479296,86.76
2025-05-14 16:30:55,0.409,40.95,2183479296,86.76
2025-05-14 16:31:00,0.882,88.19,2183479296,86.76
2025-05-14 16:31:05,0.882,88.19,2183479296,86.76
2025-05-14 16:31:11,0.882,88.19,2183479296,86.76
2025-05-14 16:31:16,0.882,88.19,31895552,1.27
2025-05-14 16:31:21,0.882,88.19,31895552,1.27
2025-05-14 16:31:27,0.882,88.19,31895552,1.27
2025-05-14 16:31:32,0.693,69.25,31895552,1.27
2025-05-14 16:31:37,0.693,69.25,31895552,1.27
2025-05-14 16:31:42,0.693,69.25,31895552,1.27
2025-05-14 16:31:48,0.693,69.25,31936512,1.27
2025-05-14 16:31:53,0.693,69.25,31936512,1.27
2025-05-14 16:31:58,0.616,61.55,31936512,1.27
2025-05-14 16:32:03,0.616,61.55,31936512,1.27
2025-05-14 16:32:09,0.616,61.55,31936512,1.27
2025-05-14 16:32:14,0.616,61.55,31936512,1.27
2025-05-14 16:32:19,0.616,61.55,8908800,0.35
2025-05-14 16:32:24,0.616,61.55,8908800,0.35
2025-05-14 16:32:30,0.623,62.29,8908800,0.35
2025-05-14 16:32:35,0.623,62.29,8908800,0.35
2025-05-14 16:32:40,0.623,62.29,8908800,0.35
2025-05-14 16:32:46,0.623,62.29,2182230016,86.71
2025-05-14 16:32:51,0.623,62.29,2182230016,86.71
2025-05-14 16:32:56,0.623,62.29,2182230016,86.71
2025-05-14 16:33:02,0.649,64.88,2182230016,86.71
2025-05-14 16:33:07,0.649,64.88,2182230016,86.71
2025-05-14 16:33:12,0.649,64.88,2182230016,86.71
2025-05-14 16:33:17,0.649,64.88,2182246400,86.71
2025-05-14 16:33:22,0.649,64.88,2182246400,86.71
2025-05-14 16:33:28,0.509,50.87,2182246400,86.71
2025-05-14 16:33:33,0.509,50.87,2182246400,86.71
2025-05-14 16:33:38,0.509,50.87,2182246400,86.71
2025-05-14 16:33:43,0.509,50.87,2182246400,86.71
2025-05-14 16:33:48,0.509,50.87,30748672,1.22
2025-05-14 16:33:54,0.509,50.87,30748672,1.22
2025-05-14 16:33:59,0.840,83.97,30748672,1.22
2025-05-14 16:34:04,0.840,83.97,30748672,1.22
2025-05-14 16:34:09,0.840,83.97,30748672,1.22
2025-05-14 16:34:15,0.840,83.97,2182873088,86.74
2025-05-14 16:34:20,0.840,83.97,2182873088,86.74
2025-05-14 16:34:26,0.840,83.97,2182873088,86.74
2025-05-14 16:34:31,0.982,98.25,2182873088,86.74
2025-05-14 16:34:36,0.982,98.25,2182873088,86.74
2025-05-14 16:34:41,0.982,98.25,2182873088,86.74
2025-05-14 16:34:47,0.982,98.25,2182352896,86.72
2025-05-14 16:34:52,0.982,98.25,2182352896,86.72
2025-05-14 16:34:57,0.526,52.65,2182352896,86.72
2025-05-14 16:35:03,0.526,52.65,2182352896,86.72
2025-05-14 16:35:08,0.526,52.65,2182352896,86.72
2025-05-14 16:35:13,0.526,52.65,2182352896,86.72
2025-05-14 16:35:18,0.526,52.65,2182373376,86.72
2025-05-14 16:35:23,0.526,52.65,2182373376,86.72
2025-05-14 16:35:29,0.776,77.56,2182373376,86.72
2025-05-14 16:35:34,0.776,77.56,2182373376,86.72
2025-05-14 16:35:39,0.776,77.56,2182373376,86.72
2025-05-14 16:35:44,0.776,77.56,2183008256,86.74
2025-05-14 16:35:50,0.776,77.56,2183008256,86.74
2025-05-14 16:35:55,0.776,77.56,2183008256,86.74
2025-05-14 16:36:00,0.408,40.79,2183008256,86.74
2025-05-14 16:36:06,0.408,40.79,2183008256,86.74
2025-05-14 16:36:11,0.408,40.79,2183008256,86.74
2025-05-14 16:36:16,0.408,40.79,2183016448,86.75
2025-05-14 16:36:22,0.408,40.79,2183016448,86.75
2025-05-14 16:36:27,0.408,40.79,2183016448,86.75
2025-05-14 16:36:32,0.893,89.32,2183016448,86.75
2025-05-14 16:36:37,0.893,89.32,2183016448,86.75
2025-05-14 16:36:43,0.893,89.32,2183016448,86.75
2025-05-14 16:36:48,0.893,89.32,2183016448,86.75
2025-05-14 16:36:53,0.893,89.32,2183016448,86.75
2025-05-14 16:36:58,0.701,70.14,2183016448,86.75
2025-05-14 16:37:04,0.701,70.14,2183016448,86.75
2025-05-14 16:37:09,0.701,70.14,2183016448,86.75
2025-05-14 16:37:14,0.701,70.14,2183016448,86.75
2025-05-14 16:37:19,0.701,70.14,2182971392,86.74
2025-05-14 16:37:25,0.701,70.14,2182971392,86.74
2025-05-14 16:37:30,1.010,100.96,2182971392,86.74
2025-05-14 16:37:35,1.010,100.96,2182971392,86.74
2025-05-14 16:37:41,1.010,100.96,2182971392,86.74
2025-05-14 16:37:46,1.010,100.96,2182971392,86.74
2025-05-14 16:37:51,1.010,100.96,2182971392,86.74
2025-05-14 16:37:56,1.010,100.96,2182971392,86.74
2025-05-14 16:38:02,0.811,81.08,2182971392,86.74
2025-05-14 16:38:07,0.811,81.08,2182971392,86.74
2025-05-14 16:38:12,0.811,81.08,2182971392,86.74
2025-05-14 16:38:17,0.811,81.08,2182975488,86.74
2025-05-14 16:38:23,0.811,81.08,2182975488,86.74
2025-05-14 16:38:28,0.501,50.08,2182975488,86.74
2025-05-14 16:38:33,0.501,50.08,2182975488,86.74
2025-05-14 16:38:38,0.501,50.08,2182975488,86.74
2025-05-14 16:38:44,0.501,50.08,2182975488,86.74
2025-05-14 16:38:49,0.501,50.08,2182975488,86.74
2025-05-14 16:38:54,0.501,50.08,2182975488,86.74
2025-05-14 16:39:00,0.939,93.88,2182975488,86.74
2025-05-14 16:39:05,0.939,93.88,2182975488,86.74
2025-05-14 16:39:10,0.939,93.88,2182975488,86.74
2025-05-14 16:39:15,0.939,93.88,2182983680,86.74
2025-05-14 16:39:20,0.939,93.88,2182983680,86.74
2025-05-14 16:39:26,0.939,93.88,2182983680,86.74
2025-05-14 16:39:31,1.176,117.62,2182983680,86.74
2025-05-14 16:39:36,1.176,117.62,2182983680,86.74
2025-05-14 16:39:41,1.176,117.62,2182983680,86.74
