timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:46:42,0.836,83.63,30314496,1.20
2025-05-10 00:46:47,0.836,83.63,2182471680,86.72
2025-05-10 00:46:53,0.836,83.63,2182471680,86.72
2025-05-10 00:46:58,0.836,83.63,2182471680,86.72
2025-05-10 00:47:03,0.836,83.63,2182471680,86.72
2025-05-10 00:47:09,0.836,83.63,2182471680,86.72
2025-05-10 00:47:14,0.858,85.75,32489472,1.29
2025-05-10 00:47:19,0.858,85.75,32489472,1.29
2025-05-10 00:47:25,0.858,85.75,32489472,1.29
2025-05-10 00:47:30,0.858,85.75,32489472,1.29
2025-05-10 00:47:35,0.858,85.75,32489472,1.29
2025-05-10 00:47:41,0.858,85.75,32489472,1.29
2025-05-10 00:47:46,0.731,73.10,2184622080,86.81
2025-05-10 00:47:51,0.731,73.10,2184622080,86.81
2025-05-10 00:47:57,0.731,73.10,2184622080,86.81
2025-05-10 00:48:02,0.731,73.10,2184622080,86.81
2025-05-10 00:48:07,0.731,73.10,2184622080,86.81
2025-05-10 00:48:12,0.803,80.31,2184622080,86.81
2025-05-10 00:48:18,0.803,80.31,32526336,1.29
2025-05-10 00:48:23,0.803,80.31,32526336,1.29
2025-05-10 00:48:28,0.803,80.31,32526336,1.29
2025-05-10 00:48:34,0.803,80.31,32526336,1.29
2025-05-10 00:48:39,0.803,80.31,32526336,1.29
2025-05-10 00:48:45,0.916,91.56,8896512,0.35
2025-05-10 00:48:50,0.916,91.56,8896512,0.35
2025-05-10 00:48:55,0.916,91.56,8896512,0.35
2025-05-10 00:49:01,0.916,91.56,8896512,0.35
2025-05-10 00:49:06,0.916,91.56,8896512,0.35
2025-05-10 00:49:12,0.916,91.56,8896512,0.35
2025-05-10 00:49:17,0.867,86.65,2182098944,86.71
2025-05-10 00:49:22,0.867,86.65,2182098944,86.71
2025-05-10 00:49:27,0.867,86.65,2182098944,86.71
2025-05-10 00:49:33,0.867,86.65,2182098944,86.71
2025-05-10 00:49:38,0.867,86.65,2182098944,86.71
2025-05-10 00:49:43,0.790,79.00,2174947328,86.42
2025-05-10 00:49:49,0.790,79.00,2174947328,86.42
2025-05-10 00:49:54,0.790,79.00,2174947328,86.42
2025-05-10 00:49:59,0.790,79.00,2174947328,86.42
2025-05-10 00:50:05,0.790,79.00,2174947328,86.42
2025-05-10 00:50:10,0.790,79.00,2174947328,86.42
2025-05-10 00:50:15,0.888,88.84,32464896,1.29
2025-05-10 00:50:21,0.888,88.84,32464896,1.29
2025-05-10 00:50:26,0.888,88.84,32464896,1.29
2025-05-10 00:50:31,0.888,88.84,32464896,1.29
2025-05-10 00:50:37,0.888,88.84,32464896,1.29
2025-05-10 00:50:42,0.769,76.88,32464896,1.29
2025-05-10 00:50:47,0.769,76.88,2184581120,86.81
2025-05-10 00:50:52,0.769,76.88,2184581120,86.81
2025-05-10 00:50:58,0.769,76.88,2184581120,86.81
2025-05-10 00:51:03,0.769,76.88,2184581120,86.81
2025-05-10 00:51:08,0.769,76.88,2184581120,86.81
2025-05-10 00:51:14,0.781,78.14,2184609792,86.81
2025-05-10 00:51:19,0.781,78.14,2184609792,86.81
2025-05-10 00:51:24,0.781,78.14,2184609792,86.81
2025-05-10 00:51:30,0.781,78.14,2184609792,86.81
2025-05-10 00:51:35,0.781,78.14,2184609792,86.81
2025-05-10 00:51:40,0.781,78.14,2184609792,86.81
2025-05-10 00:51:46,0.801,80.09,33382400,1.33
2025-05-10 00:51:51,0.801,80.09,33382400,1.33
2025-05-10 00:51:56,0.801,80.09,33382400,1.33
2025-05-10 00:52:01,0.801,80.09,33382400,1.33
2025-05-10 00:52:07,0.801,80.09,33382400,1.33
2025-05-10 00:52:12,1.059,105.92,33382400,1.33
2025-05-10 00:52:17,1.059,105.92,2182135808,86.71
2025-05-10 00:52:23,1.059,105.92,2182135808,86.71
2025-05-10 00:52:28,1.059,105.92,2182135808,86.71
2025-05-10 00:52:33,1.059,105.92,2182135808,86.71
2025-05-10 00:52:38,1.059,105.92,2182135808,86.71
2025-05-10 00:52:44,0.619,61.86,2182164480,86.71
2025-05-10 00:52:49,0.619,61.86,2182164480,86.71
2025-05-10 00:52:54,0.619,61.86,2182164480,86.71
2025-05-10 00:53:00,0.619,61.86,2182164480,86.71
2025-05-10 00:53:05,0.619,61.86,2182164480,86.71
2025-05-10 00:53:10,0.619,61.86,2182164480,86.71
2025-05-10 00:53:16,0.718,71.82,2045042688,81.26
2025-05-10 00:53:21,0.718,71.82,2045042688,81.26
2025-05-10 00:53:26,0.718,71.82,2045042688,81.26
2025-05-10 00:53:31,0.718,71.82,2045042688,81.26
2025-05-10 00:53:37,0.718,71.82,2045042688,81.26
2025-05-10 00:53:42,0.692,69.16,2045042688,81.26
2025-05-10 00:53:47,0.692,69.16,2182164480,86.71
2025-05-10 00:53:53,0.692,69.16,2182164480,86.71
2025-05-10 00:53:58,0.692,69.16,2182164480,86.71
2025-05-10 00:54:03,0.692,69.16,2182164480,86.71
2025-05-10 00:54:08,0.692,69.16,2182164480,86.71
2025-05-10 00:54:14,1.179,117.88,30052352,1.19
2025-05-10 00:54:19,1.179,117.88,30052352,1.19
2025-05-10 00:54:24,1.179,117.88,30052352,1.19
2025-05-10 00:54:29,1.179,117.88,30052352,1.19
2025-05-10 00:54:35,1.179,117.88,30052352,1.19
2025-05-10 00:54:40,1.179,117.88,30052352,1.19
2025-05-10 00:54:45,0.708,70.78,2182176768,86.71
2025-05-10 00:54:51,0.708,70.78,2182176768,86.71
2025-05-10 00:54:56,0.708,70.78,2182176768,86.71
2025-05-10 00:55:01,0.708,70.78,2182176768,86.71
2025-05-10 00:55:07,0.708,70.78,2182176768,86.71
2025-05-10 00:55:12,0.982,98.24,2182176768,86.71
2025-05-10 00:55:17,0.982,98.24,30056448,1.19
2025-05-10 00:55:22,0.982,98.24,30056448,1.19
2025-05-10 00:55:28,0.982,98.24,30056448,1.19
2025-05-10 00:55:33,0.982,98.24,30056448,1.19
