timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:32:43,0.845,84.51,31252480,1.24
2025-05-10 13:32:48,0.845,84.51,31252480,1.24
2025-05-10 13:32:53,0.845,84.51,31252480,1.24
2025-05-10 13:32:59,0.845,84.51,31252480,1.24
2025-05-10 13:33:04,0.845,84.51,31240192,1.24
2025-05-10 13:33:09,0.845,84.51,31240192,1.24
2025-05-10 13:33:14,0.790,79.04,31240192,1.24
2025-05-10 13:33:20,0.790,79.04,31240192,1.24
2025-05-10 13:33:25,0.790,79.04,31240192,1.24
2025-05-10 13:33:30,0.790,79.04,31240192,1.24
2025-05-10 13:33:35,0.790,79.04,32505856,1.29
2025-05-10 13:33:41,0.806,80.58,32505856,1.29
2025-05-10 13:33:46,0.806,80.58,32505856,1.29
2025-05-10 13:33:51,0.806,80.58,32505856,1.29
2025-05-10 13:33:57,0.806,80.58,32505856,1.29
2025-05-10 13:34:02,0.806,80.58,2184634368,86.81
2025-05-10 13:34:07,0.806,80.58,2184634368,86.81
2025-05-10 13:34:12,0.343,34.26,2184634368,86.81
2025-05-10 13:34:18,0.343,34.26,2184634368,86.81
2025-05-10 13:34:23,0.343,34.26,2184634368,86.81
2025-05-10 13:34:28,0.343,34.26,2184634368,86.81
2025-05-10 13:34:33,0.343,34.26,2184626176,86.81
2025-05-10 13:34:39,0.343,34.26,2184626176,86.81
2025-05-10 13:34:44,1.362,136.17,2184626176,86.81
2025-05-10 13:34:49,1.362,136.17,2184626176,86.81
2025-05-10 13:34:55,1.362,136.17,2184626176,86.81
2025-05-10 13:35:00,1.362,136.17,2184626176,86.81
2025-05-10 13:35:05,1.362,136.17,2184626176,86.81
2025-05-10 13:35:10,0.714,71.44,2184626176,86.81
2025-05-10 13:35:16,0.714,71.44,2184626176,86.81
2025-05-10 13:35:21,0.714,71.44,2184626176,86.81
2025-05-10 13:35:26,0.714,71.44,2184626176,86.81
2025-05-10 13:35:32,0.714,71.44,2182123520,86.71
2025-05-10 13:35:37,0.714,71.44,2182123520,86.71
2025-05-10 13:35:42,0.734,73.40,2182123520,86.71
2025-05-10 13:35:48,0.734,73.40,2182123520,86.71
2025-05-10 13:35:53,0.734,73.40,2182123520,86.71
2025-05-10 13:35:58,0.734,73.40,2182123520,86.71
2025-05-10 13:36:03,0.734,73.40,2182156288,86.71
2025-05-10 13:36:09,0.734,73.40,2182156288,86.71
2025-05-10 13:36:14,0.913,91.34,2182156288,86.71
2025-05-10 13:36:19,0.913,91.34,2182156288,86.71
2025-05-10 13:36:25,0.913,91.34,2182156288,86.71
2025-05-10 13:36:30,0.913,91.34,2182156288,86.71
2025-05-10 13:36:35,0.913,91.34,2182156288,86.71
2025-05-10 13:36:40,0.637,63.70,2182156288,86.71
2025-05-10 13:36:46,0.637,63.70,2182156288,86.71
2025-05-10 13:36:51,0.637,63.70,2182156288,86.71
2025-05-10 13:36:56,0.637,63.70,2182156288,86.71
2025-05-10 13:37:01,0.637,63.70,2184646656,86.81
2025-05-10 13:37:07,0.637,63.70,2184646656,86.81
2025-05-10 13:37:12,0.619,61.95,2184646656,86.81
2025-05-10 13:37:18,0.619,61.95,2184646656,86.81
2025-05-10 13:37:24,0.619,61.95,2184646656,86.81
2025-05-10 13:37:30,0.619,61.95,2184646656,86.81
2025-05-10 13:37:36,0.619,61.95,2184658944,86.81
2025-05-10 13:37:41,1.302,130.20,2184658944,86.81
2025-05-10 13:37:46,1.302,130.20,2184658944,86.81
2025-05-10 13:37:52,1.302,130.20,2184658944,86.81
2025-05-10 13:37:57,1.302,130.20,2184658944,86.81
2025-05-10 13:38:02,1.302,130.20,2184650752,86.81
2025-05-10 13:38:07,1.302,130.20,2184650752,86.81
2025-05-10 13:38:13,0.523,52.29,2184650752,86.81
2025-05-10 13:38:18,0.523,52.29,2184650752,86.81
2025-05-10 13:38:23,0.523,52.29,2184650752,86.81
2025-05-10 13:38:29,0.523,52.29,2184650752,86.81
2025-05-10 13:38:34,0.523,52.29,2184642560,86.81
2025-05-10 13:38:39,0.523,52.29,2184642560,86.81
2025-05-10 13:38:45,0.805,80.47,2184642560,86.81
2025-05-10 13:38:50,0.805,80.47,2184642560,86.81
2025-05-10 13:38:55,0.805,80.47,2184642560,86.81
2025-05-10 13:39:01,0.805,80.47,2184642560,86.81
2025-05-10 13:39:06,0.805,80.47,2182234112,86.71
2025-05-10 13:39:11,0.675,67.48,2182234112,86.71
2025-05-10 13:39:16,0.675,67.48,2182234112,86.71
2025-05-10 13:39:22,0.675,67.48,2182234112,86.71
2025-05-10 13:39:27,0.675,67.48,2182234112,86.71
2025-05-10 13:39:32,0.675,67.48,2182254592,86.72
2025-05-10 13:39:38,0.675,67.48,2182254592,86.72
2025-05-10 13:39:43,0.850,85.00,2182254592,86.72
2025-05-10 13:39:49,0.850,85.00,2182254592,86.72
2025-05-10 13:39:54,0.850,85.00,2182254592,86.72
2025-05-10 13:39:59,0.850,85.00,2182254592,86.72
2025-05-10 13:40:04,0.850,85.00,2182262784,86.72
2025-05-10 13:40:10,0.850,85.00,2182262784,86.72
2025-05-10 13:40:15,0.880,88.03,2182262784,86.72
2025-05-10 13:40:21,0.880,88.03,2182262784,86.72
2025-05-10 13:40:26,0.880,88.03,2182262784,86.72
2025-05-10 13:40:31,0.880,88.03,2182262784,86.72
2025-05-10 13:40:36,0.880,88.03,2184740864,86.81
2025-05-10 13:40:42,1.097,109.72,2184740864,86.81
2025-05-10 13:40:47,1.097,109.72,2184740864,86.81
2025-05-10 13:40:52,1.097,109.72,2184740864,86.81
2025-05-10 13:40:58,1.097,109.72,2184740864,86.81
2025-05-10 13:41:03,1.097,109.72,2184761344,86.81
2025-05-10 13:41:08,1.097,109.72,2184761344,86.81
2025-05-10 13:41:14,0.837,83.73,2184761344,86.81
2025-05-10 13:41:19,0.837,83.73,2184761344,86.81
2025-05-10 13:41:24,0.837,83.73,2184761344,86.81
2025-05-10 13:41:29,0.837,83.73,2184761344,86.81
2025-05-10 13:41:35,0.837,83.73,2184765440,86.81
2025-05-10 13:41:40,0.837,83.73,2184765440,86.81
2025-05-10 13:41:45,0.435,43.45,2184765440,86.81
2025-05-10 13:41:51,0.435,43.45,2184765440,86.81
