timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:32:14,0.733,73.29,2287394816,90.89
2025-05-10 12:32:19,0.733,73.29,2287394816,90.89
2025-05-10 12:32:24,0.733,73.29,2287394816,90.89
2025-05-10 12:32:30,0.733,73.29,2287394816,90.89
2025-05-10 12:32:35,0.733,73.29,2287427584,90.89
2025-05-10 12:32:40,0.523,52.27,2287427584,90.89
2025-05-10 12:32:45,0.523,52.27,2287427584,90.89
2025-05-10 12:32:51,0.523,52.27,2287427584,90.89
2025-05-10 12:32:56,0.523,52.27,2287427584,90.89
2025-05-10 12:33:01,0.523,52.27,2287423488,90.89
2025-05-10 12:33:07,0.523,52.27,2287423488,90.89
2025-05-10 12:33:12,0.939,93.88,2287423488,90.89
2025-05-10 12:33:17,0.939,93.88,2287423488,90.89
2025-05-10 12:33:23,0.939,93.88,2287423488,90.89
2025-05-10 12:33:28,0.939,93.88,2287423488,90.89
2025-05-10 12:33:33,0.939,93.88,2288906240,90.95
2025-05-10 12:33:38,0.939,93.88,2288906240,90.95
2025-05-10 12:33:44,0.768,76.78,2288906240,90.95
2025-05-10 12:33:49,0.768,76.78,2288906240,90.95
2025-05-10 12:33:54,0.768,76.78,2288906240,90.95
2025-05-10 12:34:00,0.768,76.78,2288906240,90.95
2025-05-10 12:34:05,0.768,76.78,2288914432,90.95
2025-05-10 12:34:10,1.162,116.17,2288914432,90.95
2025-05-10 12:34:16,1.162,116.17,2288914432,90.95
2025-05-10 12:34:21,1.162,116.17,2288914432,90.95
2025-05-10 12:34:26,1.162,116.17,2288914432,90.95
2025-05-10 12:34:32,1.162,116.17,2288910336,90.95
2025-05-10 12:34:37,1.162,116.17,2288910336,90.95
2025-05-10 12:34:42,0.378,37.79,2288910336,90.95
2025-05-10 12:34:47,0.378,37.79,2288910336,90.95
2025-05-10 12:34:53,0.378,37.79,2288910336,90.95
2025-05-10 12:34:58,0.378,37.79,2288910336,90.95
2025-05-10 12:35:03,0.378,37.79,113807360,4.52
2025-05-10 12:35:09,0.378,37.79,113807360,4.52
2025-05-10 12:35:14,0.969,96.94,113807360,4.52
2025-05-10 12:35:20,0.969,96.94,113807360,4.52
2025-05-10 12:35:25,0.969,96.94,113807360,4.52
2025-05-10 12:35:30,0.969,96.94,113807360,4.52
2025-05-10 12:35:35,0.969,96.94,2287038464,90.88
2025-05-10 12:35:41,0.775,77.49,2287038464,90.88
2025-05-10 12:35:46,0.775,77.49,2287038464,90.88
2025-05-10 12:35:51,0.775,77.49,2287038464,90.88
2025-05-10 12:35:57,0.775,77.49,2287038464,90.88
2025-05-10 12:36:02,0.775,77.49,2287067136,90.88
2025-05-10 12:36:07,0.775,77.49,2287067136,90.88
