timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:52:41,0.654,65.38,2183323648,86.76
2025-05-10 13:52:46,0.654,65.38,2183323648,86.76
2025-05-10 13:52:51,0.654,65.38,2183323648,86.76
2025-05-10 13:52:56,0.654,65.38,2183323648,86.76
2025-05-10 13:53:02,0.654,65.38,2183323648,86.76
2025-05-10 13:53:07,0.654,65.38,2183323648,86.76
2025-05-10 13:53:12,0.815,81.48,2183368704,86.76
2025-05-10 13:53:18,0.815,81.48,2183368704,86.76
2025-05-10 13:53:23,0.815,81.48,2183368704,86.76
2025-05-10 13:53:28,0.815,81.48,2183368704,86.76
2025-05-10 13:53:33,0.815,81.48,2183368704,86.76
2025-05-10 13:53:39,0.815,81.48,2183356416,86.76
2025-05-10 13:53:44,0.892,89.18,2183356416,86.76
2025-05-10 13:53:49,0.892,89.18,2183356416,86.76
2025-05-10 13:53:55,0.892,89.18,2183356416,86.76
2025-05-10 13:54:00,0.892,89.18,2183356416,86.76
2025-05-10 13:54:05,0.892,89.18,2183356416,86.76
2025-05-10 13:54:11,0.466,46.60,2184626176,86.81
2025-05-10 13:54:16,0.466,46.60,2184626176,86.81
2025-05-10 13:54:21,0.466,46.60,2184626176,86.81
2025-05-10 13:54:27,0.466,46.60,2184626176,86.81
2025-05-10 13:54:32,0.466,46.60,2184626176,86.81
2025-05-10 13:54:37,0.466,46.60,2184638464,86.81
2025-05-10 13:54:42,1.072,107.18,2184638464,86.81
2025-05-10 13:54:48,1.072,107.18,2184638464,86.81
2025-05-10 13:54:53,1.072,107.18,2184638464,86.81
2025-05-10 13:54:58,1.072,107.18,2184638464,86.81
2025-05-10 13:55:04,1.072,107.18,2184638464,86.81
2025-05-10 13:55:09,1.072,107.18,2184634368,86.81
2025-05-10 13:55:14,0.910,90.97,2184634368,86.81
2025-05-10 13:55:20,0.910,90.97,2184634368,86.81
2025-05-10 13:55:25,0.910,90.97,2184634368,86.81
2025-05-10 13:55:31,0.910,90.97,2184634368,86.81
2025-05-10 13:55:36,0.910,90.97,2184634368,86.81
2025-05-10 13:55:41,0.643,64.28,2182131712,86.71
2025-05-10 13:55:46,0.643,64.28,2182131712,86.71
2025-05-10 13:55:52,0.643,64.28,2182131712,86.71
2025-05-10 13:55:57,0.643,64.28,2182131712,86.71
2025-05-10 13:56:02,0.643,64.28,2182131712,86.71
2025-05-10 13:56:08,0.643,64.28,2182156288,86.71
2025-05-10 13:56:13,0.986,98.58,2182156288,86.71
2025-05-10 13:56:18,0.986,98.58,2182156288,86.71
2025-05-10 13:56:23,0.986,98.58,2182156288,86.71
2025-05-10 13:56:29,0.986,98.58,2182156288,86.71
2025-05-10 13:56:34,0.986,98.58,2182156288,86.71
2025-05-10 13:56:39,0.986,98.58,30146560,1.20
2025-05-10 13:56:45,1.095,109.52,30146560,1.20
2025-05-10 13:56:50,1.095,109.52,30146560,1.20
2025-05-10 13:56:55,1.095,109.52,30146560,1.20
2025-05-10 13:57:01,1.095,109.52,30146560,1.20
