timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:37:30,0.758,75.76,2183405568,86.76
2025-05-14 16:37:35,0.758,75.76,2183405568,86.76
2025-05-14 16:37:41,0.758,75.76,2183405568,86.76
2025-05-14 16:37:46,0.758,75.76,2183405568,86.76
2025-05-14 16:37:51,0.758,75.76,2183405568,86.76
2025-05-14 16:37:56,0.758,75.76,2183405568,86.76
2025-05-14 16:38:02,0.799,79.86,2183405568,86.76
2025-05-14 16:38:07,0.799,79.86,2183405568,86.76
2025-05-14 16:38:12,0.799,79.86,2183405568,86.76
2025-05-14 16:38:17,0.799,79.86,2183409664,86.76
2025-05-14 16:38:23,0.799,79.86,2183409664,86.76
2025-05-14 16:38:28,0.862,86.24,2183409664,86.76
2025-05-14 16:38:33,0.862,86.24,2183409664,86.76
2025-05-14 16:38:38,0.862,86.24,2183409664,86.76
2025-05-14 16:38:44,0.862,86.24,2183409664,86.76
2025-05-14 16:38:49,0.862,86.24,31272960,1.24
2025-05-14 16:38:54,0.862,86.24,31272960,1.24
2025-05-14 16:39:00,0.814,81.38,31272960,1.24
2025-05-14 16:39:05,0.814,81.38,31272960,1.24
2025-05-14 16:39:10,0.814,81.38,31272960,1.24
2025-05-14 16:39:15,0.814,81.38,2183413760,86.76
2025-05-14 16:39:20,0.814,81.38,2183413760,86.76
2025-05-14 16:39:26,0.814,81.38,2183413760,86.76
2025-05-14 16:39:31,0.696,69.56,2183413760,86.76
2025-05-14 16:39:36,0.696,69.56,2183413760,86.76
2025-05-14 16:39:41,0.696,69.56,2183413760,86.76
2025-05-14 16:39:47,0.696,69.56,2183413760,86.76
2025-05-14 16:39:52,0.696,69.56,2183413760,86.76
2025-05-14 16:39:57,0.774,77.36,2183413760,86.76
2025-05-14 16:40:03,0.774,77.36,2183413760,86.76
2025-05-14 16:40:08,0.774,77.36,2183413760,86.76
2025-05-14 16:40:13,0.774,77.36,2183413760,86.76
2025-05-14 16:40:18,0.774,77.36,2183417856,86.76
2025-05-14 16:40:24,0.774,77.36,2183417856,86.76
2025-05-14 16:40:29,0.842,84.23,2183417856,86.76
2025-05-14 16:40:34,0.842,84.23,2183417856,86.76
2025-05-14 16:40:40,0.842,84.23,2183417856,86.76
2025-05-14 16:40:45,0.842,84.23,31281152,1.24
2025-05-14 16:40:50,0.842,84.23,31281152,1.24
2025-05-14 16:40:55,0.842,84.23,31281152,1.24
2025-05-14 16:41:00,0.765,76.49,31281152,1.24
2025-05-14 16:41:06,0.765,76.49,31281152,1.24
2025-05-14 16:41:11,0.765,76.49,31281152,1.24
2025-05-14 16:41:16,0.765,76.49,2183413760,86.76
2025-05-14 16:41:22,0.765,76.49,2183413760,86.76
2025-05-14 16:41:27,0.765,76.49,2183413760,86.76
2025-05-14 16:41:32,0.851,85.05,2183413760,86.76
2025-05-14 16:41:37,0.851,85.05,2183413760,86.76
2025-05-14 16:41:43,0.851,85.05,2183413760,86.76
2025-05-14 16:41:48,0.851,85.05,2184675328,86.81
2025-05-14 16:41:53,0.851,85.05,2184675328,86.81
2025-05-14 16:41:58,0.548,54.84,2184675328,86.81
2025-05-14 16:42:03,0.548,54.84,2184675328,86.81
2025-05-14 16:42:09,0.548,54.84,2184675328,86.81
2025-05-14 16:42:14,0.548,54.84,2184675328,86.81
2025-05-14 16:42:19,0.548,54.84,2184683520,86.81
2025-05-14 16:42:24,0.548,54.84,2184683520,86.81
2025-05-14 16:42:29,0.946,94.63,2184683520,86.81
2025-05-14 16:42:35,0.946,94.63,2184683520,86.81
2025-05-14 16:42:40,0.946,94.63,2184683520,86.81
2025-05-14 16:42:45,0.946,94.63,0,0.00
2025-05-14 16:42:50,0.946,94.63,0,0.00
2025-05-14 16:42:56,0.946,94.63,0,0.00
2025-05-14 16:43:01,0.946,94.63,0,0.00
2025-05-14 16:43:06,0.946,94.63,0,0.00
