timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:54:12,0.789,78.93,2183335936,86.76
2025-05-10 01:54:17,0.789,78.93,2183368704,86.76
2025-05-10 01:54:23,0.789,78.93,2183368704,86.76
2025-05-10 01:54:28,0.789,78.93,2183368704,86.76
2025-05-10 01:54:33,0.789,78.93,2183368704,86.76
2025-05-10 01:54:38,0.789,78.93,2183368704,86.76
2025-05-10 01:54:44,0.533,53.29,2183368704,86.76
2025-05-10 01:54:49,0.533,53.29,2183368704,86.76
2025-05-10 01:54:54,0.533,53.29,2183368704,86.76
2025-05-10 01:55:00,0.533,53.29,2183368704,86.76
2025-05-10 01:55:05,0.533,53.29,2183368704,86.76
2025-05-10 01:55:10,0.533,53.29,2183368704,86.76
2025-05-10 01:55:15,0.878,87.81,2183368704,86.76
2025-05-10 01:55:21,0.878,87.81,2184638464,86.81
2025-05-10 01:55:26,0.878,87.81,2184638464,86.81
2025-05-10 01:55:31,0.878,87.81,2184638464,86.81
2025-05-10 01:55:36,0.878,87.81,2184638464,86.81
2025-05-10 01:55:42,0.750,75.00,2184638464,86.81
2025-05-10 01:55:47,0.750,75.00,2184642560,86.81
2025-05-10 01:55:52,0.750,75.00,2184642560,86.81
2025-05-10 01:55:58,0.750,75.00,2184642560,86.81
2025-05-10 01:56:03,0.750,75.00,2184642560,86.81
2025-05-10 01:56:08,0.750,75.00,2184642560,86.81
2025-05-10 01:56:13,1.015,101.49,2184642560,86.81
2025-05-10 01:56:19,1.015,101.49,2184646656,86.81
2025-05-10 01:56:24,1.015,101.49,2184646656,86.81
2025-05-10 01:56:29,1.015,101.49,2184646656,86.81
2025-05-10 01:56:34,1.015,101.49,2184646656,86.81
2025-05-10 01:56:40,1.015,101.49,2184646656,86.81
2025-05-10 01:56:45,0.966,96.64,2184646656,86.81
2025-05-10 01:56:50,0.966,96.64,2182107136,86.71
2025-05-10 01:56:55,0.966,96.64,2182107136,86.71
