timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 02:06:42,0.628,62.85,2183385088,86.76
2025-05-11 02:06:47,0.628,62.85,2183385088,86.76
2025-05-11 02:06:52,0.628,62.85,2183385088,86.76
2025-05-11 02:06:58,0.628,62.85,2183385088,86.76
2025-05-11 02:07:03,0.628,62.85,2183385088,86.76
2025-05-11 02:07:08,0.628,62.85,2183385088,86.76
2025-05-11 02:07:13,0.950,95.04,2183307264,86.76
2025-05-11 02:07:19,0.950,95.04,2183307264,86.76
2025-05-11 02:07:24,0.950,95.04,2183307264,86.76
2025-05-11 02:07:29,0.950,95.04,2183307264,86.76
2025-05-11 02:07:34,0.950,95.04,2183307264,86.76
2025-05-11 02:07:39,0.950,95.04,278601728,11.07
2025-05-11 02:07:45,0.945,94.50,278601728,11.07
2025-05-11 02:07:50,0.945,94.50,278601728,11.07
2025-05-11 02:07:55,0.945,94.50,278601728,11.07
2025-05-11 02:08:00,0.945,94.50,278601728,11.07
2025-05-11 02:08:06,0.945,94.50,278601728,11.07
2025-05-11 02:08:11,1.017,101.68,2183315456,86.76
2025-05-11 02:08:16,1.017,101.68,2183315456,86.76
2025-05-11 02:08:21,1.017,101.68,2183315456,86.76
2025-05-11 02:08:27,1.017,101.68,2183315456,86.76
2025-05-11 02:08:32,1.017,101.68,2183315456,86.76
2025-05-11 02:08:37,1.017,101.68,2183315456,86.76
2025-05-11 02:08:42,0.714,71.35,2183319552,86.76
2025-05-11 02:08:48,0.714,71.35,2183319552,86.76
2025-05-11 02:08:53,0.714,71.35,2183319552,86.76
2025-05-11 02:08:58,0.714,71.35,2183319552,86.76
2025-05-11 02:09:03,0.714,71.35,2183319552,86.76
2025-05-11 02:09:08,0.714,71.35,2183319552,86.76
2025-05-11 02:09:14,1.101,110.14,2183569408,86.77
2025-05-11 02:09:19,1.101,110.14,2183569408,86.77
2025-05-11 02:09:24,1.101,110.14,2183569408,86.77
2025-05-11 02:09:29,1.101,110.14,2183569408,86.77
2025-05-11 02:09:35,1.101,110.14,2183569408,86.77
2025-05-11 02:09:40,1.101,110.14,2183315456,86.76
2025-05-11 02:09:45,0.828,82.81,2183315456,86.76
2025-05-11 02:09:50,0.828,82.81,2183315456,86.76
2025-05-11 02:09:56,0.828,82.81,2183315456,86.76
2025-05-11 02:10:01,0.828,82.81,2183315456,86.76
2025-05-11 02:10:06,0.828,82.81,2183315456,86.76
2025-05-11 02:10:11,0.845,84.49,2183311360,86.76
2025-05-11 02:10:16,0.845,84.49,2183311360,86.76
2025-05-11 02:10:22,0.845,84.49,2183311360,86.76
2025-05-11 02:10:27,0.845,84.49,2183311360,86.76
2025-05-11 02:10:32,0.845,84.49,2183311360,86.76
2025-05-11 02:10:37,0.845,84.49,2183311360,86.76
2025-05-11 02:10:43,0.484,48.43,2183307264,86.76
2025-05-11 02:10:48,0.484,48.43,2183307264,86.76
2025-05-11 02:10:53,0.484,48.43,2183307264,86.76
2025-05-11 02:10:58,0.484,48.43,2183307264,86.76
2025-05-11 02:11:04,0.484,48.43,2183307264,86.76
2025-05-11 02:11:09,0.484,48.43,534753280,21.25
2025-05-11 02:11:14,0.978,97.81,534753280,21.25
2025-05-11 02:11:19,0.978,97.81,534753280,21.25
2025-05-11 02:11:25,0.978,97.81,534753280,21.25
2025-05-11 02:11:30,0.978,97.81,534753280,21.25
2025-05-11 02:11:35,0.978,97.81,534753280,21.25
2025-05-11 02:11:40,1.143,114.32,2183315456,86.76
2025-05-11 02:11:45,1.143,114.32,2183315456,86.76
2025-05-11 02:11:51,1.143,114.32,2183315456,86.76
2025-05-11 02:11:56,1.143,114.32,2183315456,86.76
2025-05-11 02:12:01,1.143,114.32,2183315456,86.76
2025-05-11 02:12:06,1.143,114.32,2183315456,86.76
2025-05-11 02:12:12,0.619,61.91,2183315456,86.76
2025-05-11 02:12:17,0.619,61.91,2183315456,86.76
2025-05-11 02:12:22,0.619,61.91,2183315456,86.76
2025-05-11 02:12:27,0.619,61.91,2183315456,86.76
2025-05-11 02:12:33,0.619,61.91,2183315456,86.76
2025-05-11 02:12:38,0.619,61.91,2183315456,86.76
2025-05-11 02:12:43,1.082,108.19,2183327744,86.76
2025-05-11 02:12:48,1.082,108.19,2183327744,86.76
2025-05-11 02:12:53,1.082,108.19,2183327744,86.76
2025-05-11 02:12:59,1.082,108.19,2183327744,86.76
2025-05-11 02:13:04,1.082,108.19,2183327744,86.76
2025-05-11 02:13:09,1.082,108.19,2183331840,86.76
2025-05-11 02:13:14,0.653,65.29,2183331840,86.76
2025-05-11 02:13:19,0.653,65.29,2183331840,86.76
2025-05-11 02:13:25,0.653,65.29,2183331840,86.76
2025-05-11 02:13:30,0.653,65.29,2183331840,86.76
2025-05-11 02:13:35,0.653,65.29,2183331840,86.76
2025-05-11 02:13:40,0.905,90.45,2183311360,86.76
2025-05-11 02:13:46,0.905,90.45,2183311360,86.76
