timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:09:02,0.587,58.73,2183479296,86.76
2025-05-14 16:09:07,0.587,58.73,2183479296,86.76
2025-05-14 16:09:12,0.587,58.73,2183479296,86.76
2025-05-14 16:09:17,0.587,58.73,2184028160,86.79
2025-05-14 16:09:22,0.587,58.73,2184028160,86.79
2025-05-14 16:09:28,0.579,57.94,2184028160,86.79
2025-05-14 16:09:33,0.579,57.94,2184028160,86.79
2025-05-14 16:09:38,0.579,57.94,2184028160,86.79
2025-05-14 16:09:43,0.579,57.94,2184028160,86.79
2025-05-14 16:09:48,0.579,57.94,2184282112,86.80
2025-05-14 16:09:53,0.579,57.94,2184282112,86.80
2025-05-14 16:09:59,0.874,87.35,2184282112,86.80
2025-05-14 16:10:04,0.874,87.35,2184282112,86.80
2025-05-14 16:10:09,0.874,87.35,2184282112,86.80
2025-05-14 16:10:14,0.874,87.35,2184282112,86.80
2025-05-14 16:10:19,0.874,87.35,27725824,1.10
2025-05-14 16:10:25,0.874,87.35,27725824,1.10
2025-05-14 16:10:30,0.688,68.84,27725824,1.10
2025-05-14 16:10:35,0.688,68.84,27725824,1.10
2025-05-14 16:10:40,0.688,68.84,27725824,1.10
2025-05-14 16:10:45,0.688,68.84,30052352,1.19
2025-05-14 16:10:51,0.688,68.84,30052352,1.19
2025-05-14 16:10:56,0.688,68.84,30052352,1.19
2025-05-14 16:11:01,0.464,46.44,30052352,1.19
2025-05-14 16:11:06,0.464,46.44,30052352,1.19
2025-05-14 16:11:12,0.464,46.44,30052352,1.19
2025-05-14 16:11:17,0.464,46.44,2182201344,86.71
2025-05-14 16:11:22,0.464,46.44,2182201344,86.71
2025-05-14 16:11:27,0.777,77.67,2182201344,86.71
2025-05-14 16:11:33,0.777,77.67,2182201344,86.71
2025-05-14 16:11:38,0.777,77.67,2182201344,86.71
2025-05-14 16:11:43,0.777,77.67,2182201344,86.71
2025-05-14 16:11:48,0.777,77.67,2182836224,86.74
2025-05-14 16:11:53,0.777,77.67,2182836224,86.74
2025-05-14 16:11:59,0.618,61.75,2182836224,86.74
2025-05-14 16:12:04,0.618,61.75,2182836224,86.74
2025-05-14 16:12:09,0.618,61.75,2182836224,86.74
2025-05-14 16:12:14,0.618,61.75,2182836224,86.74
