timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:42:15,0.792,79.23,2183327744,86.76
2025-05-10 12:42:20,0.792,79.23,2183327744,86.76
2025-05-10 12:42:26,0.792,79.23,2183327744,86.76
2025-05-10 12:42:31,0.792,79.23,2183327744,86.76
2025-05-10 12:42:36,0.792,79.23,2183360512,86.76
2025-05-10 12:42:42,0.729,72.90,2183360512,86.76
2025-05-10 12:42:47,0.729,72.90,2183360512,86.76
2025-05-10 12:42:52,0.729,72.90,2183360512,86.76
2025-05-10 12:42:58,0.729,72.90,2183360512,86.76
2025-05-10 12:43:03,0.729,72.90,2183356416,86.76
2025-05-10 12:43:08,0.729,72.90,2183356416,86.76
2025-05-10 12:43:14,1.009,100.87,2183356416,86.76
2025-05-10 12:43:19,1.009,100.87,2183356416,86.76
2025-05-10 12:43:24,1.009,100.87,2183356416,86.76
2025-05-10 12:43:30,1.009,100.87,2183356416,86.76
2025-05-10 12:43:35,1.009,100.87,2184630272,86.81
2025-05-10 12:43:40,0.448,44.82,2184630272,86.81
2025-05-10 12:43:46,0.448,44.82,2184630272,86.81
2025-05-10 12:43:51,0.448,44.82,2184630272,86.81
2025-05-10 12:43:56,0.448,44.82,2184630272,86.81
2025-05-10 12:44:01,0.448,44.82,2184630272,86.81
2025-05-10 12:44:07,0.448,44.82,2184630272,86.81
2025-05-10 12:44:12,0.707,70.74,2184630272,86.81
2025-05-10 12:44:17,0.707,70.74,2184630272,86.81
2025-05-10 12:44:23,0.707,70.74,2184630272,86.81
2025-05-10 12:44:28,0.707,70.74,2184630272,86.81
2025-05-10 12:44:33,0.707,70.74,1060724736,42.15
2025-05-10 12:44:39,0.707,70.74,1060724736,42.15
2025-05-10 12:44:44,0.902,90.16,1060724736,42.15
2025-05-10 12:44:50,0.902,90.16,1060724736,42.15
2025-05-10 12:44:55,0.902,90.16,1060724736,42.15
2025-05-10 12:45:00,0.902,90.16,1060724736,42.15
2025-05-10 12:45:06,0.902,90.16,23961600,0.95
2025-05-10 12:45:11,0.936,93.62,23961600,0.95
2025-05-10 12:45:16,0.936,93.62,23961600,0.95
2025-05-10 12:45:22,0.936,93.62,23961600,0.95
2025-05-10 12:45:27,0.936,93.62,23961600,0.95
2025-05-10 12:45:32,0.936,93.62,2182107136,86.71
2025-05-10 12:45:38,0.936,93.62,2182107136,86.71
2025-05-10 12:45:43,0.803,80.30,2182107136,86.71
2025-05-10 12:45:48,0.803,80.30,2182107136,86.71
2025-05-10 12:45:54,0.803,80.30,2182107136,86.71
2025-05-10 12:45:59,0.803,80.30,2182107136,86.71
2025-05-10 12:46:04,0.803,80.30,2182123520,86.71
2025-05-10 12:46:10,0.803,80.30,2182123520,86.71
2025-05-10 12:46:15,0.927,92.74,2182123520,86.71
2025-05-10 12:46:20,0.927,92.74,2182123520,86.71
2025-05-10 12:46:26,0.927,92.74,2182123520,86.71
2025-05-10 12:46:31,0.927,92.74,2182123520,86.71
2025-05-10 12:46:36,0.927,92.74,2182127616,86.71
2025-05-10 12:46:41,0.876,87.62,2182127616,86.71
2025-05-10 12:46:47,0.876,87.62,2182127616,86.71
2025-05-10 12:46:52,0.876,87.62,2182127616,86.71
2025-05-10 12:46:57,0.876,87.62,2182127616,86.71
2025-05-10 12:47:03,0.876,87.62,2184609792,86.81
2025-05-10 12:47:08,0.876,87.62,2184609792,86.81
2025-05-10 12:47:13,0.853,85.28,2184609792,86.81
2025-05-10 12:47:19,0.853,85.28,2184609792,86.81
2025-05-10 12:47:24,0.853,85.28,2184609792,86.81
2025-05-10 12:47:29,0.853,85.28,2184609792,86.81
2025-05-10 12:47:34,0.853,85.28,2184642560,86.81
2025-05-10 12:47:40,0.853,85.28,2184642560,86.81
2025-05-10 12:47:45,0.484,48.39,2184642560,86.81
2025-05-10 12:47:50,0.484,48.39,2184642560,86.81
2025-05-10 12:47:56,0.484,48.39,2184642560,86.81
2025-05-10 12:48:01,0.484,48.39,2184642560,86.81
2025-05-10 12:48:06,0.484,48.39,2184634368,86.81
2025-05-10 12:48:12,1.075,107.46,2184634368,86.81
2025-05-10 12:48:17,1.075,107.46,2184634368,86.81
2025-05-10 12:48:22,1.075,107.46,2184634368,86.81
2025-05-10 12:48:28,1.075,107.46,2184634368,86.81
2025-05-10 12:48:33,1.075,107.46,2182205440,86.71
2025-05-10 12:48:38,1.075,107.46,2182205440,86.71
2025-05-10 12:48:44,0.874,87.40,2182205440,86.71
2025-05-10 12:48:49,0.874,87.40,2182205440,86.71
2025-05-10 12:48:54,0.874,87.40,2182205440,86.71
2025-05-10 12:49:00,0.874,87.40,2182205440,86.71
2025-05-10 12:49:05,0.874,87.40,2182225920,86.71
2025-05-10 12:49:10,0.608,60.80,2182225920,86.71
2025-05-10 12:49:16,0.608,60.80,2182225920,86.71
2025-05-10 12:49:21,0.608,60.80,2182225920,86.71
2025-05-10 12:49:26,0.608,60.80,2182225920,86.71
2025-05-10 12:49:31,0.608,60.80,2182225920,86.71
2025-05-10 12:49:37,0.608,60.80,2182213632,86.71
2025-05-10 12:49:42,0.877,87.67,2182213632,86.71
2025-05-10 12:49:47,0.877,87.67,2182213632,86.71
2025-05-10 12:49:53,0.877,87.67,2182213632,86.71
2025-05-10 12:49:58,0.877,87.67,2182213632,86.71
2025-05-10 12:50:03,0.877,87.67,2184699904,86.81
2025-05-10 12:50:09,0.877,87.67,2184699904,86.81
