timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 02:09:14,0.720,72.04,31965184,1.27
2025-05-11 02:09:19,0.720,72.04,31965184,1.27
2025-05-11 02:09:24,0.720,72.04,31965184,1.27
2025-05-11 02:09:29,0.720,72.04,31965184,1.27
2025-05-11 02:09:35,0.720,72.04,31965184,1.27
2025-05-11 02:09:40,0.720,72.04,1151541248,45.76
2025-05-11 02:09:45,0.777,77.66,1151541248,45.76
2025-05-11 02:09:50,0.777,77.66,1151541248,45.76
2025-05-11 02:09:56,0.777,77.66,1151541248,45.76
2025-05-11 02:10:01,0.777,77.66,1151541248,45.76
2025-05-11 02:10:06,0.777,77.66,1151541248,45.76
2025-05-11 02:10:11,0.975,97.47,31977472,1.27
2025-05-11 02:10:16,0.975,97.47,31977472,1.27
2025-05-11 02:10:22,0.975,97.47,31977472,1.27
2025-05-11 02:10:27,0.975,97.47,31977472,1.27
2025-05-11 02:10:32,0.975,97.47,31977472,1.27
2025-05-11 02:10:37,0.975,97.47,31977472,1.27
2025-05-11 02:10:43,1.095,109.51,31969280,1.27
2025-05-11 02:10:48,1.095,109.51,31969280,1.27
2025-05-11 02:10:53,1.095,109.51,31969280,1.27
2025-05-11 02:10:58,1.095,109.51,31969280,1.27
2025-05-11 02:11:04,1.095,109.51,31969280,1.27
2025-05-11 02:11:09,1.095,109.51,2184081408,86.79
2025-05-11 02:11:14,0.477,47.67,2184081408,86.79
2025-05-11 02:11:19,0.477,47.67,2184081408,86.79
2025-05-11 02:11:25,0.477,47.67,2184081408,86.79
2025-05-11 02:11:30,0.477,47.67,2184081408,86.79
2025-05-11 02:11:35,0.477,47.67,2184081408,86.79
2025-05-11 02:11:40,0.965,96.47,2184081408,86.79
2025-05-11 02:11:45,0.965,96.47,2184081408,86.79
2025-05-11 02:11:51,0.965,96.47,2184081408,86.79
2025-05-11 02:11:56,0.965,96.47,2184081408,86.79
2025-05-11 02:12:01,0.965,96.47,2184081408,86.79
2025-05-11 02:12:06,0.965,96.47,2184081408,86.79
2025-05-11 02:12:12,1.059,105.90,2184077312,86.79
2025-05-11 02:12:17,1.059,105.90,2184077312,86.79
2025-05-11 02:12:22,1.059,105.90,2184077312,86.79
2025-05-11 02:12:27,1.059,105.90,2184077312,86.79
2025-05-11 02:12:33,1.059,105.90,2184077312,86.79
2025-05-11 02:12:38,1.059,105.90,2184077312,86.79
2025-05-11 02:12:43,0.988,98.76,2184073216,86.79
2025-05-11 02:12:48,0.988,98.76,2184073216,86.79
2025-05-11 02:12:53,0.988,98.76,2184073216,86.79
2025-05-11 02:12:59,0.988,98.76,2184073216,86.79
2025-05-11 02:13:04,0.988,98.76,2184073216,86.79
2025-05-11 02:13:09,0.988,98.76,2184085504,86.79
2025-05-11 02:13:14,0.853,85.32,2184085504,86.79
2025-05-11 02:13:19,0.853,85.32,2184085504,86.79
2025-05-11 02:13:25,0.853,85.32,2184085504,86.79
2025-05-11 02:13:30,0.853,85.32,2184085504,86.79
2025-05-11 02:13:35,0.853,85.32,2184085504,86.79
2025-05-11 02:13:40,0.464,46.38,35217408,1.40
2025-05-11 02:13:46,0.464,46.38,35217408,1.40
