timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:49:00,0.804,80.36,2246881280,89.28
2025-05-14 16:49:06,0.804,80.36,96997376,3.85
2025-05-14 16:49:11,0.804,80.36,96997376,3.85
2025-05-14 16:49:16,0.804,80.36,96997376,3.85
2025-05-14 16:49:21,0.804,80.36,96997376,3.85
2025-05-14 16:49:26,0.804,80.36,96997376,3.85
2025-05-14 16:49:31,0.486,48.63,96997376,3.85
2025-05-14 16:49:36,0.486,48.63,97005568,3.85
2025-05-14 16:49:42,0.486,48.63,97005568,3.85
2025-05-14 16:49:47,0.486,48.63,97005568,3.85
2025-05-14 16:49:52,0.486,48.63,97005568,3.85
2025-05-14 16:49:57,0.486,48.63,97005568,3.85
2025-05-14 16:50:02,0.618,61.81,97005568,3.85
2025-05-14 16:50:07,0.618,61.81,2186907648,86.90
2025-05-14 16:50:13,0.618,61.81,2186907648,86.90
2025-05-14 16:50:18,0.618,61.81,2186907648,86.90
2025-05-14 16:50:23,0.618,61.81,2186907648,86.90
2025-05-14 16:50:28,0.950,94.98,2186907648,86.90
2025-05-14 16:50:33,0.950,94.98,2186907648,86.90
2025-05-14 16:50:38,0.950,94.98,2186915840,86.90
2025-05-14 16:50:44,0.950,94.98,2186915840,86.90
2025-05-14 16:50:49,0.950,94.98,2186915840,86.90
2025-05-14 16:50:54,0.950,94.98,2186915840,86.90
2025-05-14 16:50:59,0.611,61.06,2186915840,86.90
2025-05-14 16:51:04,0.611,61.06,2186911744,86.90
2025-05-14 16:51:09,0.611,61.06,2186911744,86.90
2025-05-14 16:51:14,0.611,61.06,2186911744,86.90
2025-05-14 16:51:20,0.611,61.06,2186911744,86.90
2025-05-14 16:51:25,0.611,61.06,2186911744,86.90
2025-05-14 16:51:30,0.964,96.37,2186911744,86.90
2025-05-14 16:51:35,0.964,96.37,2186915840,86.90
2025-05-14 16:51:40,0.964,96.37,2186915840,86.90
2025-05-14 16:51:45,0.964,96.37,2186915840,86.90
2025-05-14 16:51:51,0.964,96.37,2186915840,86.90
2025-05-14 16:51:56,0.964,96.37,2186915840,86.90
2025-05-14 16:52:01,0.894,89.44,2186915840,86.90
2025-05-14 16:52:06,0.894,89.44,2186928128,86.90
2025-05-14 16:52:11,0.894,89.44,2186928128,86.90
2025-05-14 16:52:16,0.894,89.44,2186928128,86.90
2025-05-14 16:52:22,0.894,89.44,2186928128,86.90
2025-05-14 16:52:27,0.894,89.44,2186928128,86.90
2025-05-14 16:52:32,0.701,70.08,2186928128,86.90
2025-05-14 16:52:37,0.701,70.08,34787328,1.38
2025-05-14 16:52:42,0.701,70.08,34787328,1.38
2025-05-14 16:52:47,0.701,70.08,34787328,1.38
2025-05-14 16:52:53,0.701,70.08,34787328,1.38
2025-05-14 16:52:58,0.856,85.60,34787328,1.38
2025-05-14 16:53:03,0.856,85.60,34787328,1.38
2025-05-14 16:53:08,0.856,85.60,2186915840,86.90
2025-05-14 16:53:13,0.856,85.60,2186915840,86.90
2025-05-14 16:53:18,0.856,85.60,2186915840,86.90
2025-05-14 16:53:24,0.856,85.60,2186915840,86.90
2025-05-14 16:53:29,0.578,57.83,2186915840,86.90
2025-05-14 16:53:34,0.578,57.83,2186915840,86.90
2025-05-14 16:53:39,0.578,57.83,2186915840,86.90
2025-05-14 16:53:44,0.578,57.83,2186915840,86.90
2025-05-14 16:53:49,0.578,57.83,2186915840,86.90
2025-05-14 16:53:55,0.578,57.83,2186915840,86.90
2025-05-14 16:54:00,0.952,95.18,2186915840,86.90
2025-05-14 16:54:05,0.952,95.18,2209890304,87.81
2025-05-14 16:54:10,0.952,95.18,2209890304,87.81
2025-05-14 16:54:15,0.952,95.18,2209890304,87.81
2025-05-14 16:54:20,0.952,95.18,2209890304,87.81
2025-05-14 16:54:25,0.952,95.18,2209890304,87.81
2025-05-14 16:54:31,0.395,39.49,2209890304,87.81
2025-05-14 16:54:36,0.395,39.49,57778176,2.30
2025-05-14 16:54:41,0.395,39.49,57778176,2.30
2025-05-14 16:54:46,0.395,39.49,57778176,2.30
2025-05-14 16:54:51,0.395,39.49,57778176,2.30
2025-05-14 16:54:56,0.395,39.49,57778176,2.30
2025-05-14 16:55:02,0.861,86.12,57778176,2.30
