timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:39:00,0.166,83.02,30081024,22.41
2025-05-14 14:39:05,0.166,83.02,30081024,22.41
2025-05-14 14:39:11,0.166,83.02,30081024,22.41
2025-05-14 14:39:16,0.166,83.02,30081024,22.41
2025-05-14 14:39:21,0.166,83.02,30081024,22.41
2025-05-14 14:39:26,0.166,83.02,30081024,22.41
2025-05-14 14:39:31,0.185,92.29,30781440,22.93
2025-05-14 14:39:36,0.185,92.29,30781440,22.93
2025-05-14 14:39:41,0.185,92.29,30781440,22.93
2025-05-14 14:39:46,0.185,92.29,30781440,22.93
2025-05-14 14:39:51,0.185,92.29,30781440,22.93
2025-05-14 14:39:57,0.185,92.29,30781440,22.93
2025-05-14 14:40:02,0.208,104.17,31899648,23.77
2025-05-14 14:40:07,0.208,104.17,31899648,23.77
2025-05-14 14:40:12,0.208,104.17,31899648,23.77
2025-05-14 14:40:17,0.208,104.17,31899648,23.77
2025-05-14 14:40:22,0.208,104.17,31899648,23.77
2025-05-14 14:40:27,0.169,84.59,31899648,23.77
2025-05-14 14:40:32,0.169,84.59,28213248,21.02
2025-05-14 14:40:37,0.169,84.59,28213248,21.02
2025-05-14 14:40:43,0.169,84.59,28213248,21.02
2025-05-14 14:40:48,0.169,84.59,28213248,21.02
2025-05-14 14:40:53,0.169,84.59,28213248,21.02
2025-05-14 14:40:58,0.194,96.90,28213248,21.02
2025-05-14 14:41:03,0.194,96.90,27770880,20.69
2025-05-14 14:41:08,0.194,96.90,27770880,20.69
2025-05-14 14:41:13,0.194,96.90,27770880,20.69
2025-05-14 14:41:18,0.194,96.90,27770880,20.69
2025-05-14 14:41:24,0.194,96.90,27770880,20.69
2025-05-14 14:41:29,0.205,102.44,27770880,20.69
2025-05-14 14:41:34,0.205,102.44,27213824,20.28
2025-05-14 14:41:39,0.205,102.44,27213824,20.28
2025-05-14 14:41:44,0.205,102.44,27213824,20.28
2025-05-14 14:41:49,0.205,102.44,27213824,20.28
2025-05-14 14:41:54,0.205,102.44,27213824,20.28
2025-05-14 14:41:59,0.238,119.19,27213824,20.28
2025-05-14 14:42:04,0.238,119.19,27226112,20.29
2025-05-14 14:42:10,0.238,119.19,27226112,20.29
2025-05-14 14:42:15,0.238,119.19,27226112,20.29
2025-05-14 14:42:20,0.238,119.19,27226112,20.29
2025-05-14 14:42:25,0.238,119.19,27226112,20.29
2025-05-14 14:42:30,0.208,104.17,25890816,19.29
2025-05-14 14:42:35,0.208,104.17,25890816,19.29
2025-05-14 14:42:40,0.208,104.17,25890816,19.29
2025-05-14 14:42:45,0.208,104.17,25890816,19.29
2025-05-14 14:42:50,0.208,104.17,25890816,19.29
2025-05-14 14:42:56,0.208,104.17,25890816,19.29
2025-05-14 14:43:01,0.093,46.67,26443776,19.70
2025-05-14 14:43:06,0.093,46.67,26443776,19.70
2025-05-14 14:43:11,0.093,46.67,26443776,19.70
2025-05-14 14:43:16,0.093,46.67,26443776,19.70
2025-05-14 14:43:21,0.093,46.67,26443776,19.70
2025-05-14 14:43:26,0.093,46.67,26443776,19.70
2025-05-14 14:43:31,0.213,106.53,25616384,19.09
2025-05-14 14:43:36,0.213,106.53,25616384,19.09
2025-05-14 14:43:41,0.213,106.53,25616384,19.09
2025-05-14 14:43:47,0.213,106.53,25616384,19.09
2025-05-14 14:43:52,0.213,106.53,25616384,19.09
2025-05-14 14:43:57,0.213,106.53,25616384,19.09
2025-05-14 14:44:02,0.141,70.27,25182208,18.76
2025-05-14 14:44:07,0.141,70.27,25182208,18.76
2025-05-14 14:44:12,0.141,70.27,25182208,18.76
2025-05-14 14:44:17,0.141,70.27,25182208,18.76
2025-05-14 14:44:22,0.141,70.27,25182208,18.76
2025-05-14 14:44:27,0.163,81.39,25182208,18.76
2025-05-14 14:44:33,0.163,81.39,25243648,18.81
2025-05-14 14:44:38,0.163,81.39,25243648,18.81
2025-05-14 14:44:43,0.163,81.39,25243648,18.81
2025-05-14 14:44:48,0.163,81.39,25243648,18.81
2025-05-14 14:44:53,0.163,81.39,25243648,18.81
2025-05-14 14:44:58,0.135,67.33,25243648,18.81
2025-05-14 14:45:03,0.135,67.33,24539136,18.28
2025-05-14 14:45:08,0.135,67.33,24539136,18.28
2025-05-14 14:45:13,0.135,67.33,24539136,18.28
2025-05-14 14:45:19,0.135,67.33,24539136,18.28
2025-05-14 14:45:24,0.135,67.33,24539136,18.28
2025-05-14 14:45:29,0.101,50.48,24539136,18.28
2025-05-14 14:45:34,0.101,50.48,24608768,18.33
2025-05-14 14:45:39,0.101,50.48,24608768,18.33
2025-05-14 14:45:44,0.101,50.48,24608768,18.33
2025-05-14 14:45:49,0.101,50.48,24608768,18.33
2025-05-14 14:45:54,0.101,50.48,24608768,18.33
2025-05-14 14:45:59,0.104,52.11,24772608,18.46
2025-05-14 14:46:05,0.104,52.11,24772608,18.46
2025-05-14 14:46:10,0.104,52.11,24772608,18.46
2025-05-14 14:46:15,0.104,52.11,24772608,18.46
2025-05-14 14:46:20,0.104,52.11,24772608,18.46
2025-05-14 14:46:25,0.104,52.11,24772608,18.46
2025-05-14 14:46:30,0.072,35.98,24952832,18.59
2025-05-14 14:46:35,0.072,35.98,24952832,18.59
2025-05-14 14:46:40,0.072,35.98,24952832,18.59
2025-05-14 14:46:45,0.072,35.98,24952832,18.59
2025-05-14 14:46:51,0.072,35.98,24952832,18.59
2025-05-14 14:46:56,0.072,35.98,24952832,18.59
2025-05-14 14:47:01,0.129,64.48,25526272,19.02
2025-05-14 14:47:06,0.129,64.48,25526272,19.02
2025-05-14 14:47:11,0.129,64.48,25526272,19.02
2025-05-14 14:47:16,0.129,64.48,25526272,19.02
2025-05-14 14:47:21,0.129,64.48,25526272,19.02
2025-05-14 14:47:26,0.129,64.48,25526272,19.02
2025-05-14 14:47:32,0.216,108.01,25042944,18.66
2025-05-14 14:47:37,0.216,108.01,25042944,18.66
2025-05-14 14:47:42,0.216,108.01,25042944,18.66
2025-05-14 14:47:47,0.216,108.01,25042944,18.66
2025-05-14 14:47:52,0.216,108.01,25042944,18.66
2025-05-14 14:47:57,0.063,31.66,25042944,18.66
2025-05-14 14:48:02,0.063,31.66,25550848,19.04
2025-05-14 14:48:07,0.063,31.66,25550848,19.04
2025-05-14 14:48:13,0.063,31.66,25550848,19.04
2025-05-14 14:48:18,0.063,31.66,25550848,19.04
2025-05-14 14:48:23,0.063,31.66,25550848,19.04
2025-05-14 14:48:28,0.231,115.63,25550848,19.04
2025-05-14 14:48:33,0.231,115.63,26120192,19.46
2025-05-14 14:48:38,0.231,115.63,26120192,19.46
2025-05-14 14:48:43,0.231,115.63,26120192,19.46
2025-05-14 14:48:49,0.231,115.63,26120192,19.46
2025-05-14 14:48:54,0.231,115.63,26120192,19.46
2025-05-14 14:48:59,0.199,99.52,26120192,19.46
2025-05-14 14:49:04,0.199,99.52,25866240,19.27
2025-05-14 14:49:09,0.199,99.52,25866240,19.27
2025-05-14 14:49:14,0.199,99.52,25866240,19.27
2025-05-14 14:49:19,0.199,99.52,25866240,19.27
2025-05-14 14:49:24,0.199,99.52,25866240,19.27
2025-05-14 14:49:30,0.227,113.28,25931776,19.32
2025-05-14 14:49:35,0.227,113.28,25931776,19.32
2025-05-14 14:49:40,0.227,113.28,25931776,19.32
2025-05-14 14:49:45,0.227,113.28,25931776,19.32
2025-05-14 14:49:50,0.227,113.28,25931776,19.32
2025-05-14 14:49:55,0.227,113.28,25931776,19.32
2025-05-14 14:50:00,0.177,88.44,25571328,19.05
2025-05-14 14:50:06,0.177,88.44,25571328,19.05
2025-05-14 14:50:11,0.177,88.44,25571328,19.05
2025-05-14 14:50:16,0.177,88.44,25571328,19.05
2025-05-14 14:50:21,0.177,88.44,25571328,19.05
2025-05-14 14:50:26,0.177,88.44,25571328,19.05
2025-05-14 14:50:31,0.213,106.36,23855104,17.77
2025-05-14 14:50:36,0.213,106.36,23855104,17.77
2025-05-14 14:50:42,0.213,106.36,23855104,17.77
2025-05-14 14:50:47,0.213,106.36,23855104,17.77
2025-05-14 14:50:52,0.213,106.36,23855104,17.77
2025-05-14 14:50:57,0.213,106.36,23855104,17.77
2025-05-14 14:51:02,0.206,103.22,23822336,17.75
2025-05-14 14:51:07,0.206,103.22,23822336,17.75
2025-05-14 14:51:13,0.206,103.22,23822336,17.75
2025-05-14 14:51:18,0.206,103.22,23822336,17.75
2025-05-14 14:51:23,0.206,103.22,23822336,17.75
2025-05-14 14:51:28,0.105,52.65,23822336,17.75
2025-05-14 14:51:33,0.105,52.65,23773184,17.71
2025-05-14 14:51:38,0.105,52.65,23773184,17.71
2025-05-14 14:51:44,0.105,52.65,23773184,17.71
2025-05-14 14:51:49,0.105,52.65,23773184,17.71
2025-05-14 14:51:54,0.105,52.65,23773184,17.71
2025-05-14 14:51:59,0.120,60.16,23773184,17.71
2025-05-14 14:52:04,0.120,60.16,23785472,17.72
2025-05-14 14:52:09,0.120,60.16,23785472,17.72
2025-05-14 14:52:14,0.120,60.16,23785472,17.72
2025-05-14 14:52:20,0.120,60.16,23785472,17.72
2025-05-14 14:52:25,0.120,60.16,23785472,17.72
2025-05-14 14:52:30,0.092,45.86,23941120,17.84
2025-05-14 14:52:35,0.092,45.86,23941120,17.84
2025-05-14 14:52:40,0.092,45.86,23941120,17.84
2025-05-14 14:52:45,0.092,45.86,23941120,17.84
2025-05-14 14:52:50,0.092,45.86,23941120,17.84
2025-05-14 14:52:56,0.092,45.86,23941120,17.84
2025-05-14 14:53:01,0.089,44.56,23871488,17.79
2025-05-14 14:53:06,0.089,44.56,23871488,17.79
2025-05-14 14:53:11,0.089,44.56,23871488,17.79
2025-05-14 14:53:16,0.089,44.56,23871488,17.79
2025-05-14 14:53:21,0.089,44.56,23871488,17.79
2025-05-14 14:53:27,0.089,44.56,23871488,17.79
2025-05-14 14:53:32,0.104,51.95,24076288,17.94
2025-05-14 14:53:37,0.104,51.95,24076288,17.94
2025-05-14 14:53:42,0.104,51.95,24076288,17.94
2025-05-14 14:53:47,0.104,51.95,24076288,17.94
2025-05-14 14:53:52,0.104,51.95,24076288,17.94
