timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:05:58,0.023,11.51,19521536,14.54
2025-05-14 15:06:03,0.023,11.51,19849216,14.79
2025-05-14 15:06:09,0.023,11.51,19849216,14.79
2025-05-14 15:06:14,0.023,11.51,19849216,14.79
2025-05-14 15:06:19,0.023,11.51,19849216,14.79
2025-05-14 15:06:24,0.023,11.51,19849216,14.79
2025-05-14 15:06:29,0.025,12.73,19849216,14.79
2025-05-14 15:06:35,0.025,12.73,19881984,14.81
2025-05-14 15:06:40,0.025,12.73,19881984,14.81
2025-05-14 15:06:45,0.025,12.73,19881984,14.81
2025-05-14 15:06:50,0.025,12.73,19881984,14.81
2025-05-14 15:06:55,0.025,12.73,19881984,14.81
2025-05-14 15:07:01,0.022,10.80,19881984,14.81
2025-05-14 15:07:06,0.022,10.80,19779584,14.74
2025-05-14 15:07:11,0.022,10.80,19779584,14.74
2025-05-14 15:07:16,0.022,10.80,19779584,14.74
2025-05-14 15:07:22,0.022,10.80,19779584,14.74
2025-05-14 15:07:27,0.022,10.80,19779584,14.74
2025-05-14 15:07:32,0.035,17.71,19779584,14.74
2025-05-14 15:07:37,0.035,17.71,20205568,15.05
2025-05-14 15:07:43,0.035,17.71,20205568,15.05
2025-05-14 15:07:48,0.035,17.71,20205568,15.05
2025-05-14 15:07:53,0.035,17.71,20205568,15.05
2025-05-14 15:07:58,0.040,19.79,20205568,15.05
2025-05-14 15:08:04,0.040,19.79,20209664,15.06
2025-05-14 15:08:09,0.040,19.79,20209664,15.06
2025-05-14 15:08:14,0.040,19.79,20209664,15.06
2025-05-14 15:08:20,0.040,19.79,20209664,15.06
2025-05-14 15:08:25,0.040,19.79,20209664,15.06
2025-05-14 15:08:30,0.042,21.04,20209664,15.06
2025-05-14 15:08:36,0.042,21.04,20779008,15.48
2025-05-14 15:08:41,0.042,21.04,20779008,15.48
2025-05-14 15:08:47,0.042,21.04,20779008,15.48
2025-05-14 15:08:52,0.042,21.04,20779008,15.48
2025-05-14 15:08:58,0.034,16.89,20779008,15.48
2025-05-14 15:09:03,0.034,16.89,20779008,15.48
2025-05-14 15:09:08,0.034,16.89,21168128,15.77
2025-05-14 15:09:13,0.034,16.89,21168128,15.77
2025-05-14 15:09:19,0.034,16.89,21168128,15.77
2025-05-14 15:09:24,0.034,16.89,21168128,15.77
2025-05-14 15:09:29,0.072,36.11,21168128,15.77
2025-05-14 15:09:35,0.072,36.11,21651456,16.13
2025-05-14 15:09:40,0.072,36.11,21651456,16.13
2025-05-14 15:09:45,0.072,36.11,21651456,16.13
2025-05-14 15:09:51,0.072,36.11,21651456,16.13
2025-05-14 15:09:56,0.072,36.11,21651456,16.13
2025-05-14 15:10:02,0.055,27.36,21651456,16.13
2025-05-14 15:10:07,0.055,27.36,22388736,16.68
2025-05-14 15:10:12,0.055,27.36,22388736,16.68
2025-05-14 15:10:18,0.055,27.36,22388736,16.68
2025-05-14 15:10:23,0.055,27.36,22388736,16.68
2025-05-14 15:10:28,0.090,45.21,22388736,16.68
