timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:53:32,0.000,0.01,4526080,3.37
2025-05-14 14:53:37,0.000,0.01,4526080,3.37
2025-05-14 14:53:42,0.000,0.01,4526080,3.37
2025-05-14 14:53:47,0.000,0.01,4526080,3.37
2025-05-14 14:53:52,0.000,0.01,4526080,3.37
2025-05-14 14:53:58,0.000,0.02,4526080,3.37
2025-05-14 14:54:03,0.000,0.02,4526080,3.37
2025-05-14 14:54:08,0.000,0.02,4526080,3.37
2025-05-14 14:54:13,0.000,0.02,4526080,3.37
2025-05-14 14:54:18,0.000,0.02,4526080,3.37
2025-05-14 14:54:23,0.000,0.02,5267456,3.92
2025-05-14 14:54:28,0.017,8.36,5267456,3.92
2025-05-14 14:54:33,0.017,8.36,5267456,3.92
2025-05-14 14:54:39,0.017,8.36,5267456,3.92
2025-05-14 14:54:44,0.017,8.36,5267456,3.92
2025-05-14 14:54:49,0.017,8.36,5267456,3.92
2025-05-14 14:54:54,0.017,8.36,5349376,3.99
2025-05-14 14:54:59,0.016,8.01,5349376,3.99
