timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:13:02,0.003,1.61,18911232,14.09
2025-05-14 15:13:07,0.003,1.61,19357696,14.42
2025-05-14 15:13:12,0.003,1.61,19357696,14.42
2025-05-14 15:13:18,0.003,1.61,19357696,14.42
2025-05-14 15:13:23,0.003,1.61,19357696,14.42
2025-05-14 15:13:28,0.011,5.66,19357696,14.42
2025-05-14 15:13:33,0.011,5.66,19357696,14.42
2025-05-14 15:13:39,0.011,5.66,19357696,14.42
2025-05-14 15:13:44,0.011,5.66,19357696,14.42
2025-05-14 15:13:49,0.011,5.66,19357696,14.42
2025-05-14 15:13:54,0.011,5.66,19357696,14.42
2025-05-14 15:14:00,0.026,13.06,19357696,14.42
2025-05-14 15:14:05,0.026,13.06,19791872,14.75
2025-05-14 15:14:10,0.026,13.06,19791872,14.75
2025-05-14 15:14:16,0.026,13.06,19791872,14.75
2025-05-14 15:14:21,0.026,13.06,19791872,14.75
2025-05-14 15:14:27,0.026,13.06,19791872,14.75
2025-05-14 15:14:32,0.027,13.28,19791872,14.75
2025-05-14 15:14:37,0.027,13.28,19881984,14.81
2025-05-14 15:14:42,0.027,13.28,19881984,14.81
2025-05-14 15:14:48,0.027,13.28,19881984,14.81
2025-05-14 15:14:53,0.027,13.28,19881984,14.81
2025-05-14 15:14:59,0.040,20.17,19881984,14.81
2025-05-14 15:15:04,0.040,20.17,19558400,14.57
2025-05-14 15:15:09,0.040,20.17,19558400,14.57
2025-05-14 15:15:15,0.040,20.17,19558400,14.57
2025-05-14 15:15:20,0.040,20.17,19558400,14.57
2025-05-14 15:15:25,0.040,20.17,19558400,14.57
2025-05-14 15:15:31,0.020,10.07,19558400,14.57
2025-05-14 15:15:36,0.020,10.07,20197376,15.05
2025-05-14 15:15:41,0.020,10.07,20197376,15.05
2025-05-14 15:15:47,0.020,10.07,20197376,15.05
2025-05-14 15:15:52,0.020,10.07,20197376,15.05
2025-05-14 15:15:57,0.069,34.41,20197376,15.05
2025-05-14 15:16:02,0.069,34.41,20197376,15.05
2025-05-14 15:16:08,0.069,34.41,20422656,15.22
2025-05-14 15:16:13,0.069,34.41,20422656,15.22
2025-05-14 15:16:18,0.069,34.41,20422656,15.22
2025-05-14 15:16:24,0.069,34.41,20422656,15.22
2025-05-14 15:16:29,0.046,23.12,20422656,15.22
2025-05-14 15:16:34,0.046,23.12,19980288,14.89
