timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:54:02,0.049,24.55,8376320,6.24
2025-05-14 15:54:07,0.049,24.55,8376320,6.24
2025-05-14 15:54:13,0.049,24.55,8376320,6.24
2025-05-14 15:54:18,0.049,24.55,9306112,6.93
2025-05-14 15:54:23,0.049,24.55,9306112,6.93
2025-05-14 15:54:28,0.089,44.61,9306112,6.93
2025-05-14 15:54:33,0.089,44.61,9306112,6.93
2025-05-14 15:54:39,0.089,44.61,9306112,6.93
2025-05-14 15:54:44,0.089,44.61,9306112,6.93
2025-05-14 15:54:49,0.089,44.61,10407936,7.75
2025-05-14 15:54:54,0.089,44.61,10407936,7.75
2025-05-14 15:54:59,0.046,23.15,10407936,7.75
2025-05-14 15:55:04,0.046,23.15,10407936,7.75
2025-05-14 15:55:10,0.046,23.15,10407936,7.75
2025-05-14 15:55:15,0.046,23.15,10407936,7.75
2025-05-14 15:55:20,0.046,23.15,10543104,7.86
2025-05-14 15:55:25,0.046,23.15,10543104,7.86
2025-05-14 15:55:30,0.154,77.23,10543104,7.86
2025-05-14 15:55:36,0.154,77.23,10543104,7.86
2025-05-14 15:55:41,0.154,77.23,10543104,7.86
2025-05-14 15:55:46,0.154,77.23,10543104,7.86
2025-05-14 15:55:51,0.154,77.23,10940416,8.15
2025-05-14 15:55:56,0.154,77.23,10940416,8.15
2025-05-14 15:56:02,0.053,26.65,10940416,8.15
2025-05-14 15:56:07,0.053,26.65,10940416,8.15
2025-05-14 15:56:12,0.053,26.65,10940416,8.15
2025-05-14 15:56:17,0.053,26.65,10502144,7.82
2025-05-14 15:56:22,0.053,26.65,10502144,7.82
2025-05-14 15:56:28,0.109,54.35,10502144,7.82
2025-05-14 15:56:33,0.109,54.35,10502144,7.82
2025-05-14 15:56:38,0.109,54.35,10502144,7.82
2025-05-14 15:56:43,0.109,54.35,10502144,7.82
2025-05-14 15:56:48,0.109,54.35,10801152,8.05
2025-05-14 15:56:53,0.109,54.35,10801152,8.05
2025-05-14 15:56:59,0.075,37.68,10801152,8.05
2025-05-14 15:57:04,0.075,37.68,10801152,8.05
2025-05-14 15:57:09,0.075,37.68,10801152,8.05
2025-05-14 15:57:14,0.075,37.68,10801152,8.05
2025-05-14 15:57:19,0.075,37.68,10575872,7.88
2025-05-14 15:57:25,0.075,37.68,10575872,7.88
2025-05-14 15:57:30,0.079,39.49,10575872,7.88
2025-05-14 15:57:35,0.079,39.49,10575872,7.88
2025-05-14 15:57:40,0.079,39.49,10575872,7.88
2025-05-14 15:57:46,0.079,39.49,10575872,7.88
2025-05-14 15:57:51,0.079,39.49,10731520,8.00
2025-05-14 15:57:56,0.079,39.49,10731520,8.00
2025-05-14 15:58:01,0.037,18.47,10731520,8.00
2025-05-14 15:58:06,0.037,18.47,10731520,8.00
2025-05-14 15:58:12,0.037,18.47,10731520,8.00
2025-05-14 15:58:17,0.037,18.47,10731520,8.00
2025-05-14 15:58:22,0.037,18.47,10559488,7.87
2025-05-14 15:58:27,0.051,25.29,10559488,7.87
2025-05-14 15:58:32,0.051,25.29,10559488,7.87
2025-05-14 15:58:38,0.051,25.29,10559488,7.87
2025-05-14 15:58:43,0.051,25.29,10559488,7.87
2025-05-14 15:58:48,0.051,25.29,10653696,7.94
2025-05-14 15:58:53,0.051,25.29,10653696,7.94
2025-05-14 15:58:59,0.074,37.12,10653696,7.94
2025-05-14 15:59:04,0.074,37.12,10653696,7.94
2025-05-14 15:59:09,0.074,37.12,10653696,7.94
2025-05-14 15:59:14,0.074,37.12,10653696,7.94
2025-05-14 15:59:19,0.074,37.12,10964992,8.17
2025-05-14 15:59:25,0.074,37.12,10964992,8.17
2025-05-14 15:59:30,0.057,28.65,10964992,8.17
2025-05-14 15:59:35,0.057,28.65,10964992,8.17
2025-05-14 15:59:40,0.057,28.65,10964992,8.17
