timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:36:31,0.023,11.43,11612160,8.65
2025-05-14 15:36:36,0.023,11.43,11612160,8.65
2025-05-14 15:36:41,0.023,11.43,11612160,8.65
2025-05-14 15:36:47,0.023,11.43,11612160,8.65
2025-05-14 15:36:52,0.023,11.43,11612160,8.65
2025-05-14 15:36:57,0.024,11.86,11816960,8.80
2025-05-14 15:37:02,0.024,11.86,11816960,8.80
2025-05-14 15:37:08,0.024,11.86,11816960,8.80
2025-05-14 15:37:13,0.024,11.86,11816960,8.80
2025-05-14 15:37:18,0.024,11.86,11816960,8.80
2025-05-14 15:37:24,0.024,11.86,11816960,8.80
2025-05-14 15:37:29,0.021,10.36,11972608,8.92
2025-05-14 15:37:34,0.021,10.36,11972608,8.92
2025-05-14 15:37:39,0.021,10.36,11972608,8.92
2025-05-14 15:37:45,0.021,10.36,11972608,8.92
2025-05-14 15:37:50,0.021,10.36,11972608,8.92
2025-05-14 15:37:55,0.021,10.36,11972608,8.92
2025-05-14 15:38:00,0.065,32.27,12423168,9.26
2025-05-14 15:38:05,0.065,32.27,12423168,9.26
2025-05-14 15:38:11,0.065,32.27,12423168,9.26
2025-05-14 15:38:16,0.065,32.27,12423168,9.26
2025-05-14 15:38:21,0.065,32.27,12423168,9.26
2025-05-14 15:38:26,0.065,32.27,12660736,9.43
2025-05-14 15:38:32,0.023,11.68,12660736,9.43
2025-05-14 15:38:37,0.023,11.68,12660736,9.43
2025-05-14 15:38:42,0.023,11.68,12660736,9.43
2025-05-14 15:38:47,0.023,11.68,12660736,9.43
2025-05-14 15:38:52,0.023,11.68,12660736,9.43
2025-05-14 15:38:58,0.053,26.32,12476416,9.30
2025-05-14 15:39:03,0.053,26.32,12476416,9.30
2025-05-14 15:39:08,0.053,26.32,12476416,9.30
2025-05-14 15:39:13,0.053,26.32,12476416,9.30
2025-05-14 15:39:19,0.053,26.32,12476416,9.30
2025-05-14 15:39:24,0.053,26.32,12476416,9.30
2025-05-14 15:39:29,0.074,36.98,12836864,9.56
2025-05-14 15:39:34,0.074,36.98,12836864,9.56
2025-05-14 15:39:40,0.074,36.98,12836864,9.56
2025-05-14 15:39:45,0.074,36.98,12836864,9.56
2025-05-14 15:39:50,0.074,36.98,12836864,9.56
2025-05-14 15:39:56,0.074,36.98,13131776,9.78
2025-05-14 15:40:01,0.045,22.38,13131776,9.78
2025-05-14 15:40:06,0.045,22.38,13131776,9.78
2025-05-14 15:40:11,0.045,22.38,13131776,9.78
2025-05-14 15:40:17,0.045,22.38,13131776,9.78
2025-05-14 15:40:22,0.045,22.38,13131776,9.78
2025-05-14 15:40:27,0.055,27.47,13234176,9.86
2025-05-14 15:40:32,0.055,27.47,13234176,9.86
2025-05-14 15:40:38,0.055,27.47,13234176,9.86
2025-05-14 15:40:43,0.055,27.47,13234176,9.86
2025-05-14 15:40:48,0.055,27.47,13234176,9.86
2025-05-14 15:40:54,0.055,27.47,13234176,9.86
2025-05-14 15:40:59,0.071,35.37,13590528,10.13
2025-05-14 15:41:05,0.071,35.37,13590528,10.13
2025-05-14 15:41:10,0.071,35.37,13590528,10.13
2025-05-14 15:41:15,0.071,35.37,13590528,10.13
2025-05-14 15:41:21,0.071,35.37,13590528,10.13
2025-05-14 15:41:26,0.071,35.37,13783040,10.27
2025-05-14 15:41:32,0.037,18.33,13783040,10.27
2025-05-14 15:41:37,0.037,18.33,13783040,10.27
2025-05-14 15:41:42,0.037,18.33,13783040,10.27
2025-05-14 15:41:48,0.037,18.33,13783040,10.27
2025-05-14 15:41:53,0.037,18.33,13783040,10.27
2025-05-14 15:41:58,0.056,28.01,13299712,9.91
2025-05-14 15:42:04,0.056,28.01,13299712,9.91
