timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:11:59,0.019,9.54,11468800,8.54
2025-05-14 16:12:04,0.019,9.54,11468800,8.54
2025-05-14 16:12:09,0.019,9.54,12492800,9.31
2025-05-14 16:12:14,0.019,9.54,12492800,9.31
2025-05-14 16:12:20,0.019,9.54,12492800,9.31
2025-05-14 16:12:25,0.019,9.54,12492800,9.31
2025-05-14 16:12:30,0.030,14.92,12492800,9.31
2025-05-14 16:12:35,0.030,14.92,12492800,9.31
2025-05-14 16:12:40,0.030,14.92,12156928,9.06
2025-05-14 16:12:46,0.030,14.92,12156928,9.06
2025-05-14 16:12:51,0.030,14.92,12156928,9.06
2025-05-14 16:12:56,0.030,14.92,12156928,9.06
2025-05-14 16:13:01,0.041,20.55,12156928,9.06
2025-05-14 16:13:07,0.041,20.55,12156928,9.06
2025-05-14 16:13:12,0.041,20.55,12169216,9.07
2025-05-14 16:13:17,0.041,20.55,12169216,9.07
2025-05-14 16:13:22,0.041,20.55,12169216,9.07
2025-05-14 16:13:27,0.042,21.02,12169216,9.07
2025-05-14 16:13:32,0.042,21.02,12169216,9.07
2025-05-14 16:13:38,0.042,21.02,12169216,9.07
2025-05-14 16:13:43,0.042,21.02,12763136,9.51
2025-05-14 16:13:48,0.042,21.02,12763136,9.51
2025-05-14 16:13:53,0.042,21.02,12763136,9.51
2025-05-14 16:13:58,0.060,29.78,12763136,9.51
2025-05-14 16:14:03,0.060,29.78,12763136,9.51
2025-05-14 16:14:09,0.060,29.78,12763136,9.51
2025-05-14 16:14:14,0.060,29.78,12845056,9.57
2025-05-14 16:14:19,0.060,29.78,12845056,9.57
2025-05-14 16:14:24,0.060,29.78,12845056,9.57
2025-05-14 16:14:29,0.062,30.90,12845056,9.57
2025-05-14 16:14:34,0.062,30.90,12845056,9.57
2025-05-14 16:14:39,0.062,30.90,12951552,9.65
2025-05-14 16:14:45,0.062,30.90,12951552,9.65
2025-05-14 16:14:50,0.062,30.90,12951552,9.65
2025-05-14 16:14:55,0.062,30.90,12951552,9.65
2025-05-14 16:15:00,0.041,20.68,12951552,9.65
2025-05-14 16:15:05,0.041,20.68,12951552,9.65
2025-05-14 16:15:11,0.041,20.68,12730368,9.48
2025-05-14 16:15:16,0.041,20.68,12730368,9.48
2025-05-14 16:15:21,0.041,20.68,12730368,9.48
2025-05-14 16:15:26,0.041,20.68,12730368,9.48
2025-05-14 16:15:32,0.079,39.56,12730368,9.48
2025-05-14 16:15:37,0.079,39.56,12730368,9.48
2025-05-14 16:15:42,0.079,39.56,13205504,9.84
2025-05-14 16:15:47,0.079,39.56,13205504,9.84
2025-05-14 16:15:53,0.079,39.56,13205504,9.84
2025-05-14 16:15:58,0.075,37.65,13205504,9.84
2025-05-14 16:16:03,0.075,37.65,13205504,9.84
2025-05-14 16:16:08,0.075,37.65,13205504,9.84
2025-05-14 16:16:13,0.075,37.65,12795904,9.53
2025-05-14 16:16:19,0.075,37.65,12795904,9.53
2025-05-14 16:16:24,0.075,37.65,12795904,9.53
2025-05-14 16:16:29,0.072,35.83,12795904,9.53
2025-05-14 16:16:34,0.072,35.83,12795904,9.53
2025-05-14 16:16:40,0.072,35.83,13660160,10.18
2025-05-14 16:16:45,0.072,35.83,13660160,10.18
2025-05-14 16:16:50,0.072,35.83,13660160,10.18
2025-05-14 16:16:55,0.072,35.83,13660160,10.18
2025-05-14 16:17:00,0.078,39.19,13660160,10.18
2025-05-14 16:17:06,0.078,39.19,13660160,10.18
2025-05-14 16:17:11,0.078,39.19,13369344,9.96
2025-05-14 16:17:16,0.078,39.19,13369344,9.96
2025-05-14 16:17:21,0.078,39.19,13369344,9.96
2025-05-14 16:17:27,0.078,39.19,13369344,9.96
2025-05-14 16:17:32,0.077,38.26,13369344,9.96
2025-05-14 16:17:37,0.077,38.26,13369344,9.96
2025-05-14 16:17:42,0.077,38.26,13565952,10.11
2025-05-14 16:17:47,0.077,38.26,13565952,10.11
2025-05-14 16:17:53,0.077,38.26,13565952,10.11
2025-05-14 16:17:58,0.085,42.36,13565952,10.11
2025-05-14 16:18:03,0.085,42.36,13565952,10.11
2025-05-14 16:18:08,0.085,42.36,13565952,10.11
2025-05-14 16:18:13,0.085,42.36,13598720,10.13
2025-05-14 16:18:19,0.085,42.36,13598720,10.13
2025-05-14 16:18:24,0.085,42.36,13598720,10.13
2025-05-14 16:18:29,0.080,39.85,13598720,10.13
2025-05-14 16:18:34,0.080,39.85,13598720,10.13
2025-05-14 16:18:40,0.080,39.85,14061568,10.48
2025-05-14 16:18:45,0.080,39.85,14061568,10.48
2025-05-14 16:18:50,0.080,39.85,14061568,10.48
2025-05-14 16:18:55,0.080,39.85,14061568,10.48
2025-05-14 16:19:01,0.079,39.58,14061568,10.48
2025-05-14 16:19:06,0.079,39.58,14061568,10.48
2025-05-14 16:19:11,0.079,39.58,15110144,11.26
2025-05-14 16:19:17,0.079,39.58,15110144,11.26
2025-05-14 16:19:22,0.079,39.58,15110144,11.26
2025-05-14 16:19:27,0.060,29.78,15110144,11.26
2025-05-14 16:19:32,0.060,29.78,15110144,11.26
2025-05-14 16:19:38,0.060,29.78,15110144,11.26
2025-05-14 16:19:43,0.060,29.78,14344192,10.69
2025-05-14 16:19:48,0.060,29.78,14344192,10.69
2025-05-14 16:19:54,0.060,29.78,14344192,10.69
2025-05-14 16:19:59,0.123,61.73,14344192,10.69
2025-05-14 16:20:04,0.123,61.73,14344192,10.69
2025-05-14 16:20:10,0.123,61.73,15106048,11.25
2025-05-14 16:20:15,0.123,61.73,15106048,11.25
2025-05-14 16:20:20,0.123,61.73,15106048,11.25
2025-05-14 16:20:26,0.123,61.73,15106048,11.25
2025-05-14 16:20:31,0.100,49.98,15106048,11.25
2025-05-14 16:20:36,0.100,49.98,15106048,11.25
2025-05-14 16:20:41,0.100,49.98,14884864,11.09
2025-05-14 16:20:47,0.100,49.98,14884864,11.09
2025-05-14 16:20:52,0.100,49.98,14884864,11.09
2025-05-14 16:20:57,0.088,44.15,14884864,11.09
2025-05-14 16:21:02,0.088,44.15,14884864,11.09
2025-05-14 16:21:08,0.088,44.15,14884864,11.09
2025-05-14 16:21:13,0.088,44.15,14516224,10.82
2025-05-14 16:21:18,0.088,44.15,14516224,10.82
2025-05-14 16:21:24,0.088,44.15,14516224,10.82
2025-05-14 16:21:29,0.099,49.28,14516224,10.82
2025-05-14 16:21:35,0.099,49.28,14516224,10.82
2025-05-14 16:21:40,0.099,49.28,14524416,10.82
2025-05-14 16:21:45,0.099,49.28,14524416,10.82
2025-05-14 16:21:51,0.099,49.28,14524416,10.82
2025-05-14 16:21:56,0.099,49.28,14524416,10.82
2025-05-14 16:22:01,0.084,41.87,14524416,10.82
2025-05-14 16:22:06,0.084,41.87,14524416,10.82
2025-05-14 16:22:12,0.084,41.87,14598144,10.88
2025-05-14 16:22:17,0.084,41.87,14598144,10.88
2025-05-14 16:22:22,0.084,41.87,14598144,10.88
2025-05-14 16:22:28,0.080,39.83,14598144,10.88
2025-05-14 16:22:33,0.080,39.83,14598144,10.88
2025-05-14 16:22:38,0.080,39.83,14598144,10.88
2025-05-14 16:22:43,0.080,39.83,14852096,11.07
2025-05-14 16:22:49,0.080,39.83,14852096,11.07
2025-05-14 16:22:54,0.080,39.83,14852096,11.07
2025-05-14 16:22:59,0.086,43.07,14852096,11.07
2025-05-14 16:23:05,0.086,43.07,14852096,11.07
2025-05-14 16:23:10,0.086,43.07,15126528,11.27
2025-05-14 16:23:15,0.086,43.07,15126528,11.27
2025-05-14 16:23:21,0.086,43.07,15126528,11.27
2025-05-14 16:23:26,0.086,43.07,15126528,11.27
2025-05-14 16:23:31,0.050,25.10,15126528,11.27
2025-05-14 16:23:36,0.050,25.10,15126528,11.27
2025-05-14 16:23:42,0.050,25.10,15179776,11.31
2025-05-14 16:23:47,0.050,25.10,15179776,11.31
2025-05-14 16:23:52,0.050,25.10,15179776,11.31
2025-05-14 16:23:58,0.078,38.83,15179776,11.31
2025-05-14 16:24:03,0.078,38.83,15179776,11.31
2025-05-14 16:24:08,0.078,38.83,15179776,11.31
2025-05-14 16:24:14,0.078,38.83,14884864,11.09
2025-05-14 16:24:19,0.078,38.83,14884864,11.09
2025-05-14 16:24:24,0.078,38.83,14884864,11.09
2025-05-14 16:24:30,0.101,50.60,14884864,11.09
2025-05-14 16:24:35,0.101,50.60,14884864,11.09
2025-05-14 16:24:40,0.101,50.60,15065088,11.22
2025-05-14 16:24:45,0.101,50.60,15065088,11.22
2025-05-14 16:24:51,0.101,50.60,15065088,11.22
2025-05-14 16:24:56,0.101,50.60,15065088,11.22
2025-05-14 16:25:01,0.065,32.45,15065088,11.22
2025-05-14 16:25:06,0.065,32.45,15065088,11.22
2025-05-14 16:25:12,0.065,32.45,15171584,11.30
2025-05-14 16:25:17,0.065,32.45,15171584,11.30
2025-05-14 16:25:22,0.065,32.45,15171584,11.30
2025-05-14 16:25:27,0.081,40.53,15171584,11.30
2025-05-14 16:25:33,0.081,40.53,15171584,11.30
2025-05-14 16:25:38,0.081,40.53,15171584,11.30
2025-05-14 16:25:43,0.081,40.53,15306752,11.40
2025-05-14 16:25:48,0.081,40.53,15306752,11.40
2025-05-14 16:25:54,0.081,40.53,15306752,11.40
2025-05-14 16:25:59,0.081,40.34,15306752,11.40
2025-05-14 16:26:04,0.081,40.34,15306752,11.40
2025-05-14 16:26:10,0.081,40.34,15441920,11.51
2025-05-14 16:26:15,0.081,40.34,15441920,11.51
2025-05-14 16:26:20,0.081,40.34,15441920,11.51
2025-05-14 16:26:26,0.081,40.34,15441920,11.51
2025-05-14 16:26:31,0.067,33.39,15441920,11.51
2025-05-14 16:26:36,0.067,33.39,15441920,11.51
2025-05-14 16:26:41,0.067,33.39,15331328,11.42
2025-05-14 16:26:47,0.067,33.39,15331328,11.42
2025-05-14 16:26:52,0.067,33.39,15331328,11.42
2025-05-14 16:26:57,0.077,38.42,15331328,11.42
2025-05-14 16:27:02,0.077,38.42,15331328,11.42
2025-05-14 16:27:08,0.077,38.42,15331328,11.42
2025-05-14 16:27:13,0.077,38.42,15552512,11.59
2025-05-14 16:27:18,0.077,38.42,15552512,11.59
2025-05-14 16:27:23,0.077,38.42,15552512,11.59
2025-05-14 16:27:28,0.080,39.91,15552512,11.59
2025-05-14 16:27:34,0.080,39.91,15552512,11.59
2025-05-14 16:27:39,0.080,39.91,15552512,11.59
2025-05-14 16:27:44,0.080,39.91,15589376,11.61
2025-05-14 16:27:49,0.080,39.91,15589376,11.61
2025-05-14 16:27:55,0.080,39.91,15589376,11.61
2025-05-14 16:28:00,0.101,50.32,15589376,11.61
2025-05-14 16:28:05,0.101,50.32,15589376,11.61
2025-05-14 16:28:11,0.101,50.32,16265216,12.12
2025-05-14 16:28:16,0.101,50.32,16265216,12.12
2025-05-14 16:28:21,0.101,50.32,16265216,12.12
2025-05-14 16:28:26,0.101,50.32,16265216,12.12
2025-05-14 16:28:32,0.099,49.38,16265216,12.12
2025-05-14 16:28:37,0.099,49.38,16265216,12.12
2025-05-14 16:28:42,0.099,49.38,16240640,12.10
2025-05-14 16:28:48,0.099,49.38,16240640,12.10
2025-05-14 16:28:53,0.099,49.38,16240640,12.10
2025-05-14 16:28:58,0.069,34.64,16240640,12.10
2025-05-14 16:29:03,0.069,34.64,16240640,12.10
2025-05-14 16:29:09,0.069,34.64,16240640,12.10
2025-05-14 16:29:14,0.069,34.64,16248832,12.11
2025-05-14 16:29:19,0.069,34.64,16248832,12.11
2025-05-14 16:29:25,0.069,34.64,16248832,12.11
2025-05-14 16:29:30,0.086,43.07,16248832,12.11
2025-05-14 16:29:35,0.086,43.07,16248832,12.11
2025-05-14 16:29:41,0.086,43.07,16171008,12.05
2025-05-14 16:29:46,0.086,43.07,16171008,12.05
2025-05-14 16:29:51,0.086,43.07,16171008,12.05
2025-05-14 16:29:56,0.086,43.07,16171008,12.05
2025-05-14 16:30:02,0.096,48.20,16171008,12.05
2025-05-14 16:30:07,0.096,48.20,16171008,12.05
2025-05-14 16:30:12,0.096,48.20,15953920,11.89
2025-05-14 16:30:17,0.096,48.20,15953920,11.89
2025-05-14 16:30:23,0.096,48.20,15953920,11.89
2025-05-14 16:30:28,0.087,43.33,15953920,11.89
2025-05-14 16:30:33,0.087,43.33,15953920,11.89
2025-05-14 16:30:39,0.087,43.33,15953920,11.89
2025-05-14 16:30:44,0.087,43.33,16023552,11.94
2025-05-14 16:30:49,0.087,43.33,16023552,11.94
2025-05-14 16:30:55,0.087,43.33,16023552,11.94
2025-05-14 16:31:00,0.112,56.25,16023552,11.94
2025-05-14 16:31:05,0.112,56.25,16023552,11.94
2025-05-14 16:31:11,0.112,56.25,16199680,12.07
2025-05-14 16:31:16,0.112,56.25,16199680,12.07
2025-05-14 16:31:21,0.112,56.25,16199680,12.07
2025-05-14 16:31:27,0.112,56.25,16199680,12.07
2025-05-14 16:31:32,0.087,43.66,16199680,12.07
2025-05-14 16:31:37,0.087,43.66,16199680,12.07
2025-05-14 16:31:42,0.087,43.66,16494592,12.29
2025-05-14 16:31:48,0.087,43.66,16494592,12.29
2025-05-14 16:31:53,0.087,43.66,16494592,12.29
2025-05-14 16:31:58,0.045,22.68,16494592,12.29
2025-05-14 16:32:03,0.045,22.68,16494592,12.29
2025-05-14 16:32:09,0.045,22.68,16494592,12.29
2025-05-14 16:32:14,0.045,22.68,16363520,12.19
2025-05-14 16:32:19,0.045,22.68,16363520,12.19
2025-05-14 16:32:24,0.045,22.68,16363520,12.19
2025-05-14 16:32:30,0.083,41.60,16363520,12.19
2025-05-14 16:32:35,0.083,41.60,16363520,12.19
2025-05-14 16:32:40,0.083,41.60,16564224,12.34
2025-05-14 16:32:46,0.083,41.60,16564224,12.34
2025-05-14 16:32:51,0.083,41.60,16564224,12.34
2025-05-14 16:32:56,0.083,41.60,16564224,12.34
2025-05-14 16:33:02,0.131,65.52,16564224,12.34
2025-05-14 16:33:07,0.131,65.52,16564224,12.34
2025-05-14 16:33:12,0.131,65.52,16441344,12.25
2025-05-14 16:33:17,0.131,65.52,16441344,12.25
2025-05-14 16:33:22,0.131,65.52,16441344,12.25
2025-05-14 16:33:28,0.047,23.41,16441344,12.25
2025-05-14 16:33:33,0.047,23.41,16441344,12.25
2025-05-14 16:33:38,0.047,23.41,16441344,12.25
2025-05-14 16:33:43,0.047,23.41,16740352,12.47
2025-05-14 16:33:48,0.047,23.41,16740352,12.47
2025-05-14 16:33:54,0.047,23.41,16740352,12.47
2025-05-14 16:33:59,0.130,64.86,16740352,12.47
2025-05-14 16:34:04,0.130,64.86,16740352,12.47
2025-05-14 16:34:09,0.130,64.86,17211392,12.82
2025-05-14 16:34:15,0.130,64.86,17211392,12.82
2025-05-14 16:34:20,0.130,64.86,17211392,12.82
2025-05-14 16:34:26,0.130,64.86,17211392,12.82
2025-05-14 16:34:31,0.079,39.41,17211392,12.82
2025-05-14 16:34:36,0.079,39.41,17211392,12.82
2025-05-14 16:34:41,0.079,39.41,16744448,12.48
2025-05-14 16:34:47,0.079,39.41,16744448,12.48
2025-05-14 16:34:52,0.079,39.41,16744448,12.48
2025-05-14 16:34:57,0.089,44.39,16744448,12.48
2025-05-14 16:35:03,0.089,44.39,16744448,12.48
2025-05-14 16:35:08,0.089,44.39,16744448,12.48
2025-05-14 16:35:13,0.089,44.39,16510976,12.30
2025-05-14 16:35:18,0.089,44.39,16510976,12.30
2025-05-14 16:35:23,0.089,44.39,16510976,12.30
2025-05-14 16:35:29,0.070,34.95,16510976,12.30
2025-05-14 16:35:34,0.070,34.95,16510976,12.30
2025-05-14 16:35:39,0.070,34.95,16601088,12.37
2025-05-14 16:35:44,0.070,34.95,16601088,12.37
2025-05-14 16:35:50,0.070,34.95,16601088,12.37
2025-05-14 16:35:55,0.070,34.95,16601088,12.37
2025-05-14 16:36:00,0.066,32.89,16601088,12.37
2025-05-14 16:36:06,0.066,32.89,16601088,12.37
2025-05-14 16:36:11,0.066,32.89,16867328,12.57
2025-05-14 16:36:16,0.066,32.89,16867328,12.57
2025-05-14 16:36:22,0.066,32.89,16867328,12.57
2025-05-14 16:36:27,0.066,32.89,16867328,12.57
2025-05-14 16:36:32,0.087,43.68,16867328,12.57
2025-05-14 16:36:37,0.087,43.68,16867328,12.57
2025-05-14 16:36:43,0.087,43.68,16658432,12.41
2025-05-14 16:36:48,0.087,43.68,16658432,12.41
2025-05-14 16:36:53,0.087,43.68,16658432,12.41
2025-05-14 16:36:58,0.063,31.48,16658432,12.41
2025-05-14 16:37:04,0.063,31.48,16658432,12.41
2025-05-14 16:37:09,0.063,31.48,16658432,12.41
2025-05-14 16:37:14,0.063,31.48,17031168,12.69
2025-05-14 16:37:19,0.063,31.48,17031168,12.69
2025-05-14 16:37:25,0.063,31.48,17031168,12.69
2025-05-14 16:37:30,0.074,37.17,17031168,12.69
2025-05-14 16:37:35,0.074,37.17,17031168,12.69
2025-05-14 16:37:41,0.074,37.17,17596416,13.11
2025-05-14 16:37:46,0.074,37.17,17596416,13.11
2025-05-14 16:37:51,0.074,37.17,17596416,13.11
2025-05-14 16:37:56,0.074,37.17,17596416,13.11
2025-05-14 16:38:02,0.045,22.62,17596416,13.11
2025-05-14 16:38:07,0.045,22.62,17596416,13.11
2025-05-14 16:38:12,0.045,22.62,16920576,12.61
2025-05-14 16:38:17,0.045,22.62,16920576,12.61
2025-05-14 16:38:23,0.045,22.62,16920576,12.61
2025-05-14 16:38:28,0.095,47.59,16920576,12.61
2025-05-14 16:38:33,0.095,47.59,16920576,12.61
2025-05-14 16:38:38,0.095,47.59,16920576,12.61
2025-05-14 16:38:44,0.095,47.59,17199104,12.81
2025-05-14 16:38:49,0.095,47.59,17199104,12.81
2025-05-14 16:38:54,0.095,47.59,17199104,12.81
2025-05-14 16:39:00,0.065,32.41,17199104,12.81
2025-05-14 16:39:05,0.065,32.41,17199104,12.81
2025-05-14 16:39:10,0.065,32.41,17182720,12.80
2025-05-14 16:39:15,0.065,32.41,17182720,12.80
2025-05-14 16:39:20,0.065,32.41,17182720,12.80
2025-05-14 16:39:26,0.065,32.41,17182720,12.80
2025-05-14 16:39:31,0.073,36.49,17182720,12.80
2025-05-14 16:39:36,0.073,36.49,17182720,12.80
2025-05-14 16:39:41,0.073,36.49,16826368,12.54
2025-05-14 16:39:47,0.073,36.49,16826368,12.54
2025-05-14 16:39:52,0.073,36.49,16826368,12.54
2025-05-14 16:39:57,0.071,35.46,16826368,12.54
