timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 17:08:00,0.009,4.61,11198464,8.34
2025-05-14 17:08:05,0.009,4.61,11198464,8.34
2025-05-14 17:08:11,0.009,4.61,11198464,8.34
2025-05-14 17:08:16,0.009,4.61,11198464,8.34
2025-05-14 17:08:21,0.009,4.61,11198464,8.34
2025-05-14 17:08:26,0.009,4.61,11075584,8.25
2025-05-14 17:08:31,0.018,8.77,11075584,8.25
2025-05-14 17:08:36,0.018,8.77,11075584,8.25
2025-05-14 17:08:41,0.018,8.77,11075584,8.25
2025-05-14 17:08:47,0.018,8.77,11075584,8.25
2025-05-14 17:08:52,0.018,8.77,11075584,8.25
2025-05-14 17:08:57,0.018,8.77,11083776,8.26
2025-05-14 17:09:02,0.008,3.92,11083776,8.26
2025-05-14 17:09:07,0.008,3.92,11083776,8.26
2025-05-14 17:09:12,0.008,3.92,11083776,8.26
2025-05-14 17:09:17,0.008,3.92,11083776,8.26
2025-05-14 17:09:22,0.008,3.92,11083776,8.26
2025-05-14 17:09:28,0.019,9.36,11124736,8.29
2025-05-14 17:09:33,0.019,9.36,11124736,8.29
2025-05-14 17:09:38,0.019,9.36,11124736,8.29
2025-05-14 17:09:43,0.019,9.36,11124736,8.29
2025-05-14 17:09:48,0.019,9.36,11124736,8.29
2025-05-14 17:09:53,0.019,9.36,11124736,8.29
2025-05-14 17:09:58,0.019,9.72,11206656,8.35
2025-05-14 17:10:03,0.019,9.72,11206656,8.35
2025-05-14 17:10:09,0.019,9.72,11206656,8.35
2025-05-14 17:10:14,0.019,9.72,11206656,8.35
2025-05-14 17:10:19,0.019,9.72,11206656,8.35
2025-05-14 17:10:24,0.019,9.72,11374592,8.47
2025-05-14 17:10:29,0.023,11.49,11374592,8.47
2025-05-14 17:10:34,0.023,11.49,11374592,8.47
2025-05-14 17:10:39,0.023,11.49,11374592,8.47
2025-05-14 17:10:44,0.023,11.49,11374592,8.47
2025-05-14 17:10:50,0.023,11.49,11374592,8.47
2025-05-14 17:10:55,0.023,11.49,11665408,8.69
2025-05-14 17:11:00,0.019,9.29,11665408,8.69
2025-05-14 17:11:05,0.019,9.29,11665408,8.69
2025-05-14 17:11:10,0.019,9.29,11665408,8.69
2025-05-14 17:11:15,0.019,9.29,11665408,8.69
2025-05-14 17:11:20,0.019,9.29,11665408,8.69
2025-05-14 17:11:25,0.019,9.29,11673600,8.70
2025-05-14 17:11:30,0.008,4.03,11673600,8.70
2025-05-14 17:11:36,0.008,4.03,11673600,8.70
2025-05-14 17:11:41,0.008,4.03,11673600,8.70
2025-05-14 17:11:46,0.008,4.03,11673600,8.70
2025-05-14 17:11:51,0.008,4.03,11673600,8.70
