timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:16:29,0.008,4.17,11247616,8.38
2025-05-14 16:16:34,0.008,4.17,11247616,8.38
2025-05-14 16:16:40,0.008,4.17,11919360,8.88
2025-05-14 16:16:45,0.008,4.17,11919360,8.88
2025-05-14 16:16:50,0.008,4.17,11919360,8.88
2025-05-14 16:16:55,0.008,4.17,11919360,8.88
2025-05-14 16:17:00,0.021,10.37,11919360,8.88
2025-05-14 16:17:06,0.021,10.37,11919360,8.88
2025-05-14 16:17:11,0.021,10.37,11948032,8.90
2025-05-14 16:17:16,0.021,10.37,11948032,8.90
2025-05-14 16:17:21,0.021,10.37,11948032,8.90
2025-05-14 16:17:27,0.021,10.37,11948032,8.90
2025-05-14 16:17:32,0.034,16.83,11948032,8.90
2025-05-14 16:17:37,0.034,16.83,11948032,8.90
2025-05-14 16:17:42,0.034,16.83,12025856,8.96
2025-05-14 16:17:47,0.034,16.83,12025856,8.96
2025-05-14 16:17:53,0.034,16.83,12025856,8.96
2025-05-14 16:17:58,0.035,17.60,12025856,8.96
2025-05-14 16:18:03,0.035,17.60,12025856,8.96
2025-05-14 16:18:08,0.035,17.60,12025856,8.96
2025-05-14 16:18:13,0.035,17.60,12091392,9.01
2025-05-14 16:18:19,0.035,17.60,12091392,9.01
2025-05-14 16:18:24,0.035,17.60,12091392,9.01
2025-05-14 16:18:29,0.040,20.15,12091392,9.01
2025-05-14 16:18:34,0.040,20.15,12091392,9.01
2025-05-14 16:18:40,0.040,20.15,12181504,9.08
2025-05-14 16:18:45,0.040,20.15,12181504,9.08
2025-05-14 16:18:50,0.040,20.15,12181504,9.08
2025-05-14 16:18:55,0.040,20.15,12181504,9.08
2025-05-14 16:19:01,0.040,20.25,12181504,9.08
2025-05-14 16:19:06,0.040,20.25,12181504,9.08
2025-05-14 16:19:11,0.040,20.25,12869632,9.59
2025-05-14 16:19:17,0.040,20.25,12869632,9.59
2025-05-14 16:19:22,0.040,20.25,12869632,9.59
2025-05-14 16:19:27,0.056,28.17,12869632,9.59
2025-05-14 16:19:32,0.056,28.17,12869632,9.59
2025-05-14 16:19:38,0.056,28.17,12869632,9.59
2025-05-14 16:19:43,0.056,28.17,12910592,9.62
2025-05-14 16:19:48,0.056,28.17,12910592,9.62
2025-05-14 16:19:54,0.056,28.17,12910592,9.62
2025-05-14 16:19:59,0.063,31.68,12910592,9.62
2025-05-14 16:20:04,0.063,31.68,12910592,9.62
2025-05-14 16:20:10,0.063,31.68,12886016,9.60
2025-05-14 16:20:15,0.063,31.68,12886016,9.60
2025-05-14 16:20:20,0.063,31.68,12886016,9.60
2025-05-14 16:20:26,0.063,31.68,12886016,9.60
2025-05-14 16:20:31,0.092,46.22,12886016,9.60
2025-05-14 16:20:36,0.092,46.22,12886016,9.60
2025-05-14 16:20:41,0.092,46.22,13504512,10.06
2025-05-14 16:20:47,0.092,46.22,13504512,10.06
2025-05-14 16:20:52,0.092,46.22,13504512,10.06
2025-05-14 16:20:57,0.065,32.74,13504512,10.06
2025-05-14 16:21:02,0.065,32.74,13504512,10.06
2025-05-14 16:21:08,0.065,32.74,13504512,10.06
2025-05-14 16:21:13,0.065,32.74,13303808,9.91
2025-05-14 16:21:18,0.065,32.74,13303808,9.91
2025-05-14 16:21:24,0.065,32.74,13303808,9.91
2025-05-14 16:21:29,0.067,33.59,13303808,9.91
2025-05-14 16:21:35,0.067,33.59,13303808,9.91
2025-05-14 16:21:40,0.067,33.59,13721600,10.22
2025-05-14 16:21:45,0.067,33.59,13721600,10.22
2025-05-14 16:21:51,0.067,33.59,13721600,10.22
2025-05-14 16:21:56,0.067,33.59,13721600,10.22
2025-05-14 16:22:01,0.081,40.65,13721600,10.22
2025-05-14 16:22:06,0.081,40.65,13721600,10.22
2025-05-14 16:22:12,0.081,40.65,14155776,10.55
2025-05-14 16:22:17,0.081,40.65,14155776,10.55
2025-05-14 16:22:22,0.081,40.65,14155776,10.55
2025-05-14 16:22:28,0.090,44.90,14155776,10.55
2025-05-14 16:22:33,0.090,44.90,14155776,10.55
2025-05-14 16:22:38,0.090,44.90,14155776,10.55
2025-05-14 16:22:43,0.090,44.90,14192640,10.57
2025-05-14 16:22:49,0.090,44.90,14192640,10.57
2025-05-14 16:22:54,0.090,44.90,14192640,10.57
2025-05-14 16:22:59,0.051,25.65,14192640,10.57
2025-05-14 16:23:05,0.051,25.65,14192640,10.57
2025-05-14 16:23:10,0.051,25.65,14196736,10.58
2025-05-14 16:23:15,0.051,25.65,14196736,10.58
2025-05-14 16:23:21,0.051,25.65,14196736,10.58
2025-05-14 16:23:26,0.051,25.65,14196736,10.58
2025-05-14 16:23:31,0.100,50.09,14196736,10.58
2025-05-14 16:23:36,0.100,50.09,14196736,10.58
2025-05-14 16:23:42,0.100,50.09,14032896,10.46
2025-05-14 16:23:47,0.100,50.09,14032896,10.46
2025-05-14 16:23:52,0.100,50.09,14032896,10.46
2025-05-14 16:23:58,0.099,49.62,14032896,10.46
2025-05-14 16:24:03,0.099,49.62,14032896,10.46
2025-05-14 16:24:08,0.099,49.62,14032896,10.46
2025-05-14 16:24:14,0.099,49.62,14114816,10.52
2025-05-14 16:24:19,0.099,49.62,14114816,10.52
2025-05-14 16:24:24,0.099,49.62,14114816,10.52
2025-05-14 16:24:30,0.076,38.25,14114816,10.52
2025-05-14 16:24:35,0.076,38.25,14114816,10.52
2025-05-14 16:24:40,0.076,38.25,14229504,10.60
2025-05-14 16:24:45,0.076,38.25,14229504,10.60
2025-05-14 16:24:51,0.076,38.25,14229504,10.60
2025-05-14 16:24:56,0.076,38.25,14229504,10.60
