timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:29:29,0.003,1.68,11194368,8.34
2025-05-14 15:29:35,0.003,1.68,11194368,8.34
2025-05-14 15:29:40,0.003,1.68,11194368,8.34
2025-05-14 15:29:45,0.003,1.68,11194368,8.34
2025-05-14 15:29:51,0.003,1.68,11194368,8.34
2025-05-14 15:29:56,0.003,1.68,11194368,8.34
2025-05-14 15:30:01,0.004,1.76,11206656,8.35
2025-05-14 15:30:06,0.004,1.76,11206656,8.35
2025-05-14 15:30:11,0.004,1.76,11206656,8.35
2025-05-14 15:30:17,0.004,1.76,11206656,8.35
2025-05-14 15:30:22,0.004,1.76,11206656,8.35
2025-05-14 15:30:27,0.007,3.48,11206656,8.35
2025-05-14 15:30:33,0.007,3.48,11747328,8.75
2025-05-14 15:30:38,0.007,3.48,11747328,8.75
2025-05-14 15:30:43,0.007,3.48,11747328,8.75
2025-05-14 15:30:49,0.007,3.48,11747328,8.75
2025-05-14 15:30:54,0.007,3.48,11747328,8.75
2025-05-14 15:30:59,0.005,2.69,11747328,8.75
2025-05-14 15:31:04,0.005,2.69,11468800,8.54
2025-05-14 15:31:09,0.005,2.69,11468800,8.54
2025-05-14 15:31:15,0.005,2.69,11468800,8.54
2025-05-14 15:31:20,0.005,2.69,11468800,8.54
2025-05-14 15:31:25,0.005,2.69,11468800,8.54
2025-05-14 15:31:30,0.005,2.33,11309056,8.43
2025-05-14 15:31:36,0.005,2.33,11309056,8.43
2025-05-14 15:31:41,0.005,2.33,11309056,8.43
2025-05-14 15:31:46,0.005,2.33,11309056,8.43
2025-05-14 15:31:51,0.005,2.33,11309056,8.43
2025-05-14 15:31:57,0.005,2.33,11309056,8.43
2025-05-14 15:32:02,0.008,4.13,12304384,9.17
2025-05-14 15:32:07,0.008,4.13,12304384,9.17
2025-05-14 15:32:12,0.008,4.13,12304384,9.17
2025-05-14 15:32:17,0.008,4.13,12304384,9.17
2025-05-14 15:32:22,0.008,4.13,12304384,9.17
2025-05-14 15:32:28,0.018,8.87,12304384,9.17
2025-05-14 15:32:33,0.018,8.87,12410880,9.25
2025-05-14 15:32:38,0.018,8.87,12410880,9.25
2025-05-14 15:32:43,0.018,8.87,12410880,9.25
2025-05-14 15:32:48,0.018,8.87,12410880,9.25
2025-05-14 15:32:53,0.018,8.87,12410880,9.25
2025-05-14 15:32:59,0.026,13.14,12410880,9.25
2025-05-14 15:33:04,0.026,13.14,12328960,9.19
2025-05-14 15:33:09,0.026,13.14,12328960,9.19
2025-05-14 15:33:14,0.026,13.14,12328960,9.19
2025-05-14 15:33:19,0.026,13.14,12328960,9.19
2025-05-14 15:33:24,0.026,13.14,12328960,9.19
2025-05-14 15:33:29,0.025,12.55,12328960,9.19
2025-05-14 15:33:35,0.025,12.55,12398592,9.24
2025-05-14 15:33:40,0.025,12.55,12398592,9.24
2025-05-14 15:33:45,0.025,12.55,12398592,9.24
2025-05-14 15:33:50,0.025,12.55,12398592,9.24
2025-05-14 15:33:55,0.025,12.55,12398592,9.24
2025-05-14 15:34:00,0.035,17.65,12632064,9.41
2025-05-14 15:34:05,0.035,17.65,12632064,9.41
2025-05-14 15:34:10,0.035,17.65,12632064,9.41
2025-05-14 15:34:16,0.035,17.65,12632064,9.41
2025-05-14 15:34:21,0.035,17.65,12632064,9.41
2025-05-14 15:34:26,0.035,17.65,12632064,9.41
2025-05-14 15:34:31,0.016,8.21,12763136,9.51
2025-05-14 15:34:36,0.016,8.21,12763136,9.51
2025-05-14 15:34:41,0.016,8.21,12763136,9.51
2025-05-14 15:34:47,0.016,8.21,12763136,9.51
2025-05-14 15:34:52,0.016,8.21,12763136,9.51
2025-05-14 15:34:57,0.016,8.21,12763136,9.51
2025-05-14 15:35:02,0.047,23.49,12521472,9.33
2025-05-14 15:35:07,0.047,23.49,12521472,9.33
2025-05-14 15:35:12,0.047,23.49,12521472,9.33
2025-05-14 15:35:17,0.047,23.49,12521472,9.33
2025-05-14 15:35:23,0.047,23.49,12521472,9.33
2025-05-14 15:35:28,0.034,16.98,12521472,9.33
2025-05-14 15:35:33,0.034,16.98,14381056,10.71
2025-05-14 15:35:38,0.034,16.98,14381056,10.71
2025-05-14 15:35:44,0.034,16.98,14381056,10.71
2025-05-14 15:35:49,0.034,16.98,14381056,10.71
2025-05-14 15:35:54,0.034,16.98,14381056,10.71
2025-05-14 15:35:59,0.070,35.12,14381056,10.71
2025-05-14 15:36:05,0.070,35.12,14602240,10.88
2025-05-14 15:36:10,0.070,35.12,14602240,10.88
2025-05-14 15:36:15,0.070,35.12,14602240,10.88
2025-05-14 15:36:20,0.070,35.12,14602240,10.88
2025-05-14 15:36:26,0.070,35.12,14602240,10.88
2025-05-14 15:36:31,0.082,41.16,15310848,11.41
2025-05-14 15:36:36,0.082,41.16,15310848,11.41
2025-05-14 15:36:41,0.082,41.16,15310848,11.41
2025-05-14 15:36:47,0.082,41.16,15310848,11.41
2025-05-14 15:36:52,0.082,41.16,15310848,11.41
2025-05-14 15:36:57,0.146,73.12,15310848,11.41
2025-05-14 15:37:02,0.146,73.12,14929920,11.12
2025-05-14 15:37:08,0.146,73.12,14929920,11.12
2025-05-14 15:37:13,0.146,73.12,14929920,11.12
2025-05-14 15:37:18,0.146,73.12,14929920,11.12
2025-05-14 15:37:24,0.146,73.12,14929920,11.12
2025-05-14 15:37:29,0.121,60.59,14929920,11.12
2025-05-14 15:37:34,0.121,60.59,15163392,11.30
2025-05-14 15:37:39,0.121,60.59,15163392,11.30
2025-05-14 15:37:45,0.121,60.59,15163392,11.30
2025-05-14 15:37:50,0.121,60.59,15163392,11.30
2025-05-14 15:37:55,0.121,60.59,15163392,11.30
2025-05-14 15:38:00,0.111,55.33,15831040,11.80
2025-05-14 15:38:05,0.111,55.33,15831040,11.80
2025-05-14 15:38:11,0.111,55.33,15831040,11.80
2025-05-14 15:38:16,0.111,55.33,15831040,11.80
2025-05-14 15:38:21,0.111,55.33,15831040,11.80
2025-05-14 15:38:26,0.111,55.33,15831040,11.80
2025-05-14 15:38:32,0.130,64.81,15351808,11.44
2025-05-14 15:38:37,0.130,64.81,15351808,11.44
2025-05-14 15:38:42,0.130,64.81,15351808,11.44
2025-05-14 15:38:47,0.130,64.81,15351808,11.44
2025-05-14 15:38:52,0.130,64.81,15351808,11.44
2025-05-14 15:38:58,0.137,68.36,15351808,11.44
2025-05-14 15:39:03,0.137,68.36,15982592,11.91
2025-05-14 15:39:08,0.137,68.36,15982592,11.91
2025-05-14 15:39:13,0.137,68.36,15982592,11.91
2025-05-14 15:39:19,0.137,68.36,15982592,11.91
2025-05-14 15:39:24,0.137,68.36,15982592,11.91
2025-05-14 15:39:29,0.100,50.03,15982592,11.91
2025-05-14 15:39:34,0.100,50.03,15990784,11.91
2025-05-14 15:39:40,0.100,50.03,15990784,11.91
2025-05-14 15:39:45,0.100,50.03,15990784,11.91
2025-05-14 15:39:50,0.100,50.03,15990784,11.91
2025-05-14 15:39:56,0.100,50.03,15990784,11.91
2025-05-14 15:40:01,0.126,62.80,15577088,11.61
2025-05-14 15:40:06,0.126,62.80,15577088,11.61
2025-05-14 15:40:11,0.126,62.80,15577088,11.61
2025-05-14 15:40:17,0.126,62.80,15577088,11.61
2025-05-14 15:40:22,0.126,62.80,15577088,11.61
2025-05-14 15:40:27,0.097,48.66,15577088,11.61
2025-05-14 15:40:32,0.097,48.66,15814656,11.78
2025-05-14 15:40:38,0.097,48.66,15814656,11.78
2025-05-14 15:40:43,0.097,48.66,15814656,11.78
2025-05-14 15:40:48,0.097,48.66,15814656,11.78
2025-05-14 15:40:54,0.097,48.66,15814656,11.78
2025-05-14 15:40:59,0.091,45.28,16420864,12.23
2025-05-14 15:41:05,0.091,45.28,16420864,12.23
2025-05-14 15:41:10,0.091,45.28,16420864,12.23
2025-05-14 15:41:15,0.091,45.28,16420864,12.23
2025-05-14 15:41:21,0.091,45.28,16420864,12.23
2025-05-14 15:41:26,0.091,45.28,16420864,12.23
2025-05-14 15:41:32,0.087,43.30,16203776,12.07
2025-05-14 15:41:37,0.087,43.30,16203776,12.07
2025-05-14 15:41:42,0.087,43.30,16203776,12.07
2025-05-14 15:41:48,0.087,43.30,16203776,12.07
2025-05-14 15:41:53,0.087,43.30,16203776,12.07
2025-05-14 15:41:58,0.085,42.68,16203776,12.07
2025-05-14 15:42:04,0.085,42.68,16044032,11.95
2025-05-14 15:42:09,0.085,42.68,16044032,11.95
2025-05-14 15:42:14,0.085,42.68,16044032,11.95
2025-05-14 15:42:20,0.085,42.68,16044032,11.95
2025-05-14 15:42:25,0.085,42.68,16044032,11.95
2025-05-14 15:42:30,0.096,48.04,16027648,11.94
2025-05-14 15:42:36,0.096,48.04,16027648,11.94
2025-05-14 15:42:41,0.096,48.04,16027648,11.94
2025-05-14 15:42:47,0.096,48.04,16027648,11.94
2025-05-14 15:42:52,0.096,48.04,16027648,11.94
2025-05-14 15:42:57,0.082,41.03,16027648,11.94
2025-05-14 15:43:02,0.082,41.03,15892480,11.84
2025-05-14 15:43:08,0.082,41.03,15892480,11.84
2025-05-14 15:43:13,0.082,41.03,15892480,11.84
2025-05-14 15:43:19,0.082,41.03,15892480,11.84
2025-05-14 15:43:24,0.082,41.03,15892480,11.84
2025-05-14 15:43:29,0.062,31.12,15892480,11.84
2025-05-14 15:43:35,0.062,31.12,16023552,11.94
2025-05-14 15:43:40,0.062,31.12,16023552,11.94
2025-05-14 15:43:45,0.062,31.12,16023552,11.94
2025-05-14 15:43:51,0.062,31.12,16023552,11.94
2025-05-14 15:43:56,0.062,31.12,16023552,11.94
2025-05-14 15:44:01,0.085,42.40,16330752,12.17
2025-05-14 15:44:07,0.085,42.40,16330752,12.17
2025-05-14 15:44:12,0.085,42.40,16330752,12.17
2025-05-14 15:44:17,0.085,42.40,16330752,12.17
2025-05-14 15:44:23,0.085,42.40,16330752,12.17
2025-05-14 15:44:28,0.096,48.06,16330752,12.17
2025-05-14 15:44:33,0.096,48.06,16318464,12.16
2025-05-14 15:44:39,0.096,48.06,16318464,12.16
2025-05-14 15:44:44,0.096,48.06,16318464,12.16
2025-05-14 15:44:49,0.096,48.06,16318464,12.16
2025-05-14 15:44:55,0.096,48.06,16318464,12.16
2025-05-14 15:45:00,0.073,36.73,16801792,12.52
2025-05-14 15:45:06,0.073,36.73,16801792,12.52
2025-05-14 15:45:11,0.073,36.73,16801792,12.52
2025-05-14 15:45:17,0.073,36.73,16801792,12.52
2025-05-14 15:45:22,0.073,36.73,16801792,12.52
2025-05-14 15:45:27,0.115,57.38,16801792,12.52
2025-05-14 15:45:32,0.115,57.38,16887808,12.58
2025-05-14 15:45:38,0.115,57.38,16887808,12.58
2025-05-14 15:45:43,0.115,57.38,16887808,12.58
2025-05-14 15:45:48,0.115,57.38,16887808,12.58
2025-05-14 15:45:53,0.115,57.38,16887808,12.58
2025-05-14 15:45:58,0.074,36.96,16887808,12.58
2025-05-14 15:46:04,0.074,36.96,17059840,12.71
2025-05-14 15:46:09,0.074,36.96,17059840,12.71
2025-05-14 15:46:14,0.074,36.96,17059840,12.71
2025-05-14 15:46:19,0.074,36.96,17059840,12.71
2025-05-14 15:46:24,0.074,36.96,17059840,12.71
2025-05-14 15:46:29,0.111,55.42,17059840,12.71
2025-05-14 15:46:35,0.111,55.42,17920000,13.35
2025-05-14 15:46:40,0.111,55.42,17920000,13.35
2025-05-14 15:46:45,0.111,55.42,17920000,13.35
2025-05-14 15:46:50,0.111,55.42,17920000,13.35
2025-05-14 15:46:55,0.111,55.42,17920000,13.35
2025-05-14 15:47:00,0.076,38.17,17313792,12.90
2025-05-14 15:47:05,0.076,38.17,17313792,12.90
2025-05-14 15:47:10,0.076,38.17,17313792,12.90
2025-05-14 15:47:16,0.076,38.17,17313792,12.90
2025-05-14 15:47:21,0.076,38.17,17313792,12.90
2025-05-14 15:47:26,0.076,38.17,17313792,12.90
2025-05-14 15:47:31,0.049,24.71,17321984,12.91
2025-05-14 15:47:36,0.049,24.71,17321984,12.91
2025-05-14 15:47:41,0.049,24.71,17321984,12.91
2025-05-14 15:47:46,0.049,24.71,17321984,12.91
2025-05-14 15:47:51,0.049,24.71,17321984,12.91
2025-05-14 15:47:56,0.049,24.71,17321984,12.91
2025-05-14 15:48:02,0.049,24.60,16154624,12.04
2025-05-14 15:48:07,0.049,24.60,16154624,12.04
2025-05-14 15:48:12,0.049,24.60,16154624,12.04
2025-05-14 15:48:17,0.049,24.60,16154624,12.04
2025-05-14 15:48:22,0.049,24.60,16154624,12.04
2025-05-14 15:48:27,0.049,24.60,16154624,12.04
2025-05-14 15:48:32,0.040,19.85,16179200,12.05
2025-05-14 15:48:37,0.040,19.85,16179200,12.05
2025-05-14 15:48:42,0.040,19.85,16179200,12.05
2025-05-14 15:48:48,0.040,19.85,16179200,12.05
2025-05-14 15:48:53,0.040,19.85,16179200,12.05
2025-05-14 15:48:58,0.024,11.89,16179200,12.05
2025-05-14 15:49:03,0.024,11.89,15941632,11.88
2025-05-14 15:49:08,0.024,11.89,15941632,11.88
2025-05-14 15:49:13,0.024,11.89,15941632,11.88
2025-05-14 15:49:18,0.024,11.89,15941632,11.88
2025-05-14 15:49:23,0.024,11.89,15941632,11.88
2025-05-14 15:49:28,0.043,21.63,15941632,11.88
2025-05-14 15:49:34,0.043,21.63,16015360,11.93
2025-05-14 15:49:39,0.043,21.63,16015360,11.93
2025-05-14 15:49:44,0.043,21.63,16015360,11.93
2025-05-14 15:49:49,0.043,21.63,16015360,11.93
