timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 03:58:15,0.017,6.80,11247616,8.38
2025-05-11 03:58:20,0.017,6.80,11247616,8.38
2025-05-11 03:58:26,0.017,6.80,11632640,8.67
2025-05-11 03:58:31,0.017,6.80,11632640,8.67
2025-05-11 03:58:36,0.017,6.80,11632640,8.67
2025-05-11 03:58:41,0.074,29.45,11632640,8.67
2025-05-11 03:58:46,0.074,29.45,11632640,8.67
2025-05-11 03:58:52,0.074,29.45,11632640,8.67
2025-05-11 03:58:57,0.074,29.45,11624448,8.66
2025-05-11 03:59:02,0.074,29.45,11624448,8.66
2025-05-11 03:59:07,0.074,29.45,11624448,8.66
2025-05-11 03:59:12,0.039,15.40,11624448,8.66
2025-05-11 03:59:18,0.039,15.40,11624448,8.66
2025-05-11 03:59:23,0.039,15.40,12222464,9.11
2025-05-11 03:59:28,0.039,15.40,12222464,9.11
2025-05-11 03:59:33,0.039,15.40,12222464,9.11
2025-05-11 03:59:39,0.039,15.40,12222464,9.11
2025-05-11 03:59:44,0.077,30.79,12222464,9.11
2025-05-11 03:59:49,0.077,30.79,12222464,9.11
2025-05-11 03:59:54,0.077,30.79,11919360,8.88
2025-05-11 03:59:59,0.077,30.79,11919360,8.88
2025-05-11 04:00:05,0.077,30.79,11919360,8.88
2025-05-11 04:00:10,0.077,30.79,11919360,8.88
2025-05-11 04:00:15,0.080,31.90,11919360,8.88
2025-05-11 04:00:20,0.080,31.90,11919360,8.88
2025-05-11 04:00:26,0.080,31.90,12210176,9.10
2025-05-11 04:00:31,0.080,31.90,12210176,9.10
2025-05-11 04:00:36,0.080,31.90,12210176,9.10
2025-05-11 04:00:41,0.119,47.74,12210176,9.10
2025-05-11 04:00:46,0.119,47.74,12210176,9.10
2025-05-11 04:00:52,0.119,47.74,12210176,9.10
2025-05-11 04:00:57,0.119,47.74,12292096,9.16
2025-05-11 04:01:02,0.119,47.74,12292096,9.16
2025-05-11 04:01:07,0.119,47.74,12292096,9.16
2025-05-11 04:01:12,0.092,36.76,12292096,9.16
2025-05-11 04:01:18,0.092,36.76,12292096,9.16
2025-05-11 04:01:23,0.092,36.76,12247040,9.12
2025-05-11 04:01:28,0.092,36.76,12247040,9.12
2025-05-11 04:01:33,0.092,36.76,12247040,9.12
2025-05-11 04:01:38,0.092,36.76,12247040,9.12
2025-05-11 04:01:44,0.073,29.27,12247040,9.12
2025-05-11 04:01:49,0.073,29.27,12247040,9.12
2025-05-11 04:01:54,0.073,29.27,12267520,9.14
2025-05-11 04:01:59,0.073,29.27,12267520,9.14
2025-05-11 04:02:05,0.073,29.27,12267520,9.14
2025-05-11 04:02:10,0.073,29.27,12267520,9.14
2025-05-11 04:02:15,0.070,27.97,12267520,9.14
2025-05-11 04:02:20,0.070,27.97,12267520,9.14
2025-05-11 04:02:25,0.070,27.97,12333056,9.19
2025-05-11 04:02:31,0.070,27.97,12333056,9.19
2025-05-11 04:02:36,0.070,27.97,12333056,9.19
2025-05-11 04:02:41,0.055,22.07,12333056,9.19
2025-05-11 04:02:46,0.055,22.07,12333056,9.19
2025-05-11 04:02:51,0.055,22.07,12333056,9.19
2025-05-11 04:02:57,0.055,22.07,12607488,9.39
2025-05-11 04:03:02,0.055,22.07,12607488,9.39
2025-05-11 04:03:07,0.055,22.07,12607488,9.39
2025-05-11 04:03:12,0.037,14.97,12607488,9.39
2025-05-11 04:03:17,0.037,14.97,12607488,9.39
2025-05-11 04:03:23,0.037,14.97,12349440,9.20
2025-05-11 04:03:28,0.037,14.97,12349440,9.20
2025-05-11 04:03:33,0.037,14.97,12349440,9.20
2025-05-11 04:03:38,0.037,14.97,12349440,9.20
2025-05-11 04:03:43,0.045,18.18,12349440,9.20
2025-05-11 04:03:49,0.045,18.18,12349440,9.20
2025-05-11 04:03:54,0.045,18.18,12431360,9.26
2025-05-11 04:03:59,0.045,18.18,12431360,9.26
2025-05-11 04:04:04,0.045,18.18,12431360,9.26
2025-05-11 04:04:09,0.045,18.18,12431360,9.26
2025-05-11 04:04:15,0.051,20.34,12431360,9.26
2025-05-11 04:04:20,0.051,20.34,12431360,9.26
2025-05-11 04:04:25,0.051,20.34,12525568,9.33
2025-05-11 04:04:30,0.051,20.34,12525568,9.33
2025-05-11 04:04:36,0.051,20.34,12525568,9.33
2025-05-11 04:04:41,0.051,20.57,12525568,9.33
2025-05-11 04:04:46,0.051,20.57,12525568,9.33
2025-05-11 04:04:51,0.051,20.57,12525568,9.33
2025-05-11 04:04:56,0.051,20.57,12619776,9.40
2025-05-11 04:05:02,0.051,20.57,12619776,9.40
2025-05-11 04:05:07,0.051,20.57,12619776,9.40
2025-05-11 04:05:12,0.069,27.61,12619776,9.40
2025-05-11 04:05:17,0.069,27.61,12619776,9.40
2025-05-11 04:05:22,0.069,27.61,12644352,9.42
2025-05-11 04:05:28,0.069,27.61,12644352,9.42
2025-05-11 04:05:33,0.069,27.61,12644352,9.42
2025-05-11 04:05:38,0.069,27.61,12644352,9.42
2025-05-11 04:05:43,0.059,23.56,12644352,9.42
