timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 02:14:14,0.031,12.30,11255808,8.39
2025-05-10 02:14:19,0.031,12.30,11255808,8.39
2025-05-10 02:14:24,0.031,12.30,11354112,8.46
2025-05-10 02:14:29,0.031,12.30,11354112,8.46
2025-05-10 02:14:34,0.031,12.30,11354112,8.46
2025-05-10 02:14:40,0.031,12.30,11354112,8.46
2025-05-10 02:14:45,0.038,15.35,11354112,8.46
2025-05-10 02:14:50,0.038,15.35,11354112,8.46
2025-05-10 02:14:55,0.038,15.35,11575296,8.62
2025-05-10 02:15:01,0.038,15.35,11575296,8.62
2025-05-10 02:15:06,0.038,15.35,11575296,8.62
2025-05-10 02:15:11,0.038,15.35,11575296,8.62
2025-05-10 02:15:16,0.036,14.44,11575296,8.62
2025-05-10 02:15:21,0.036,14.44,11575296,8.62
2025-05-10 02:15:27,0.036,14.44,11665408,8.69
2025-05-10 02:15:32,0.036,14.44,11665408,8.69
2025-05-10 02:15:37,0.036,14.44,11665408,8.69
2025-05-10 02:15:42,0.047,18.99,11665408,8.69
2025-05-10 02:15:48,0.047,18.99,11665408,8.69
2025-05-10 02:15:53,0.047,18.99,11755520,8.76
2025-05-10 02:15:58,0.047,18.99,11755520,8.76
2025-05-10 02:16:03,0.047,18.99,11755520,8.76
2025-05-10 02:16:08,0.047,18.99,11755520,8.76
2025-05-10 02:16:14,0.087,34.69,11755520,8.76
2025-05-10 02:16:19,0.087,34.69,11755520,8.76
2025-05-10 02:16:24,0.087,34.69,11816960,8.80
