timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:02:16,0.002,0.97,10858496,8.09
2025-05-09 01:02:21,0.002,0.97,11083776,8.26
2025-05-09 01:02:27,0.002,0.97,11083776,8.26
2025-05-09 01:02:32,0.002,0.97,11083776,8.26
2025-05-09 01:02:38,0.002,0.97,11083776,8.26
2025-05-09 01:02:43,0.018,7.20,11083776,8.26
2025-05-09 01:02:49,0.018,7.20,11083776,8.26
2025-05-09 01:02:54,0.018,7.20,11153408,8.31
2025-05-09 01:03:00,0.018,7.20,11153408,8.31
2025-05-09 01:03:06,0.018,7.20,11153408,8.31
2025-05-09 01:03:11,0.018,7.20,11153408,8.31
2025-05-09 01:03:17,0.018,7.33,11153408,8.31
2025-05-09 01:03:22,0.018,7.33,11386880,8.48
2025-05-09 01:03:28,0.018,7.33,11386880,8.48
2025-05-09 01:03:33,0.018,7.33,11386880,8.48
2025-05-09 01:03:39,0.018,7.33,11386880,8.48
2025-05-09 01:03:44,0.038,15.03,11386880,8.48
2025-05-09 01:03:52,0.038,15.03,11452416,8.53
2025-05-09 01:03:58,0.038,15.03,11452416,8.53
2025-05-09 01:04:04,0.038,15.03,11452416,8.53
2025-05-09 01:04:09,0.038,15.03,11452416,8.53
2025-05-09 01:04:15,0.052,20.97,11452416,8.53
2025-05-09 01:04:20,0.052,20.97,11526144,8.59
2025-05-09 01:04:26,0.052,20.97,11526144,8.59
2025-05-09 01:04:31,0.052,20.97,11526144,8.59
2025-05-09 01:04:37,0.052,20.97,11526144,8.59
2025-05-09 01:04:42,0.052,20.97,11526144,8.59
2025-05-09 01:04:48,0.042,16.77,11526144,8.59
2025-05-09 01:04:53,0.042,16.77,11808768,8.80
2025-05-09 01:04:59,0.042,16.77,11808768,8.80
2025-05-09 01:05:04,0.042,16.77,11808768,8.80
2025-05-09 01:05:10,0.042,16.77,11808768,8.80
2025-05-09 01:05:15,0.038,15.06,11808768,8.80
2025-05-09 01:05:21,0.038,15.06,11587584,8.63
2025-05-09 01:05:27,0.038,15.06,11587584,8.63
2025-05-09 01:05:32,0.038,15.06,11587584,8.63
2025-05-09 01:05:37,0.038,15.06,11587584,8.63
2025-05-09 01:05:43,0.044,17.70,11587584,8.63
2025-05-09 01:05:48,0.044,17.70,11587584,8.63
2025-05-09 01:05:54,0.044,17.70,11931648,8.89
2025-05-09 01:06:00,0.044,17.70,11931648,8.89
2025-05-09 01:06:05,0.044,17.70,11931648,8.89
2025-05-09 01:06:11,0.044,17.70,11931648,8.89
2025-05-09 01:06:16,0.052,20.66,11931648,8.89
2025-05-09 01:06:22,0.052,20.66,11808768,8.80
2025-05-09 01:06:27,0.052,20.66,11808768,8.80
2025-05-09 01:06:33,0.052,20.66,11808768,8.80
2025-05-09 01:06:38,0.052,20.66,11808768,8.80
2025-05-09 01:06:43,0.062,24.61,11808768,8.80
2025-05-09 01:06:49,0.062,24.61,11808768,8.80
2025-05-09 01:06:55,0.062,24.61,11767808,8.77
2025-05-09 01:07:00,0.062,24.61,11767808,8.77
2025-05-09 01:07:06,0.062,24.61,11767808,8.77
2025-05-09 01:07:11,0.062,24.61,11767808,8.77
2025-05-09 01:07:17,0.048,19.05,11767808,8.77
2025-05-09 01:07:22,0.048,19.05,11837440,8.82
2025-05-09 01:07:28,0.048,19.05,11837440,8.82
2025-05-09 01:07:33,0.048,19.05,11837440,8.82
2025-05-09 01:07:39,0.048,19.05,11837440,8.82
2025-05-09 01:07:44,0.052,20.85,11837440,8.82
2025-05-09 01:07:50,0.052,20.85,12136448,9.04
2025-05-09 01:07:55,0.052,20.85,12136448,9.04
2025-05-09 01:08:01,0.052,20.85,12136448,9.04
2025-05-09 01:08:07,0.052,20.85,12136448,9.04
2025-05-09 01:08:12,0.052,20.85,12136448,9.04
2025-05-09 01:08:18,0.045,17.97,12136448,9.04
2025-05-09 01:08:23,0.045,17.97,12378112,9.22
2025-05-09 01:08:29,0.045,17.97,12378112,9.22
2025-05-09 01:08:34,0.045,17.97,12378112,9.22
2025-05-09 01:08:39,0.045,17.97,12378112,9.22
2025-05-09 01:08:45,0.052,20.90,12378112,9.22
2025-05-09 01:08:51,0.052,20.90,11943936,8.90
2025-05-09 01:08:56,0.052,20.90,11943936,8.90
2025-05-09 01:09:02,0.052,20.90,11943936,8.90
2025-05-09 01:09:07,0.052,20.90,11943936,8.90
2025-05-09 01:09:13,0.059,23.45,11943936,8.90
2025-05-09 01:09:18,0.059,23.45,11943936,8.90
2025-05-09 01:09:24,0.059,23.45,12095488,9.01
2025-05-09 01:09:29,0.059,23.45,12095488,9.01
2025-05-09 01:09:35,0.059,23.45,12095488,9.01
2025-05-09 01:09:40,0.059,23.45,12095488,9.01
2025-05-09 01:09:46,0.068,27.26,12095488,9.01
2025-05-09 01:09:51,0.068,27.26,12460032,9.28
2025-05-09 01:09:57,0.068,27.26,12460032,9.28
2025-05-09 01:10:02,0.068,27.26,12460032,9.28
2025-05-09 01:10:08,0.068,27.26,12460032,9.28
2025-05-09 01:10:14,0.098,39.10,12460032,9.28
2025-05-09 01:10:19,0.098,39.10,12460032,9.28
2025-05-09 01:10:25,0.098,39.10,12320768,9.18
2025-05-09 01:10:31,0.098,39.10,12320768,9.18
2025-05-09 01:10:36,0.098,39.10,12320768,9.18
2025-05-09 01:10:42,0.098,39.10,12320768,9.18
2025-05-09 01:10:47,0.073,29.27,12320768,9.18
