timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 08:38:11,0.014,5.70,11145216,8.30
2025-05-11 08:38:16,0.014,5.70,11145216,8.30
2025-05-11 08:38:22,0.014,5.70,11145216,8.30
2025-05-11 08:38:27,0.014,5.70,11145216,8.30
2025-05-11 08:38:32,0.014,5.70,11055104,8.24
2025-05-11 08:38:37,0.014,5.70,11055104,8.24
2025-05-11 08:38:43,0.032,12.91,11055104,8.24
2025-05-11 08:38:48,0.032,12.91,11055104,8.24
2025-05-11 08:38:53,0.032,12.91,11055104,8.24
2025-05-11 08:38:58,0.032,12.91,11055104,8.24
2025-05-11 08:39:03,0.032,12.91,11198464,8.34
2025-05-11 08:39:09,0.032,12.91,11198464,8.34
2025-05-11 08:39:14,0.043,17.33,11198464,8.34
2025-05-11 08:39:19,0.043,17.33,11198464,8.34
2025-05-11 08:39:24,0.043,17.33,11198464,8.34
2025-05-11 08:39:30,0.043,17.33,11198464,8.34
2025-05-11 08:39:35,0.043,17.33,11485184,8.56
2025-05-11 08:39:40,0.043,17.33,11485184,8.56
2025-05-11 08:39:45,0.065,26.06,11485184,8.56
2025-05-11 08:39:50,0.065,26.06,11485184,8.56
2025-05-11 08:39:56,0.065,26.06,11485184,8.56
2025-05-11 08:40:01,0.065,26.06,11485184,8.56
2025-05-11 08:40:06,0.065,26.06,11894784,8.86
2025-05-11 08:40:11,0.079,31.45,11894784,8.86
2025-05-11 08:40:17,0.079,31.45,11894784,8.86
2025-05-11 08:40:22,0.079,31.45,11894784,8.86
2025-05-11 08:40:27,0.079,31.45,11894784,8.86
2025-05-11 08:40:32,0.079,31.45,12013568,8.95
2025-05-11 08:40:37,0.079,31.45,12013568,8.95
2025-05-11 08:40:43,0.055,22.11,12013568,8.95
2025-05-11 08:40:48,0.055,22.11,12013568,8.95
2025-05-11 08:40:53,0.055,22.11,12013568,8.95
2025-05-11 08:40:58,0.055,22.11,12013568,8.95
2025-05-11 08:41:04,0.055,22.11,12468224,9.29
2025-05-11 08:41:09,0.055,22.11,12468224,9.29
2025-05-11 08:41:14,0.115,46.15,12468224,9.29
2025-05-11 08:41:19,0.115,46.15,12468224,9.29
2025-05-11 08:41:24,0.115,46.15,12468224,9.29
2025-05-11 08:41:30,0.115,46.15,12468224,9.29
2025-05-11 08:41:35,0.115,46.15,12128256,9.04
2025-05-11 08:41:40,0.115,46.15,12128256,9.04
2025-05-11 08:41:45,0.049,19.54,12128256,9.04
2025-05-11 08:41:50,0.049,19.54,12128256,9.04
2025-05-11 08:41:56,0.049,19.54,12128256,9.04
2025-05-11 08:42:01,0.049,19.54,12128256,9.04
2025-05-11 08:42:06,0.049,19.54,12210176,9.10
2025-05-11 08:42:11,0.109,43.75,12210176,9.10
2025-05-11 08:42:17,0.109,43.75,12210176,9.10
2025-05-11 08:42:22,0.109,43.75,12210176,9.10
2025-05-11 08:42:27,0.109,43.75,12210176,9.10
2025-05-11 08:42:32,0.109,43.75,11956224,8.91
2025-05-11 08:42:37,0.109,43.75,11956224,8.91
2025-05-11 08:42:43,0.048,19.28,11956224,8.91
2025-05-11 08:42:48,0.048,19.28,11956224,8.91
2025-05-11 08:42:53,0.048,19.28,11956224,8.91
2025-05-11 08:42:58,0.048,19.28,11956224,8.91
2025-05-11 08:43:03,0.048,19.28,11948032,8.90
2025-05-11 08:43:09,0.048,19.28,11948032,8.90
2025-05-11 08:43:14,0.057,22.96,11948032,8.90
2025-05-11 08:43:19,0.057,22.96,11948032,8.90
2025-05-11 08:43:24,0.057,22.96,11948032,8.90
2025-05-11 08:43:30,0.057,22.96,11948032,8.90
2025-05-11 08:43:35,0.057,22.96,11976704,8.92
2025-05-11 08:43:40,0.057,22.96,11976704,8.92
2025-05-11 08:43:45,0.056,22.26,11976704,8.92
2025-05-11 08:43:50,0.056,22.26,11976704,8.92
2025-05-11 08:43:56,0.056,22.26,11976704,8.92
2025-05-11 08:44:01,0.056,22.26,11976704,8.92
2025-05-11 08:44:06,0.056,22.26,12038144,8.97
2025-05-11 08:44:11,0.043,17.38,12038144,8.97
2025-05-11 08:44:16,0.043,17.38,12038144,8.97
2025-05-11 08:44:22,0.043,17.38,12038144,8.97
2025-05-11 08:44:27,0.043,17.38,12038144,8.97
2025-05-11 08:44:32,0.043,17.38,12083200,9.00
2025-05-11 08:44:37,0.043,17.38,12083200,9.00
2025-05-11 08:44:42,0.064,25.73,12083200,9.00
2025-05-11 08:44:48,0.064,25.73,12083200,9.00
2025-05-11 08:44:53,0.064,25.73,12083200,9.00
2025-05-11 08:44:58,0.064,25.73,12083200,9.00
2025-05-11 08:45:03,0.064,25.73,12369920,9.22
2025-05-11 08:45:09,0.064,25.73,12369920,9.22
2025-05-11 08:45:14,0.031,12.31,12369920,9.22
2025-05-11 08:45:19,0.031,12.31,12369920,9.22
2025-05-11 08:45:24,0.031,12.31,12369920,9.22
2025-05-11 08:45:29,0.031,12.31,12369920,9.22
2025-05-11 08:45:35,0.031,12.31,12521472,9.33
2025-05-11 08:45:40,0.031,12.31,12521472,9.33
2025-05-11 08:45:45,0.083,33.27,12521472,9.33
2025-05-11 08:45:50,0.083,33.27,12521472,9.33
2025-05-11 08:45:56,0.083,33.27,12521472,9.33
2025-05-11 08:46:01,0.083,33.27,12521472,9.33
2025-05-11 08:46:06,0.083,33.27,12345344,9.20
2025-05-11 08:46:11,0.054,21.43,12345344,9.20
2025-05-11 08:46:16,0.054,21.43,12345344,9.20
2025-05-11 08:46:22,0.054,21.43,12345344,9.20
2025-05-11 08:46:27,0.054,21.43,12345344,9.20
2025-05-11 08:46:32,0.054,21.43,12668928,9.44
2025-05-11 08:46:37,0.054,21.43,12668928,9.44
2025-05-11 08:46:42,0.113,45.35,12668928,9.44
2025-05-11 08:46:48,0.113,45.35,12668928,9.44
2025-05-11 08:46:53,0.113,45.35,12668928,9.44
2025-05-11 08:46:58,0.113,45.35,12668928,9.44
2025-05-11 08:47:03,0.113,45.35,13115392,9.77
2025-05-11 08:47:08,0.113,45.35,13115392,9.77
2025-05-11 08:47:14,0.146,58.22,13115392,9.77
2025-05-11 08:47:19,0.146,58.22,13115392,9.77
2025-05-11 08:47:24,0.146,58.22,13115392,9.77
2025-05-11 08:47:29,0.146,58.22,13115392,9.77
2025-05-11 08:47:35,0.146,58.22,13549568,10.10
2025-05-11 08:47:40,0.146,58.22,13549568,10.10
2025-05-11 08:47:45,0.080,32.03,13549568,10.10
2025-05-11 08:47:50,0.080,32.03,13549568,10.10
2025-05-11 08:47:55,0.080,32.03,13549568,10.10
2025-05-11 08:48:01,0.080,32.03,13549568,10.10
2025-05-11 08:48:06,0.080,32.03,13762560,10.25
2025-05-11 08:48:11,0.120,48.12,13762560,10.25
2025-05-11 08:48:16,0.120,48.12,13762560,10.25
2025-05-11 08:48:21,0.120,48.12,13762560,10.25
2025-05-11 08:48:27,0.120,48.12,13762560,10.25
2025-05-11 08:48:32,0.120,48.12,13762560,10.25
2025-05-11 08:48:37,0.120,48.12,13623296,10.15
2025-05-11 08:48:42,0.173,69.01,13623296,10.15
2025-05-11 08:48:48,0.173,69.01,13623296,10.15
2025-05-11 08:48:53,0.173,69.01,13623296,10.15
2025-05-11 08:48:58,0.173,69.01,13623296,10.15
2025-05-11 08:49:03,0.173,69.01,13746176,10.24
2025-05-11 08:49:08,0.173,69.01,13746176,10.24
2025-05-11 08:49:14,0.116,46.59,13746176,10.24
2025-05-11 08:49:19,0.116,46.59,13746176,10.24
2025-05-11 08:49:24,0.116,46.59,13746176,10.24
2025-05-11 08:49:29,0.116,46.59,13746176,10.24
2025-05-11 08:49:34,0.116,46.59,13881344,10.34
2025-05-11 08:49:40,0.116,46.59,13881344,10.34
2025-05-11 08:49:45,0.180,71.93,13881344,10.34
