timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 02:10:43,0.005,1.98,11468800,8.54
2025-05-11 02:10:48,0.005,1.98,11468800,8.54
2025-05-11 02:10:53,0.005,1.98,11468800,8.54
2025-05-11 02:10:58,0.005,1.98,11468800,8.54
2025-05-11 02:11:04,0.005,1.98,11468800,8.54
2025-05-11 02:11:09,0.005,1.98,11800576,8.79
2025-05-11 02:11:14,0.033,13.23,11800576,8.79
2025-05-11 02:11:19,0.033,13.23,11800576,8.79
2025-05-11 02:11:25,0.033,13.23,11800576,8.79
2025-05-11 02:11:30,0.033,13.23,11800576,8.79
2025-05-11 02:11:35,0.033,13.23,11800576,8.79
2025-05-11 02:11:40,0.020,7.89,11771904,8.77
2025-05-11 02:11:45,0.020,7.89,11771904,8.77
2025-05-11 02:11:51,0.020,7.89,11771904,8.77
2025-05-11 02:11:56,0.020,7.89,11771904,8.77
2025-05-11 02:12:01,0.020,7.89,11771904,8.77
2025-05-11 02:12:06,0.020,7.89,11771904,8.77
2025-05-11 02:12:12,0.047,18.97,11694080,8.71
2025-05-11 02:12:17,0.047,18.97,11694080,8.71
2025-05-11 02:12:22,0.047,18.97,11694080,8.71
2025-05-11 02:12:27,0.047,18.97,11694080,8.71
2025-05-11 02:12:33,0.047,18.97,11694080,8.71
2025-05-11 02:12:38,0.047,18.97,11694080,8.71
2025-05-11 02:12:43,0.042,16.89,12357632,9.21
2025-05-11 02:12:48,0.042,16.89,12357632,9.21
2025-05-11 02:12:53,0.042,16.89,12357632,9.21
2025-05-11 02:12:59,0.042,16.89,12357632,9.21
2025-05-11 02:13:04,0.042,16.89,12357632,9.21
2025-05-11 02:13:09,0.042,16.89,12152832,9.05
2025-05-11 02:13:14,0.032,12.79,12152832,9.05
2025-05-11 02:13:19,0.032,12.79,12152832,9.05
2025-05-11 02:13:25,0.032,12.79,12152832,9.05
2025-05-11 02:13:30,0.032,12.79,12152832,9.05
2025-05-11 02:13:35,0.032,12.79,12152832,9.05
2025-05-11 02:13:40,0.048,19.22,12439552,9.27
2025-05-11 02:13:46,0.048,19.22,12439552,9.27
2025-05-11 02:13:51,0.048,19.22,12439552,9.27
2025-05-11 02:13:56,0.048,19.22,12439552,9.27
2025-05-11 02:14:01,0.048,19.22,12439552,9.27
2025-05-11 02:14:06,0.048,19.22,12439552,9.27
2025-05-11 02:14:12,0.047,19.00,12623872,9.41
2025-05-11 02:14:17,0.047,19.00,12623872,9.41
2025-05-11 02:14:22,0.047,19.00,12623872,9.41
2025-05-11 02:14:27,0.047,19.00,12623872,9.41
2025-05-11 02:14:32,0.047,19.00,12623872,9.41
2025-05-11 02:14:38,0.047,19.00,12623872,9.41
2025-05-11 02:14:43,0.039,15.70,12562432,9.36
