timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 06:17:40,0.023,9.09,11067392,8.25
2025-05-11 06:17:46,0.023,9.09,11067392,8.25
2025-05-11 06:17:51,0.023,9.09,11067392,8.25
2025-05-11 06:17:56,0.023,9.09,11128832,8.29
2025-05-11 06:18:01,0.023,9.09,11128832,8.29
2025-05-11 06:18:07,0.023,9.09,11128832,8.29
2025-05-11 06:18:12,0.022,8.88,11128832,8.29
2025-05-11 06:18:17,0.022,8.88,11128832,8.29
2025-05-11 06:18:22,0.022,8.88,11210752,8.35
2025-05-11 06:18:27,0.022,8.88,11210752,8.35
2025-05-11 06:18:33,0.022,8.88,11210752,8.35
2025-05-11 06:18:38,0.022,8.88,11210752,8.35
2025-05-11 06:18:43,0.037,14.88,11210752,8.35
2025-05-11 06:18:48,0.037,14.88,11210752,8.35
2025-05-11 06:18:53,0.037,14.88,11329536,8.44
2025-05-11 06:18:58,0.037,14.88,11329536,8.44
2025-05-11 06:19:04,0.037,14.88,11329536,8.44
2025-05-11 06:19:09,0.037,14.88,11329536,8.44
2025-05-11 06:19:14,0.069,27.75,11329536,8.44
2025-05-11 06:19:19,0.069,27.75,11329536,8.44
2025-05-11 06:19:24,0.069,27.75,11771904,8.77
2025-05-11 06:19:30,0.069,27.75,11771904,8.77
2025-05-11 06:19:35,0.069,27.75,11771904,8.77
2025-05-11 06:19:40,0.069,27.75,11771904,8.77
2025-05-11 06:19:45,0.061,24.25,11771904,8.77
2025-05-11 06:19:50,0.061,24.25,11771904,8.77
2025-05-11 06:19:56,0.061,24.25,12320768,9.18
2025-05-11 06:20:01,0.061,24.25,12320768,9.18
2025-05-11 06:20:06,0.061,24.25,12320768,9.18
2025-05-11 06:20:11,0.105,42.07,12320768,9.18
2025-05-11 06:20:16,0.105,42.07,12320768,9.18
2025-05-11 06:20:22,0.105,42.07,12320768,9.18
2025-05-11 06:20:27,0.105,42.07,12607488,9.39
2025-05-11 06:20:32,0.105,42.07,12607488,9.39
2025-05-11 06:20:37,0.105,42.07,12607488,9.39
2025-05-11 06:20:42,0.128,51.01,12607488,9.39
2025-05-11 06:20:48,0.128,51.01,12607488,9.39
2025-05-11 06:20:53,0.128,51.01,12558336,9.36
2025-05-11 06:20:58,0.128,51.01,12558336,9.36
2025-05-11 06:21:03,0.128,51.01,12558336,9.36
2025-05-11 06:21:08,0.128,51.01,12558336,9.36
2025-05-11 06:21:14,0.093,37.35,12558336,9.36
2025-05-11 06:21:19,0.093,37.35,12558336,9.36
2025-05-11 06:21:24,0.093,37.35,12898304,9.61
2025-05-11 06:21:29,0.093,37.35,12898304,9.61
2025-05-11 06:21:34,0.093,37.35,12898304,9.61
2025-05-11 06:21:39,0.093,37.35,12898304,9.61
2025-05-11 06:21:45,0.101,40.53,12898304,9.61
2025-05-11 06:21:50,0.101,40.53,12898304,9.61
2025-05-11 06:21:55,0.101,40.53,12439552,9.27
2025-05-11 06:22:00,0.101,40.53,12439552,9.27
2025-05-11 06:22:05,0.101,40.53,12439552,9.27
2025-05-11 06:22:11,0.088,35.26,12439552,9.27
2025-05-11 06:22:16,0.088,35.26,12439552,9.27
2025-05-11 06:22:21,0.088,35.26,12439552,9.27
2025-05-11 06:22:26,0.088,35.26,12529664,9.34
2025-05-11 06:22:32,0.088,35.26,12529664,9.34
2025-05-11 06:22:37,0.088,35.26,12529664,9.34
2025-05-11 06:22:42,0.074,29.54,12529664,9.34
2025-05-11 06:22:47,0.074,29.54,12529664,9.34
2025-05-11 06:22:52,0.074,29.54,12505088,9.32
2025-05-11 06:22:58,0.074,29.54,12505088,9.32
2025-05-11 06:23:03,0.074,29.54,12505088,9.32
2025-05-11 06:23:08,0.074,29.54,12505088,9.32
2025-05-11 06:23:13,0.071,28.39,12505088,9.32
2025-05-11 06:23:18,0.071,28.39,12505088,9.32
2025-05-11 06:23:24,0.071,28.39,12517376,9.33
2025-05-11 06:23:29,0.071,28.39,12517376,9.33
2025-05-11 06:23:34,0.071,28.39,12517376,9.33
2025-05-11 06:23:39,0.071,28.39,12517376,9.33
2025-05-11 06:23:44,0.066,26.41,12517376,9.33
2025-05-11 06:23:50,0.066,26.41,12517376,9.33
2025-05-11 06:23:55,0.066,26.41,12603392,9.39
2025-05-11 06:24:00,0.066,26.41,12603392,9.39
2025-05-11 06:24:05,0.066,26.41,12603392,9.39
2025-05-11 06:24:10,0.060,24.20,12603392,9.39
2025-05-11 06:24:16,0.060,24.20,12603392,9.39
2025-05-11 06:24:21,0.060,24.20,12603392,9.39
2025-05-11 06:24:26,0.060,24.20,12611584,9.40
2025-05-11 06:24:31,0.060,24.20,12611584,9.40
2025-05-11 06:24:36,0.060,24.20,12611584,9.40
2025-05-11 06:24:42,0.060,23.95,12611584,9.40
2025-05-11 06:24:47,0.060,23.95,12611584,9.40
2025-05-11 06:24:52,0.060,23.95,12746752,9.50
2025-05-11 06:24:57,0.060,23.95,12746752,9.50
2025-05-11 06:25:02,0.060,23.95,12746752,9.50
2025-05-11 06:25:08,0.060,23.95,12746752,9.50
2025-05-11 06:25:13,0.088,35.14,12746752,9.50
2025-05-11 06:25:18,0.088,35.14,12746752,9.50
2025-05-11 06:25:23,0.088,35.14,13123584,9.78
2025-05-11 06:25:28,0.088,35.14,13123584,9.78
2025-05-11 06:25:34,0.088,35.14,13123584,9.78
2025-05-11 06:25:39,0.088,35.14,13123584,9.78
2025-05-11 06:25:44,0.082,32.96,13123584,9.78
2025-05-11 06:25:49,0.082,32.96,13123584,9.78
2025-05-11 06:25:55,0.082,32.96,13094912,9.76
2025-05-11 06:26:00,0.082,32.96,13094912,9.76
2025-05-11 06:26:05,0.082,32.96,13094912,9.76
2025-05-11 06:26:10,0.078,31.12,13094912,9.76
2025-05-11 06:26:15,0.078,31.12,13094912,9.76
2025-05-11 06:26:21,0.078,31.12,13094912,9.76
2025-05-11 06:26:26,0.078,31.12,13324288,9.93
2025-05-11 06:26:31,0.078,31.12,13324288,9.93
2025-05-11 06:26:36,0.078,31.12,13324288,9.93
2025-05-11 06:26:41,0.110,43.95,13324288,9.93
2025-05-11 06:26:47,0.110,43.95,13324288,9.93
2025-05-11 06:26:52,0.110,43.95,13324288,9.93
2025-05-11 06:26:57,0.110,43.95,13713408,10.22
2025-05-11 06:27:02,0.110,43.95,13713408,10.22
2025-05-11 06:27:08,0.110,43.95,13713408,10.22
2025-05-11 06:27:13,0.122,48.87,13713408,10.22
2025-05-11 06:27:18,0.122,48.87,13713408,10.22
2025-05-11 06:27:23,0.122,48.87,14393344,10.72
2025-05-11 06:27:28,0.122,48.87,14393344,10.72
2025-05-11 06:27:34,0.122,48.87,14393344,10.72
2025-05-11 06:27:39,0.122,48.87,14393344,10.72
2025-05-11 06:27:44,0.180,71.95,14393344,10.72
2025-05-11 06:27:49,0.180,71.95,14393344,10.72
2025-05-11 06:27:54,0.180,71.95,14241792,10.61
2025-05-11 06:28:00,0.180,71.95,14241792,10.61
2025-05-11 06:28:05,0.180,71.95,14241792,10.61
2025-05-11 06:28:10,0.180,71.95,14241792,10.61
2025-05-11 06:28:15,0.197,78.79,14241792,10.61
2025-05-11 06:28:20,0.197,78.79,14241792,10.61
2025-05-11 06:28:26,0.197,78.79,14630912,10.90
2025-05-11 06:28:31,0.197,78.79,14630912,10.90
2025-05-11 06:28:36,0.197,78.79,14630912,10.90
2025-05-11 06:28:41,0.125,50.02,14630912,10.90
2025-05-11 06:28:47,0.125,50.02,14630912,10.90
2025-05-11 06:28:52,0.125,50.02,14630912,10.90
2025-05-11 06:28:57,0.125,50.02,14520320,10.82
2025-05-11 06:29:02,0.125,50.02,14520320,10.82
2025-05-11 06:29:07,0.125,50.02,14520320,10.82
2025-05-11 06:29:13,0.180,72.16,14520320,10.82
2025-05-11 06:29:18,0.180,72.16,14520320,10.82
2025-05-11 06:29:23,0.180,72.16,14585856,10.87
2025-05-11 06:29:28,0.180,72.16,14585856,10.87
2025-05-11 06:29:33,0.180,72.16,14585856,10.87
2025-05-11 06:29:39,0.180,72.16,14585856,10.87
2025-05-11 06:29:44,0.148,59.23,14585856,10.87
2025-05-11 06:29:49,0.148,59.23,14585856,10.87
2025-05-11 06:29:54,0.148,59.23,14675968,10.93
2025-05-11 06:29:59,0.148,59.23,14675968,10.93
2025-05-11 06:30:05,0.148,59.23,14675968,10.93
2025-05-11 06:30:10,0.148,59.23,14675968,10.93
2025-05-11 06:30:15,0.133,53.28,14675968,10.93
2025-05-11 06:30:20,0.133,53.28,14675968,10.93
2025-05-11 06:30:25,0.133,53.28,14684160,10.94
2025-05-11 06:30:31,0.133,53.28,14684160,10.94
2025-05-11 06:30:36,0.133,53.28,14684160,10.94
2025-05-11 06:30:41,0.160,64.16,14684160,10.94
2025-05-11 06:30:46,0.160,64.16,14684160,10.94
2025-05-11 06:30:52,0.160,64.16,14684160,10.94
2025-05-11 06:30:57,0.160,64.16,14725120,10.97
2025-05-11 06:31:02,0.160,64.16,14725120,10.97
2025-05-11 06:31:07,0.160,64.16,14725120,10.97
2025-05-11 06:31:12,0.108,43.19,14725120,10.97
2025-05-11 06:31:18,0.108,43.19,14725120,10.97
2025-05-11 06:31:23,0.108,43.19,14508032,10.81
2025-05-11 06:31:28,0.108,43.19,14508032,10.81
2025-05-11 06:31:33,0.108,43.19,14508032,10.81
2025-05-11 06:31:39,0.108,43.19,14508032,10.81
2025-05-11 06:31:44,0.067,26.69,14508032,10.81
2025-05-11 06:31:49,0.067,26.69,14508032,10.81
2025-05-11 06:31:54,0.067,26.69,14548992,10.84
2025-05-11 06:31:59,0.067,26.69,14548992,10.84
2025-05-11 06:32:05,0.067,26.69,14548992,10.84
2025-05-11 06:32:11,0.117,46.63,14548992,10.84
2025-05-11 06:32:16,0.117,46.63,14548992,10.84
2025-05-11 06:32:21,0.117,46.63,14548992,10.84
2025-05-11 06:32:26,0.117,46.63,14667776,10.93
2025-05-11 06:32:31,0.117,46.63,14667776,10.93
2025-05-11 06:32:37,0.117,46.63,14667776,10.93
2025-05-11 06:32:42,0.077,30.64,14667776,10.93
2025-05-11 06:32:47,0.077,30.64,14667776,10.93
2025-05-11 06:32:52,0.077,30.64,14675968,10.93
2025-05-11 06:32:57,0.077,30.64,14675968,10.93
2025-05-11 06:33:03,0.077,30.64,14675968,10.93
2025-05-11 06:33:08,0.077,30.64,14675968,10.93
2025-05-11 06:33:13,0.086,34.52,14675968,10.93
2025-05-11 06:33:18,0.086,34.52,14675968,10.93
2025-05-11 06:33:23,0.086,34.52,14938112,11.13
2025-05-11 06:33:29,0.086,34.52,14938112,11.13
2025-05-11 06:33:34,0.086,34.52,14938112,11.13
2025-05-11 06:33:39,0.086,34.52,14938112,11.13
2025-05-11 06:33:44,0.064,25.40,14938112,11.13
2025-05-11 06:33:50,0.064,25.40,14938112,11.13
2025-05-11 06:33:55,0.064,25.40,14979072,11.16
2025-05-11 06:34:00,0.064,25.40,14979072,11.16
2025-05-11 06:34:05,0.064,25.40,14979072,11.16
2025-05-11 06:34:10,0.074,29.80,14979072,11.16
2025-05-11 06:34:16,0.074,29.80,14979072,11.16
2025-05-11 06:34:21,0.074,29.80,14979072,11.16
2025-05-11 06:34:26,0.074,29.80,14782464,11.01
2025-05-11 06:34:31,0.074,29.80,14782464,11.01
2025-05-11 06:34:37,0.074,29.80,14782464,11.01
2025-05-11 06:34:42,0.035,14.02,14782464,11.01
2025-05-11 06:34:47,0.035,14.02,14782464,11.01
2025-05-11 06:34:52,0.035,14.02,14917632,11.11
2025-05-11 06:34:57,0.035,14.02,14917632,11.11
2025-05-11 06:35:03,0.035,14.02,14917632,11.11
2025-05-11 06:35:08,0.035,14.02,14917632,11.11
2025-05-11 06:35:13,0.082,32.70,14917632,11.11
2025-05-11 06:35:18,0.082,32.70,14917632,11.11
2025-05-11 06:35:24,0.082,32.70,15024128,11.19
2025-05-11 06:35:29,0.082,32.70,15024128,11.19
2025-05-11 06:35:34,0.082,32.70,15024128,11.19
2025-05-11 06:35:39,0.082,32.70,15024128,11.19
2025-05-11 06:35:44,0.091,36.36,15024128,11.19
2025-05-11 06:35:49,0.091,36.36,15024128,11.19
2025-05-11 06:35:55,0.091,36.36,15380480,11.46
2025-05-11 06:36:00,0.091,36.36,15380480,11.46
2025-05-11 06:36:05,0.091,36.36,15380480,11.46
2025-05-11 06:36:10,0.103,41.20,15380480,11.46
2025-05-11 06:36:16,0.103,41.20,15380480,11.46
2025-05-11 06:36:21,0.103,41.20,15380480,11.46
2025-05-11 06:36:26,0.103,41.20,15609856,11.63
2025-05-11 06:36:31,0.103,41.20,15609856,11.63
2025-05-11 06:36:36,0.103,41.20,15609856,11.63
2025-05-11 06:36:41,0.142,56.84,15609856,11.63
2025-05-11 06:36:47,0.142,56.84,15609856,11.63
2025-05-11 06:36:52,0.142,56.84,15863808,11.82
2025-05-11 06:36:57,0.142,56.84,15863808,11.82
2025-05-11 06:37:02,0.142,56.84,15863808,11.82
2025-05-11 06:37:08,0.142,56.84,15863808,11.82
2025-05-11 06:37:13,0.154,61.74,15863808,11.82
2025-05-11 06:37:18,0.154,61.74,15863808,11.82
2025-05-11 06:37:23,0.154,61.74,16166912,12.05
2025-05-11 06:37:28,0.154,61.74,16166912,12.05
2025-05-11 06:37:34,0.154,61.74,16166912,12.05
2025-05-11 06:37:39,0.154,61.74,16166912,12.05
2025-05-11 06:37:44,0.112,44.95,16166912,12.05
2025-05-11 06:37:49,0.112,44.95,16166912,12.05
2025-05-11 06:37:54,0.112,44.95,16248832,12.11
2025-05-11 06:38:00,0.112,44.95,16248832,12.11
2025-05-11 06:38:05,0.112,44.95,16248832,12.11
2025-05-11 06:38:10,0.112,44.95,16248832,12.11
2025-05-11 06:38:15,0.281,112.29,16248832,12.11
2025-05-11 06:38:20,0.281,112.29,16248832,12.11
2025-05-11 06:38:26,0.281,112.29,16510976,12.30
2025-05-11 06:38:31,0.281,112.29,16510976,12.30
2025-05-11 06:38:36,0.281,112.29,16510976,12.30
2025-05-11 06:38:41,0.117,46.64,16510976,12.30
2025-05-11 06:38:46,0.117,46.64,16510976,12.30
2025-05-11 06:38:52,0.117,46.64,16510976,12.30
2025-05-11 06:38:57,0.117,46.64,16818176,12.53
2025-05-11 06:39:02,0.117,46.64,16818176,12.53
2025-05-11 06:39:07,0.117,46.64,16818176,12.53
2025-05-11 06:39:13,0.163,65.34,16818176,12.53
2025-05-11 06:39:18,0.163,65.34,16818176,12.53
2025-05-11 06:39:23,0.163,65.34,16470016,12.27
2025-05-11 06:39:28,0.163,65.34,16470016,12.27
2025-05-11 06:39:33,0.163,65.34,16470016,12.27
2025-05-11 06:39:39,0.163,65.34,16470016,12.27
2025-05-11 06:39:44,0.173,69.18,16470016,12.27
2025-05-11 06:39:49,0.173,69.18,16470016,12.27
2025-05-11 06:39:54,0.173,69.18,16125952,12.01
2025-05-11 06:39:59,0.173,69.18,16125952,12.01
2025-05-11 06:40:05,0.173,69.18,16125952,12.01
2025-05-11 06:40:10,0.173,69.18,16125952,12.01
2025-05-11 06:40:15,0.185,73.93,16125952,12.01
2025-05-11 06:40:20,0.185,73.93,16125952,12.01
2025-05-11 06:40:26,0.185,73.93,16322560,12.16
2025-05-11 06:40:31,0.185,73.93,16322560,12.16
2025-05-11 06:40:36,0.185,73.93,16322560,12.16
2025-05-11 06:40:41,0.132,52.65,16322560,12.16
2025-05-11 06:40:46,0.132,52.65,16322560,12.16
2025-05-11 06:40:52,0.132,52.65,16322560,12.16
2025-05-11 06:40:57,0.132,52.65,16244736,12.10
2025-05-11 06:41:02,0.132,52.65,16244736,12.10
2025-05-11 06:41:07,0.132,52.65,16244736,12.10
2025-05-11 06:41:12,0.107,42.60,16244736,12.10
2025-05-11 06:41:18,0.107,42.60,16244736,12.10
2025-05-11 06:41:23,0.107,42.60,16171008,12.05
2025-05-11 06:41:28,0.107,42.60,16171008,12.05
2025-05-11 06:41:33,0.107,42.60,16171008,12.05
2025-05-11 06:41:38,0.107,42.60,16171008,12.05
2025-05-11 06:41:44,0.098,39.31,16171008,12.05
2025-05-11 06:41:49,0.098,39.31,16171008,12.05
2025-05-11 06:41:54,0.098,39.31,15896576,11.84
2025-05-11 06:41:59,0.098,39.31,15896576,11.84
2025-05-11 06:42:05,0.098,39.31,15896576,11.84
2025-05-11 06:42:10,0.098,39.31,15896576,11.84
2025-05-11 06:42:15,0.066,26.21,15896576,11.84
2025-05-11 06:42:20,0.066,26.21,15896576,11.84
2025-05-11 06:42:25,0.066,26.21,15859712,11.82
2025-05-11 06:42:31,0.066,26.21,15859712,11.82
2025-05-11 06:42:36,0.066,26.21,15859712,11.82
2025-05-11 06:42:41,0.060,23.94,15859712,11.82
2025-05-11 06:42:46,0.060,23.94,15859712,11.82
2025-05-11 06:42:52,0.060,23.94,15859712,11.82
2025-05-11 06:42:57,0.060,23.94,15904768,11.85
2025-05-11 06:43:02,0.060,23.94,15904768,11.85
2025-05-11 06:43:07,0.060,23.94,15904768,11.85
2025-05-11 06:43:13,0.031,12.53,15904768,11.85
2025-05-11 06:43:18,0.031,12.53,15904768,11.85
2025-05-11 06:43:23,0.031,12.53,16130048,12.02
2025-05-11 06:43:28,0.031,12.53,16130048,12.02
2025-05-11 06:43:33,0.031,12.53,16130048,12.02
2025-05-11 06:43:39,0.031,12.53,16130048,12.02
2025-05-11 06:43:44,0.068,27.36,16130048,12.02
2025-05-11 06:43:49,0.068,27.36,16130048,12.02
2025-05-11 06:43:54,0.068,27.36,16150528,12.03
2025-05-11 06:43:59,0.068,27.36,16150528,12.03
2025-05-11 06:44:05,0.068,27.36,16150528,12.03
2025-05-11 06:44:10,0.068,27.36,16150528,12.03
2025-05-11 06:44:15,0.050,20.05,16150528,12.03
2025-05-11 06:44:20,0.050,20.05,16150528,12.03
2025-05-11 06:44:26,0.050,20.05,15904768,11.85
2025-05-11 06:44:31,0.050,20.05,15904768,11.85
2025-05-11 06:44:36,0.050,20.05,15904768,11.85
2025-05-11 06:44:41,0.054,21.59,15904768,11.85
2025-05-11 06:44:46,0.054,21.59,15904768,11.85
2025-05-11 06:44:52,0.054,21.59,15904768,11.85
2025-05-11 06:44:57,0.054,21.59,15884288,11.83
2025-05-11 06:45:02,0.054,21.59,15884288,11.83
2025-05-11 06:45:07,0.054,21.59,15884288,11.83
2025-05-11 06:45:12,0.044,17.41,15884288,11.83
2025-05-11 06:45:18,0.044,17.41,15884288,11.83
2025-05-11 06:45:23,0.044,17.41,16158720,12.04
2025-05-11 06:45:28,0.044,17.41,16158720,12.04
2025-05-11 06:45:33,0.044,17.41,16158720,12.04
2025-05-11 06:45:38,0.044,17.41,16158720,12.04
2025-05-11 06:45:44,0.051,20.41,16158720,12.04
2025-05-11 06:45:49,0.051,20.41,16158720,12.04
2025-05-11 06:45:54,0.051,20.41,15941632,11.88
