timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:34:14,0.018,7.05,11685888,8.71
2025-05-09 01:34:20,0.018,7.05,11685888,8.71
2025-05-09 01:34:25,0.018,7.05,11685888,8.71
2025-05-09 01:34:30,0.018,7.05,11698176,8.72
2025-05-09 01:34:36,0.018,7.05,11698176,8.72
2025-05-09 01:34:41,0.018,7.05,11698176,8.72
2025-05-09 01:34:46,0.034,13.64,11698176,8.72
2025-05-09 01:34:52,0.034,13.64,11698176,8.72
2025-05-09 01:34:58,0.034,13.64,11698176,8.72
2025-05-09 01:35:04,0.034,13.64,12062720,8.99
2025-05-09 01:35:09,0.034,13.64,12062720,8.99
2025-05-09 01:35:15,0.062,24.68,12062720,8.99
2025-05-09 01:35:20,0.062,24.68,12062720,8.99
2025-05-09 01:35:26,0.062,24.68,12062720,8.99
2025-05-09 01:35:31,0.062,24.68,12386304,9.23
2025-05-09 01:35:37,0.062,24.68,12386304,9.23
2025-05-09 01:35:42,0.062,24.68,12386304,9.23
2025-05-09 01:35:48,0.070,27.98,12386304,9.23
2025-05-09 01:35:53,0.070,27.98,12386304,9.23
2025-05-09 01:35:59,0.070,27.98,12386304,9.23
2025-05-09 01:36:04,0.070,27.98,11948032,8.90
2025-05-09 01:36:10,0.070,27.98,11948032,8.90
2025-05-09 01:36:15,0.029,11.54,11948032,8.90
2025-05-09 01:36:21,0.029,11.54,11948032,8.90
2025-05-09 01:36:26,0.029,11.54,11948032,8.90
2025-05-09 01:36:32,0.029,11.54,12046336,8.98
2025-05-09 01:36:38,0.029,11.54,12046336,8.98
2025-05-09 01:36:43,0.056,22.39,12046336,8.98
2025-05-09 01:36:49,0.056,22.39,12046336,8.98
2025-05-09 01:36:54,0.056,22.39,12046336,8.98
2025-05-09 01:37:00,0.056,22.39,12046336,8.98
2025-05-09 01:37:05,0.056,22.39,12267520,9.14
2025-05-09 01:37:11,0.056,22.39,12267520,9.14
2025-05-09 01:37:16,0.055,21.96,12267520,9.14
2025-05-09 01:37:22,0.055,21.96,12267520,9.14
2025-05-09 01:37:27,0.055,21.96,12267520,9.14
