timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:56:13,0.003,1.24,10801152,8.05
2025-05-10 01:56:19,0.003,1.24,10895360,8.12
2025-05-10 01:56:24,0.003,1.24,10895360,8.12
2025-05-10 01:56:29,0.003,1.24,10895360,8.12
2025-05-10 01:56:34,0.003,1.24,10895360,8.12
2025-05-10 01:56:40,0.003,1.24,10895360,8.12
2025-05-10 01:56:45,0.005,2.17,10895360,8.12
2025-05-10 01:56:50,0.005,2.17,10960896,8.17
2025-05-10 01:56:55,0.005,2.17,10960896,8.17
2025-05-10 01:57:01,0.005,2.17,10960896,8.17
2025-05-10 01:57:06,0.005,2.17,10960896,8.17
2025-05-10 01:57:11,0.005,2.17,10960896,8.17
2025-05-10 01:57:16,0.019,7.63,11018240,8.21
2025-05-10 01:57:22,0.019,7.63,11018240,8.21
2025-05-10 01:57:27,0.019,7.63,11018240,8.21
2025-05-10 01:57:32,0.019,7.63,11018240,8.21
2025-05-10 01:57:38,0.019,7.63,11018240,8.21
2025-05-10 01:57:43,0.016,6.45,11018240,8.21
2025-05-10 01:57:48,0.016,6.45,11395072,8.49
2025-05-10 01:57:54,0.016,6.45,11395072,8.49
2025-05-10 01:57:59,0.016,6.45,11395072,8.49
2025-05-10 01:58:05,0.016,6.45,11395072,8.49
2025-05-10 01:58:10,0.016,6.45,11395072,8.49
2025-05-10 01:58:15,0.033,13.15,11395072,8.49
2025-05-10 01:58:21,0.033,13.15,11194368,8.34
2025-05-10 01:58:26,0.033,13.15,11194368,8.34
2025-05-10 01:58:31,0.033,13.15,11194368,8.34
2025-05-10 01:58:36,0.033,13.15,11194368,8.34
2025-05-10 01:58:42,0.033,13.15,11194368,8.34
2025-05-10 01:58:47,0.030,11.87,11694080,8.71
2025-05-10 01:58:52,0.030,11.87,11694080,8.71
2025-05-10 01:58:57,0.030,11.87,11694080,8.71
2025-05-10 01:59:03,0.030,11.87,11694080,8.71
2025-05-10 01:59:08,0.030,11.87,11694080,8.71
2025-05-10 01:59:13,0.079,31.47,11694080,8.71
2025-05-10 01:59:18,0.079,31.47,11464704,8.54
2025-05-10 01:59:24,0.079,31.47,11464704,8.54
2025-05-10 01:59:29,0.079,31.47,11464704,8.54
2025-05-10 01:59:34,0.079,31.47,11464704,8.54
2025-05-10 01:59:39,0.079,31.47,11464704,8.54
2025-05-10 01:59:45,0.031,12.46,11464704,8.54
2025-05-10 01:59:50,0.031,12.46,11931648,8.89
2025-05-10 01:59:55,0.031,12.46,11931648,8.89
2025-05-10 02:00:00,0.031,12.46,11931648,8.89
2025-05-10 02:00:06,0.031,12.46,11931648,8.89
2025-05-10 02:00:11,0.031,12.46,11931648,8.89
2025-05-10 02:00:16,0.074,29.55,11841536,8.82
2025-05-10 02:00:21,0.074,29.55,11841536,8.82
2025-05-10 02:00:27,0.074,29.55,11841536,8.82
2025-05-10 02:00:32,0.074,29.55,11841536,8.82
2025-05-10 02:00:37,0.074,29.55,11841536,8.82
2025-05-10 02:00:42,0.126,50.50,11841536,8.82
2025-05-10 02:00:48,0.126,50.50,11939840,8.90
2025-05-10 02:00:53,0.126,50.50,11939840,8.90
2025-05-10 02:00:58,0.126,50.50,11939840,8.90
2025-05-10 02:01:03,0.126,50.50,11939840,8.90
2025-05-10 02:01:09,0.126,50.50,11939840,8.90
2025-05-10 02:01:14,0.070,28.04,11939840,8.90
2025-05-10 02:01:19,0.070,28.04,12021760,8.96
2025-05-10 02:01:24,0.070,28.04,12021760,8.96
2025-05-10 02:01:30,0.070,28.04,12021760,8.96
2025-05-10 02:01:35,0.070,28.04,12021760,8.96
