timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 07:19:10,0.016,6.33,10981376,8.18
2025-05-11 07:19:16,0.016,6.33,10981376,8.18
2025-05-11 07:19:21,0.016,6.33,10981376,8.18
2025-05-11 07:19:26,0.016,6.33,11067392,8.25
2025-05-11 07:19:31,0.016,6.33,11067392,8.25
2025-05-11 07:19:37,0.016,6.33,11067392,8.25
2025-05-11 07:19:42,0.012,4.71,11067392,8.25
2025-05-11 07:19:47,0.012,4.71,11067392,8.25
2025-05-11 07:19:52,0.012,4.71,11395072,8.49
2025-05-11 07:19:57,0.012,4.71,11395072,8.49
2025-05-11 07:20:03,0.012,4.71,11395072,8.49
2025-05-11 07:20:08,0.012,4.71,11395072,8.49
2025-05-11 07:20:13,0.059,23.50,11395072,8.49
2025-05-11 07:20:18,0.059,23.50,11395072,8.49
2025-05-11 07:20:23,0.059,23.50,11464704,8.54
2025-05-11 07:20:29,0.059,23.50,11464704,8.54
2025-05-11 07:20:34,0.059,23.50,11464704,8.54
2025-05-11 07:20:39,0.059,23.50,11464704,8.54
2025-05-11 07:20:44,0.069,27.60,11464704,8.54
2025-05-11 07:20:49,0.069,27.60,11464704,8.54
2025-05-11 07:20:55,0.069,27.60,11653120,8.68
2025-05-11 07:21:00,0.069,27.60,11653120,8.68
2025-05-11 07:21:05,0.069,27.60,11653120,8.68
2025-05-11 07:21:10,0.091,36.28,11653120,8.68
2025-05-11 07:21:16,0.091,36.28,11653120,8.68
2025-05-11 07:21:21,0.091,36.28,11653120,8.68
2025-05-11 07:21:26,0.091,36.28,11829248,8.81
2025-05-11 07:21:31,0.091,36.28,11829248,8.81
2025-05-11 07:21:36,0.091,36.28,11829248,8.81
2025-05-11 07:21:42,0.067,26.90,11829248,8.81
2025-05-11 07:21:47,0.067,26.90,11829248,8.81
2025-05-11 07:21:52,0.067,26.90,11853824,8.83
2025-05-11 07:21:57,0.067,26.90,11853824,8.83
2025-05-11 07:22:02,0.067,26.90,11853824,8.83
2025-05-11 07:22:08,0.067,26.90,11853824,8.83
2025-05-11 07:22:13,0.076,30.24,11853824,8.83
2025-05-11 07:22:18,0.076,30.24,11853824,8.83
2025-05-11 07:22:23,0.076,30.24,11902976,8.87
2025-05-11 07:22:28,0.076,30.24,11902976,8.87
2025-05-11 07:22:34,0.076,30.24,11902976,8.87
2025-05-11 07:22:39,0.076,30.24,11902976,8.87
2025-05-11 07:22:44,0.053,21.11,11902976,8.87
2025-05-11 07:22:49,0.053,21.11,11902976,8.87
2025-05-11 07:22:54,0.053,21.11,12439552,9.27
2025-05-11 07:23:00,0.053,21.11,12439552,9.27
2025-05-11 07:23:05,0.053,21.11,12439552,9.27
2025-05-11 07:23:10,0.053,21.11,12439552,9.27
2025-05-11 07:23:15,0.074,29.49,12439552,9.27
2025-05-11 07:23:20,0.074,29.49,12439552,9.27
2025-05-11 07:23:26,0.074,29.49,12206080,9.09
2025-05-11 07:23:31,0.074,29.49,12206080,9.09
2025-05-11 07:23:36,0.074,29.49,12206080,9.09
2025-05-11 07:23:41,0.062,24.71,12206080,9.09
2025-05-11 07:23:46,0.062,24.71,12206080,9.09
2025-05-11 07:23:52,0.062,24.71,12206080,9.09
2025-05-11 07:23:57,0.062,24.71,11988992,8.93
2025-05-11 07:24:02,0.062,24.71,11988992,8.93
2025-05-11 07:24:07,0.062,24.71,11988992,8.93
2025-05-11 07:24:12,0.031,12.47,11988992,8.93
2025-05-11 07:24:18,0.031,12.47,11988992,8.93
2025-05-11 07:24:23,0.031,12.47,12337152,9.19
2025-05-11 07:24:28,0.031,12.47,12337152,9.19
2025-05-11 07:24:33,0.031,12.47,12337152,9.19
2025-05-11 07:24:39,0.031,12.47,12337152,9.19
2025-05-11 07:24:44,0.066,26.41,12337152,9.19
2025-05-11 07:24:49,0.066,26.41,12337152,9.19
2025-05-11 07:24:54,0.066,26.41,12091392,9.01
2025-05-11 07:24:59,0.066,26.41,12091392,9.01
2025-05-11 07:25:05,0.066,26.41,12091392,9.01
2025-05-11 07:25:10,0.066,26.41,12091392,9.01
2025-05-11 07:25:15,0.064,25.54,12091392,9.01
2025-05-11 07:25:20,0.064,25.54,12091392,9.01
