timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 04:38:11,0.027,10.69,11108352,8.28
2025-05-11 04:38:17,0.027,10.69,11108352,8.28
2025-05-11 04:38:22,0.027,10.69,11108352,8.28
2025-05-11 04:38:27,0.027,10.69,11288576,8.41
2025-05-11 04:38:32,0.027,10.69,11288576,8.41
2025-05-11 04:38:37,0.027,10.69,11288576,8.41
2025-05-11 04:38:43,0.042,16.77,11288576,8.41
2025-05-11 04:38:48,0.042,16.77,11288576,8.41
2025-05-11 04:38:53,0.042,16.77,11661312,8.69
2025-05-11 04:38:58,0.042,16.77,11661312,8.69
2025-05-11 04:39:03,0.042,16.77,11661312,8.69
2025-05-11 04:39:09,0.042,16.77,11661312,8.69
2025-05-11 04:39:14,0.055,21.82,11661312,8.69
2025-05-11 04:39:19,0.055,21.82,11661312,8.69
2025-05-11 04:39:24,0.055,21.82,11497472,8.57
2025-05-11 04:39:30,0.055,21.82,11497472,8.57
2025-05-11 04:39:35,0.055,21.82,11497472,8.57
2025-05-11 04:39:40,0.055,21.82,11497472,8.57
2025-05-11 04:39:45,0.068,27.29,11497472,8.57
2025-05-11 04:39:50,0.068,27.29,11497472,8.57
2025-05-11 04:39:56,0.068,27.29,11681792,8.70
2025-05-11 04:40:01,0.068,27.29,11681792,8.70
2025-05-11 04:40:06,0.068,27.29,11681792,8.70
2025-05-11 04:40:12,0.042,16.81,11681792,8.70
2025-05-11 04:40:17,0.042,16.81,11681792,8.70
2025-05-11 04:40:22,0.042,16.81,11935744,8.89
2025-05-11 04:40:27,0.042,16.81,11935744,8.89
2025-05-11 04:40:32,0.042,16.81,11935744,8.89
2025-05-11 04:40:38,0.042,16.81,11935744,8.89
2025-05-11 04:40:43,0.110,44.02,11935744,8.89
2025-05-11 04:40:48,0.110,44.02,11935744,8.89
2025-05-11 04:40:53,0.110,44.02,12255232,9.13
2025-05-11 04:40:59,0.110,44.02,12255232,9.13
2025-05-11 04:41:04,0.110,44.02,12255232,9.13
2025-05-11 04:41:09,0.110,44.02,12255232,9.13
2025-05-11 04:41:14,0.104,41.61,12255232,9.13
2025-05-11 04:41:19,0.104,41.61,12255232,9.13
2025-05-11 04:41:25,0.104,41.61,12324864,9.18
2025-05-11 04:41:30,0.104,41.61,12324864,9.18
2025-05-11 04:41:35,0.104,41.61,12324864,9.18
2025-05-11 04:41:40,0.113,45.06,12324864,9.18
2025-05-11 04:41:45,0.113,45.06,12324864,9.18
2025-05-11 04:41:51,0.113,45.06,12324864,9.18
2025-05-11 04:41:56,0.113,45.06,12640256,9.42
2025-05-11 04:42:01,0.113,45.06,12640256,9.42
2025-05-11 04:42:06,0.113,45.06,12640256,9.42
2025-05-11 04:42:11,0.100,40.12,12640256,9.42
2025-05-11 04:42:17,0.100,40.12,12640256,9.42
2025-05-11 04:42:22,0.100,40.12,12677120,9.45
2025-05-11 04:42:27,0.100,40.12,12677120,9.45
2025-05-11 04:42:32,0.100,40.12,12677120,9.45
2025-05-11 04:42:38,0.100,40.12,12677120,9.45
2025-05-11 04:42:43,0.051,20.41,12677120,9.45
2025-05-11 04:42:48,0.051,20.41,12677120,9.45
2025-05-11 04:42:53,0.051,20.41,12472320,9.29
2025-05-11 04:42:58,0.051,20.41,12472320,9.29
2025-05-11 04:43:04,0.051,20.41,12472320,9.29
2025-05-11 04:43:09,0.051,20.41,12472320,9.29
2025-05-11 04:43:14,0.098,39.27,12472320,9.29
2025-05-11 04:43:19,0.098,39.27,12472320,9.29
2025-05-11 04:43:25,0.098,39.27,12521472,9.33
2025-05-11 04:43:30,0.098,39.27,12521472,9.33
2025-05-11 04:43:35,0.098,39.27,12521472,9.33
2025-05-11 04:43:40,0.041,16.34,12521472,9.33
2025-05-11 04:43:45,0.041,16.34,12521472,9.33
2025-05-11 04:43:51,0.041,16.34,12521472,9.33
2025-05-11 04:43:56,0.041,16.34,12509184,9.32
2025-05-11 04:44:01,0.041,16.34,12509184,9.32
2025-05-11 04:44:06,0.041,16.34,12509184,9.32
2025-05-11 04:44:11,0.068,27.13,12509184,9.32
2025-05-11 04:44:17,0.068,27.13,12509184,9.32
2025-05-11 04:44:22,0.068,27.13,12673024,9.44
2025-05-11 04:44:27,0.068,27.13,12673024,9.44
2025-05-11 04:44:32,0.068,27.13,12673024,9.44
2025-05-11 04:44:38,0.068,27.13,12673024,9.44
2025-05-11 04:44:43,0.065,25.87,12673024,9.44
2025-05-11 04:44:48,0.065,25.87,12673024,9.44
2025-05-11 04:44:53,0.065,25.87,12472320,9.29
2025-05-11 04:44:58,0.065,25.87,12472320,9.29
2025-05-11 04:45:04,0.065,25.87,12472320,9.29
2025-05-11 04:45:09,0.065,25.87,12472320,9.29
2025-05-11 04:45:14,0.075,30.06,12472320,9.29
2025-05-11 04:45:19,0.075,30.06,12472320,9.29
2025-05-11 04:45:25,0.075,30.06,12795904,9.53
2025-05-11 04:45:30,0.075,30.06,12795904,9.53
2025-05-11 04:45:35,0.075,30.06,12795904,9.53
2025-05-11 04:45:40,0.055,22.02,12795904,9.53
2025-05-11 04:45:46,0.055,22.02,12795904,9.53
2025-05-11 04:45:51,0.055,22.02,12795904,9.53
2025-05-11 04:45:56,0.055,22.02,12660736,9.43
