timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:19:41,0.013,5.32,11657216,8.69
2025-05-11 01:19:46,0.013,5.32,11657216,8.69
2025-05-11 01:19:51,0.013,5.32,11657216,8.69
2025-05-11 01:19:57,0.013,5.32,11468800,8.54
2025-05-11 01:20:02,0.013,5.32,11468800,8.54
2025-05-11 01:20:07,0.013,5.32,11468800,8.54
2025-05-11 01:20:12,0.017,6.80,11468800,8.54
2025-05-11 01:20:18,0.017,6.80,11468800,8.54
2025-05-11 01:20:23,0.017,6.80,11481088,8.55
2025-05-11 01:20:28,0.017,6.80,11481088,8.55
2025-05-11 01:20:33,0.017,6.80,11481088,8.55
2025-05-11 01:20:39,0.017,6.80,11481088,8.55
2025-05-11 01:20:44,0.023,9.24,11481088,8.55
2025-05-11 01:20:49,0.023,9.24,11481088,8.55
2025-05-11 01:20:54,0.023,9.24,11247616,8.38
2025-05-11 01:20:59,0.023,9.24,11247616,8.38
2025-05-11 01:21:05,0.023,9.24,11247616,8.38
2025-05-11 01:21:10,0.023,9.24,11247616,8.38
2025-05-11 01:21:15,0.018,7.39,11247616,8.38
2025-05-11 01:21:21,0.018,7.39,11247616,8.38
2025-05-11 01:21:26,0.018,7.39,11243520,8.38
2025-05-11 01:21:31,0.018,7.39,11243520,8.38
2025-05-11 01:21:36,0.018,7.39,11243520,8.38
2025-05-11 01:21:42,0.035,14.11,11243520,8.38
2025-05-11 01:21:47,0.035,14.11,11243520,8.38
2025-05-11 01:21:52,0.035,14.11,11341824,8.45
2025-05-11 01:21:57,0.035,14.11,11341824,8.45
2025-05-11 01:22:03,0.035,14.11,11341824,8.45
2025-05-11 01:22:08,0.035,14.11,11341824,8.45
2025-05-11 01:22:13,0.015,6.02,11341824,8.45
2025-05-11 01:22:18,0.015,6.02,11341824,8.45
2025-05-11 01:22:24,0.015,6.02,11509760,8.58
2025-05-11 01:22:29,0.015,6.02,11509760,8.58
2025-05-11 01:22:34,0.015,6.02,11509760,8.58
2025-05-11 01:22:39,0.015,6.02,11509760,8.58
2025-05-11 01:22:45,0.033,13.19,11509760,8.58
2025-05-11 01:22:50,0.033,13.19,11509760,8.58
2025-05-11 01:22:55,0.033,13.19,12308480,9.17
2025-05-11 01:23:00,0.033,13.19,12308480,9.17
2025-05-11 01:23:06,0.033,13.19,12308480,9.17
2025-05-11 01:23:11,0.048,19.34,12308480,9.17
2025-05-11 01:23:16,0.048,19.34,12308480,9.17
2025-05-11 01:23:21,0.048,19.34,12308480,9.17
2025-05-11 01:23:27,0.048,19.34,11583488,8.63
2025-05-11 01:23:32,0.048,19.34,11583488,8.63
2025-05-11 01:23:37,0.048,19.34,11583488,8.63
2025-05-11 01:23:42,0.035,13.83,11583488,8.63
2025-05-11 01:23:48,0.035,13.83,11583488,8.63
2025-05-11 01:23:53,0.035,13.83,12226560,9.11
2025-05-11 01:23:58,0.035,13.83,12226560,9.11
