timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 02:31:41,0.008,3.06,10964992,8.17
2025-05-11 02:31:47,0.008,3.06,10964992,8.17
2025-05-11 02:31:52,0.008,3.06,10964992,8.17
2025-05-11 02:31:57,0.008,3.06,11157504,8.31
2025-05-11 02:32:02,0.008,3.06,11157504,8.31
2025-05-11 02:32:07,0.008,3.06,11157504,8.31
2025-05-11 02:32:13,0.016,6.27,11157504,8.31
2025-05-11 02:32:18,0.016,6.27,11157504,8.31
2025-05-11 02:32:23,0.016,6.27,11177984,8.33
2025-05-11 02:32:28,0.016,6.27,11177984,8.33
2025-05-11 02:32:33,0.016,6.27,11177984,8.33
2025-05-11 02:32:39,0.016,6.27,11177984,8.33
2025-05-11 02:32:44,0.022,8.81,11177984,8.33
2025-05-11 02:32:49,0.022,8.81,11177984,8.33
2025-05-11 02:32:55,0.022,8.81,11202560,8.35
2025-05-11 02:33:00,0.022,8.81,11202560,8.35
2025-05-11 02:33:05,0.022,8.81,11202560,8.35
2025-05-11 02:33:10,0.022,8.81,11202560,8.35
2025-05-11 02:33:15,0.019,7.50,11202560,8.35
2025-05-11 02:33:21,0.019,7.50,11202560,8.35
2025-05-11 02:33:26,0.019,7.50,11223040,8.36
2025-05-11 02:33:31,0.019,7.50,11223040,8.36
2025-05-11 02:33:36,0.019,7.50,11223040,8.36
2025-05-11 02:33:41,0.024,9.72,11223040,8.36
2025-05-11 02:33:47,0.024,9.72,11223040,8.36
2025-05-11 02:33:52,0.024,9.72,11223040,8.36
2025-05-11 02:33:57,0.024,9.72,11235328,8.37
2025-05-11 02:34:02,0.024,9.72,11235328,8.37
2025-05-11 02:34:07,0.024,9.72,11235328,8.37
2025-05-11 02:34:13,0.012,4.80,11235328,8.37
2025-05-11 02:34:18,0.012,4.80,11235328,8.37
2025-05-11 02:34:23,0.012,4.80,11350016,8.46
2025-05-11 02:34:28,0.012,4.80,11350016,8.46
2025-05-11 02:34:33,0.012,4.80,11350016,8.46
2025-05-11 02:34:39,0.012,4.80,11350016,8.46
2025-05-11 02:34:44,0.032,12.94,11350016,8.46
2025-05-11 02:34:49,0.032,12.94,11350016,8.46
2025-05-11 02:34:54,0.032,12.94,11780096,8.78
2025-05-11 02:35:00,0.032,12.94,11780096,8.78
2025-05-11 02:35:05,0.032,12.94,11780096,8.78
2025-05-11 02:35:10,0.032,12.94,11780096,8.78
2025-05-11 02:35:15,0.050,19.92,11780096,8.78
2025-05-11 02:35:21,0.050,19.92,11780096,8.78
2025-05-11 02:35:26,0.050,19.92,11653120,8.68
2025-05-11 02:35:31,0.050,19.92,11653120,8.68
2025-05-11 02:35:36,0.050,19.92,11653120,8.68
2025-05-11 02:35:41,0.050,20.04,11653120,8.68
2025-05-11 02:35:47,0.050,20.04,11653120,8.68
2025-05-11 02:35:52,0.050,20.04,11653120,8.68
2025-05-11 02:35:57,0.050,20.04,11796480,8.79
2025-05-11 02:36:02,0.050,20.04,11796480,8.79
2025-05-11 02:36:07,0.050,20.04,11796480,8.79
2025-05-11 02:36:13,0.065,25.95,11796480,8.79
2025-05-11 02:36:18,0.065,25.95,11796480,8.79
2025-05-11 02:36:23,0.065,25.95,11878400,8.85
2025-05-11 02:36:28,0.065,25.95,11878400,8.85
2025-05-11 02:36:34,0.065,25.95,11878400,8.85
2025-05-11 02:36:39,0.065,25.95,11878400,8.85
2025-05-11 02:36:44,0.059,23.78,11878400,8.85
