timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 07:00:14,0.011,4.31,10969088,8.17
2025-05-11 07:00:19,0.011,4.31,10969088,8.17
2025-05-11 07:00:25,0.011,4.31,11149312,8.31
2025-05-11 07:00:30,0.011,4.31,11149312,8.31
2025-05-11 07:00:35,0.011,4.31,11149312,8.31
2025-05-11 07:00:40,0.023,9.34,11149312,8.31
2025-05-11 07:00:46,0.023,9.34,11149312,8.31
2025-05-11 07:00:51,0.023,9.34,11149312,8.31
2025-05-11 07:00:56,0.023,9.34,11460608,8.54
2025-05-11 07:01:01,0.023,9.34,11460608,8.54
2025-05-11 07:01:06,0.023,9.34,11460608,8.54
2025-05-11 07:01:12,0.059,23.45,11460608,8.54
2025-05-11 07:01:17,0.059,23.45,11460608,8.54
2025-05-11 07:01:22,0.059,23.45,11743232,8.75
2025-05-11 07:01:27,0.059,23.45,11743232,8.75
2025-05-11 07:01:32,0.059,23.45,11743232,8.75
2025-05-11 07:01:38,0.059,23.45,11743232,8.75
2025-05-11 07:01:43,0.063,25.07,11743232,8.75
2025-05-11 07:01:48,0.063,25.07,11743232,8.75
2025-05-11 07:01:53,0.063,25.07,11673600,8.70
2025-05-11 07:01:59,0.063,25.07,11673600,8.70
2025-05-11 07:02:04,0.063,25.07,11673600,8.70
2025-05-11 07:02:09,0.063,25.07,11673600,8.70
2025-05-11 07:02:14,0.069,27.71,11673600,8.70
2025-05-11 07:02:19,0.069,27.71,11673600,8.70
2025-05-11 07:02:25,0.069,27.71,11956224,8.91
2025-05-11 07:02:30,0.069,27.71,11956224,8.91
2025-05-11 07:02:35,0.069,27.71,11956224,8.91
2025-05-11 07:02:40,0.063,25.07,11956224,8.91
2025-05-11 07:02:45,0.063,25.07,11956224,8.91
2025-05-11 07:02:51,0.063,25.07,11956224,8.91
2025-05-11 07:02:56,0.063,25.07,11698176,8.72
2025-05-11 07:03:01,0.063,25.07,11698176,8.72
2025-05-11 07:03:06,0.063,25.07,11698176,8.72
2025-05-11 07:03:12,0.060,24.09,11698176,8.72
2025-05-11 07:03:17,0.060,24.09,11698176,8.72
2025-05-11 07:03:22,0.060,24.09,12034048,8.97
2025-05-11 07:03:27,0.060,24.09,12034048,8.97
2025-05-11 07:03:32,0.060,24.09,12034048,8.97
2025-05-11 07:03:38,0.060,24.09,12034048,8.97
2025-05-11 07:03:43,0.056,22.56,12034048,8.97
2025-05-11 07:03:48,0.056,22.56,12034048,8.97
2025-05-11 07:03:53,0.056,22.56,12046336,8.98
2025-05-11 07:03:59,0.056,22.56,12046336,8.98
2025-05-11 07:04:04,0.056,22.56,12046336,8.98
2025-05-11 07:04:09,0.056,22.56,12046336,8.98
2025-05-11 07:04:14,0.074,29.66,12046336,8.98
2025-05-11 07:04:19,0.074,29.66,12046336,8.98
2025-05-11 07:04:25,0.074,29.66,11878400,8.85
2025-05-11 07:04:30,0.074,29.66,11878400,8.85
2025-05-11 07:04:35,0.074,29.66,11878400,8.85
2025-05-11 07:04:40,0.055,22.12,11878400,8.85
2025-05-11 07:04:45,0.055,22.12,11878400,8.85
2025-05-11 07:04:51,0.055,22.12,11878400,8.85
2025-05-11 07:04:56,0.055,22.12,12152832,9.05
2025-05-11 07:05:01,0.055,22.12,12152832,9.05
2025-05-11 07:05:06,0.055,22.12,12152832,9.05
2025-05-11 07:05:12,0.088,35.36,12152832,9.05
2025-05-11 07:05:17,0.088,35.36,12152832,9.05
2025-05-11 07:05:22,0.088,35.36,12300288,9.16
2025-05-11 07:05:27,0.088,35.36,12300288,9.16
2025-05-11 07:05:32,0.088,35.36,12300288,9.16
2025-05-11 07:05:38,0.088,35.36,12300288,9.16
2025-05-11 07:05:43,0.044,17.74,12300288,9.16
2025-05-11 07:05:48,0.044,17.74,12300288,9.16
2025-05-11 07:05:53,0.044,17.74,12132352,9.04
2025-05-11 07:05:58,0.044,17.74,12132352,9.04
2025-05-11 07:06:04,0.044,17.74,12132352,9.04
2025-05-11 07:06:09,0.044,17.74,12132352,9.04
2025-05-11 07:06:14,0.103,41.27,12132352,9.04
