timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:38:45,0.024,9.51,11747328,8.75
2025-05-11 01:38:50,0.024,9.51,11747328,8.75
2025-05-11 01:38:56,0.024,9.51,11747328,8.75
2025-05-11 01:39:01,0.024,9.51,11747328,8.75
2025-05-11 01:39:06,0.024,9.51,11542528,8.60
2025-05-11 01:39:11,0.039,15.69,11542528,8.60
2025-05-11 01:39:17,0.039,15.69,11542528,8.60
2025-05-11 01:39:22,0.039,15.69,11542528,8.60
2025-05-11 01:39:27,0.039,15.69,11542528,8.60
2025-05-11 01:39:32,0.039,15.69,11743232,8.75
2025-05-11 01:39:37,0.039,15.69,11743232,8.75
2025-05-11 01:39:43,0.090,36.00,11743232,8.75
2025-05-11 01:39:48,0.090,36.00,11743232,8.75
2025-05-11 01:39:53,0.090,36.00,11743232,8.75
2025-05-11 01:39:58,0.090,36.00,11743232,8.75
2025-05-11 01:40:04,0.090,36.00,11845632,8.83
2025-05-11 01:40:09,0.090,36.00,11845632,8.83
2025-05-11 01:40:14,0.076,30.23,11845632,8.83
2025-05-11 01:40:19,0.076,30.23,11845632,8.83
2025-05-11 01:40:25,0.076,30.23,11845632,8.83
2025-05-11 01:40:30,0.076,30.23,11845632,8.83
2025-05-11 01:40:35,0.076,30.23,12193792,9.09
2025-05-11 01:40:40,0.090,36.09,12193792,9.09
2025-05-11 01:40:45,0.090,36.09,12193792,9.09
2025-05-11 01:40:51,0.090,36.09,12193792,9.09
2025-05-11 01:40:56,0.090,36.09,12193792,9.09
2025-05-11 01:41:01,0.090,36.09,12193792,9.09
2025-05-11 01:41:06,0.090,36.09,11993088,8.94
2025-05-11 01:41:11,0.070,27.89,11993088,8.94
2025-05-11 01:41:17,0.070,27.89,11993088,8.94
2025-05-11 01:41:22,0.070,27.89,11993088,8.94
2025-05-11 01:41:27,0.070,27.89,11993088,8.94
2025-05-11 01:41:32,0.070,27.89,12058624,8.98
2025-05-11 01:41:38,0.070,27.89,12058624,8.98
2025-05-11 01:41:43,0.100,40.19,12058624,8.98
2025-05-11 01:41:48,0.100,40.19,12058624,8.98
2025-05-11 01:41:53,0.100,40.19,12058624,8.98
2025-05-11 01:41:58,0.100,40.19,12058624,8.98
2025-05-11 01:42:04,0.100,40.19,12083200,9.00
2025-05-11 01:42:09,0.100,40.19,12083200,9.00
2025-05-11 01:42:14,0.079,31.52,12083200,9.00
2025-05-11 01:42:19,0.079,31.52,12083200,9.00
2025-05-11 01:42:25,0.079,31.52,12083200,9.00
2025-05-11 01:42:30,0.079,31.52,12083200,9.00
