timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 03:49:45,0.023,9.29,11390976,8.49
2025-05-11 03:49:50,0.023,9.29,11390976,8.49
2025-05-11 03:49:55,0.023,9.29,11390976,8.49
2025-05-11 03:50:01,0.023,9.29,11390976,8.49
2025-05-11 03:50:06,0.023,9.29,11395072,8.49
2025-05-11 03:50:11,0.026,10.36,11395072,8.49
2025-05-11 03:50:16,0.026,10.36,11395072,8.49
2025-05-11 03:50:21,0.026,10.36,11395072,8.49
2025-05-11 03:50:27,0.026,10.36,11395072,8.49
2025-05-11 03:50:32,0.026,10.36,11395072,8.49
2025-05-11 03:50:37,0.026,10.36,11640832,8.67
2025-05-11 03:50:42,0.071,28.21,11640832,8.67
2025-05-11 03:50:47,0.071,28.21,11640832,8.67
2025-05-11 03:50:53,0.071,28.21,11640832,8.67
2025-05-11 03:50:58,0.071,28.21,11640832,8.67
2025-05-11 03:51:03,0.071,28.21,11689984,8.71
2025-05-11 03:51:08,0.071,28.21,11689984,8.71
2025-05-11 03:51:14,0.063,25.25,11689984,8.71
2025-05-11 03:51:19,0.063,25.25,11689984,8.71
2025-05-11 03:51:24,0.063,25.25,11689984,8.71
2025-05-11 03:51:29,0.063,25.25,11689984,8.71
2025-05-11 03:51:34,0.063,25.25,11784192,8.78
2025-05-11 03:51:40,0.063,25.25,11784192,8.78
2025-05-11 03:51:45,0.080,32.17,11784192,8.78
2025-05-11 03:51:50,0.080,32.17,11784192,8.78
2025-05-11 03:51:55,0.080,32.17,11784192,8.78
2025-05-11 03:52:00,0.080,32.17,11784192,8.78
2025-05-11 03:52:06,0.080,32.17,12091392,9.01
2025-05-11 03:52:11,0.088,35.10,12091392,9.01
2025-05-11 03:52:16,0.088,35.10,12091392,9.01
2025-05-11 03:52:21,0.088,35.10,12091392,9.01
2025-05-11 03:52:26,0.088,35.10,12091392,9.01
2025-05-11 03:52:32,0.088,35.10,12091392,9.01
2025-05-11 03:52:37,0.088,35.10,11886592,8.86
2025-05-11 03:52:42,0.066,26.60,11886592,8.86
2025-05-11 03:52:47,0.066,26.60,11886592,8.86
2025-05-11 03:52:52,0.066,26.60,11886592,8.86
2025-05-11 03:52:58,0.066,26.60,11886592,8.86
2025-05-11 03:53:03,0.066,26.60,12185600,9.08
2025-05-11 03:53:08,0.066,26.60,12185600,9.08
2025-05-11 03:53:13,0.050,20.05,12185600,9.08
2025-05-11 03:53:18,0.050,20.05,12185600,9.08
2025-05-11 03:53:24,0.050,20.05,12185600,9.08
2025-05-11 03:53:29,0.050,20.05,12185600,9.08
2025-05-11 03:53:34,0.050,20.05,11960320,8.91
2025-05-11 03:53:39,0.050,20.05,11960320,8.91
2025-05-11 03:53:44,0.064,25.58,11960320,8.91
2025-05-11 03:53:50,0.064,25.58,11960320,8.91
2025-05-11 03:53:55,0.064,25.58,11960320,8.91
2025-05-11 03:54:00,0.064,25.58,11960320,8.91
2025-05-11 03:54:05,0.064,25.58,12005376,8.94
2025-05-11 03:54:11,0.054,21.59,12005376,8.94
2025-05-11 03:54:16,0.054,21.59,12005376,8.94
2025-05-11 03:54:21,0.054,21.59,12005376,8.94
2025-05-11 03:54:26,0.054,21.59,12005376,8.94
2025-05-11 03:54:31,0.054,21.59,12005376,8.94
2025-05-11 03:54:37,0.054,21.59,12042240,8.97
2025-05-11 03:54:42,0.031,12.37,12042240,8.97
2025-05-11 03:54:47,0.031,12.37,12042240,8.97
2025-05-11 03:54:52,0.031,12.37,12042240,8.97
2025-05-11 03:54:57,0.031,12.37,12042240,8.97
2025-05-11 03:55:03,0.031,12.37,12189696,9.08
2025-05-11 03:55:08,0.031,12.37,12189696,9.08
2025-05-11 03:55:13,0.068,27.12,12189696,9.08
2025-05-11 03:55:18,0.068,27.12,12189696,9.08
2025-05-11 03:55:24,0.068,27.12,12189696,9.08
2025-05-11 03:55:29,0.068,27.12,12189696,9.08
2025-05-11 03:55:34,0.068,27.12,12353536,9.20
2025-05-11 03:55:39,0.068,27.12,12353536,9.20
