timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:50:12,0.020,8.04,11157504,8.31
2025-05-11 00:50:18,0.020,8.04,11157504,8.31
2025-05-11 00:50:23,0.020,8.04,11603968,8.65
2025-05-11 00:50:28,0.020,8.04,11603968,8.65
2025-05-11 00:50:33,0.020,8.04,11603968,8.65
2025-05-11 00:50:38,0.020,8.04,11603968,8.65
2025-05-11 00:50:44,0.024,9.55,11603968,8.65
2025-05-11 00:50:49,0.024,9.55,11829248,8.81
2025-05-11 00:50:54,0.024,9.55,11829248,8.81
2025-05-11 00:50:59,0.024,9.55,11829248,8.81
2025-05-11 00:51:05,0.024,9.55,11829248,8.81
2025-05-11 00:51:10,0.024,9.55,11829248,8.81
2025-05-11 00:51:15,0.039,15.43,11829248,8.81
2025-05-11 00:51:20,0.039,15.43,12374016,9.22
2025-05-11 00:51:25,0.039,15.43,12374016,9.22
2025-05-11 00:51:31,0.039,15.43,12374016,9.22
2025-05-11 00:51:36,0.039,15.43,12374016,9.22
2025-05-11 00:51:41,0.037,14.80,12374016,9.22
2025-05-11 00:51:46,0.037,14.80,12374016,9.22
2025-05-11 00:51:52,0.037,14.80,11886592,8.86
2025-05-11 00:51:57,0.037,14.80,11886592,8.86
2025-05-11 00:52:02,0.037,14.80,11886592,8.86
2025-05-11 00:52:07,0.037,14.80,11886592,8.86
2025-05-11 00:52:12,0.055,22.01,11886592,8.86
2025-05-11 00:52:18,0.055,22.01,11886592,8.86
2025-05-11 00:52:23,0.055,22.01,11788288,8.78
2025-05-11 00:52:28,0.055,22.01,11788288,8.78
2025-05-11 00:52:33,0.055,22.01,11788288,8.78
2025-05-11 00:52:38,0.055,22.01,11788288,8.78
2025-05-11 00:52:44,0.058,23.39,11788288,8.78
2025-05-11 00:52:49,0.058,23.39,12345344,9.20
2025-05-11 00:52:54,0.058,23.39,12345344,9.20
2025-05-11 00:52:59,0.058,23.39,12345344,9.20
2025-05-11 00:53:05,0.058,23.39,12345344,9.20
2025-05-11 00:53:10,0.058,23.39,12345344,9.20
2025-05-11 00:53:15,0.072,28.83,12345344,9.20
2025-05-11 00:53:20,0.072,28.83,12144640,9.05
2025-05-11 00:53:26,0.072,28.83,12144640,9.05
2025-05-11 00:53:31,0.072,28.83,12144640,9.05
2025-05-11 00:53:36,0.072,28.83,12144640,9.05
