timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:06:13,0.004,1.43,10854400,8.09
2025-05-09 00:06:18,0.004,1.43,10854400,8.09
2025-05-09 00:06:23,0.004,1.43,10854400,8.09
2025-05-09 00:06:29,0.004,1.43,10854400,8.09
2025-05-09 00:06:34,0.004,1.43,10854400,8.09
2025-05-09 00:06:39,0.004,1.43,10981376,8.18
2025-05-09 00:06:44,0.009,3.65,10981376,8.18
2025-05-09 00:06:50,0.009,3.65,10981376,8.18
2025-05-09 00:06:55,0.009,3.65,10981376,8.18
2025-05-09 00:07:00,0.009,3.65,10981376,8.18
2025-05-09 00:07:05,0.009,3.65,10981376,8.18
2025-05-09 00:07:10,0.009,3.65,10952704,8.16
2025-05-09 00:07:16,0.012,4.97,10952704,8.16
2025-05-09 00:07:21,0.012,4.97,10952704,8.16
2025-05-09 00:07:26,0.012,4.97,10952704,8.16
2025-05-09 00:07:31,0.012,4.97,10952704,8.16
2025-05-09 00:07:37,0.012,4.97,10952704,8.16
2025-05-09 00:07:42,0.012,4.97,10952704,8.16
2025-05-09 00:07:47,0.009,3.71,10952704,8.16
2025-05-09 00:07:52,0.009,3.71,10952704,8.16
2025-05-09 00:07:57,0.009,3.71,10952704,8.16
2025-05-09 00:08:03,0.009,3.71,10952704,8.16
2025-05-09 00:08:08,0.009,3.71,10952704,8.16
2025-05-09 00:08:13,0.008,3.01,11771904,8.77
2025-05-09 00:08:18,0.008,3.01,11771904,8.77
2025-05-09 00:08:23,0.008,3.01,11771904,8.77
2025-05-09 00:08:29,0.008,3.01,11771904,8.77
2025-05-09 00:08:34,0.008,3.01,11771904,8.77
2025-05-09 00:08:39,0.008,3.01,11218944,8.36
2025-05-09 00:08:44,0.027,10.84,11218944,8.36
2025-05-09 00:08:49,0.027,10.84,11218944,8.36
2025-05-09 00:08:55,0.027,10.84,11218944,8.36
2025-05-09 00:09:00,0.027,10.84,11218944,8.36
2025-05-09 00:09:05,0.027,10.84,11218944,8.36
2025-05-09 00:09:10,0.027,10.84,11730944,8.74
2025-05-09 00:09:15,0.040,15.82,11730944,8.74
2025-05-09 00:09:21,0.040,15.82,11730944,8.74
2025-05-09 00:09:26,0.040,15.82,11730944,8.74
2025-05-09 00:09:31,0.040,15.82,11730944,8.74
2025-05-09 00:09:36,0.040,15.82,11730944,8.74
2025-05-09 00:09:41,0.040,15.82,12066816,8.99
