timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 06:58:40,0.022,8.79,11161600,8.32
2025-05-11 06:58:45,0.022,8.79,11161600,8.32
2025-05-11 06:58:51,0.022,8.79,11161600,8.32
2025-05-11 06:58:56,0.022,8.79,11190272,8.34
2025-05-11 06:59:01,0.022,8.79,11190272,8.34
2025-05-11 06:59:06,0.022,8.79,11190272,8.34
2025-05-11 06:59:12,0.017,6.86,11190272,8.34
2025-05-11 06:59:17,0.017,6.86,11190272,8.34
2025-05-11 06:59:22,0.017,6.86,11788288,8.78
2025-05-11 06:59:27,0.017,6.86,11788288,8.78
2025-05-11 06:59:33,0.017,6.86,11788288,8.78
2025-05-11 06:59:38,0.017,6.86,11788288,8.78
2025-05-11 06:59:43,0.078,31.13,11788288,8.78
2025-05-11 06:59:48,0.078,31.13,11788288,8.78
2025-05-11 06:59:53,0.078,31.13,11816960,8.80
2025-05-11 06:59:59,0.078,31.13,11816960,8.80
2025-05-11 07:00:04,0.078,31.13,11816960,8.80
2025-05-11 07:00:09,0.078,31.13,11816960,8.80
2025-05-11 07:00:14,0.037,14.81,11816960,8.80
2025-05-11 07:00:19,0.037,14.81,11816960,8.80
2025-05-11 07:00:25,0.037,14.81,11853824,8.83
2025-05-11 07:00:30,0.037,14.81,11853824,8.83
2025-05-11 07:00:35,0.037,14.81,11853824,8.83
2025-05-11 07:00:40,0.094,37.79,11853824,8.83
2025-05-11 07:00:46,0.094,37.79,11853824,8.83
2025-05-11 07:00:51,0.094,37.79,11853824,8.83
2025-05-11 07:00:56,0.094,37.79,12005376,8.94
2025-05-11 07:01:01,0.094,37.79,12005376,8.94
2025-05-11 07:01:06,0.094,37.79,12005376,8.94
2025-05-11 07:01:12,0.095,38.05,12005376,8.94
2025-05-11 07:01:17,0.095,38.05,12005376,8.94
2025-05-11 07:01:22,0.095,38.05,12312576,9.17
2025-05-11 07:01:27,0.095,38.05,12312576,9.17
2025-05-11 07:01:32,0.095,38.05,12312576,9.17
2025-05-11 07:01:38,0.095,38.05,12312576,9.17
2025-05-11 07:01:43,0.049,19.59,12312576,9.17
2025-05-11 07:01:48,0.049,19.59,12312576,9.17
2025-05-11 07:01:53,0.049,19.59,12038144,8.97
2025-05-11 07:01:59,0.049,19.59,12038144,8.97
2025-05-11 07:02:04,0.049,19.59,12038144,8.97
2025-05-11 07:02:09,0.049,19.59,12038144,8.97
2025-05-11 07:02:14,0.064,25.75,12038144,8.97
2025-05-11 07:02:19,0.064,25.75,12038144,8.97
2025-05-11 07:02:25,0.064,25.75,12075008,9.00
2025-05-11 07:02:30,0.064,25.75,12075008,9.00
2025-05-11 07:02:35,0.064,25.75,12075008,9.00
2025-05-11 07:02:40,0.096,38.40,12075008,9.00
2025-05-11 07:02:45,0.096,38.40,12075008,9.00
2025-05-11 07:02:51,0.096,38.40,12075008,9.00
2025-05-11 07:02:56,0.096,38.40,12099584,9.01
2025-05-11 07:03:01,0.096,38.40,12099584,9.01
2025-05-11 07:03:06,0.096,38.40,12099584,9.01
2025-05-11 07:03:12,0.034,13.49,12099584,9.01
2025-05-11 07:03:17,0.034,13.49,12099584,9.01
2025-05-11 07:03:22,0.034,13.49,12070912,8.99
2025-05-11 07:03:27,0.034,13.49,12070912,8.99
2025-05-11 07:03:32,0.034,13.49,12070912,8.99
2025-05-11 07:03:38,0.034,13.49,12070912,8.99
2025-05-11 07:03:43,0.058,23.00,12070912,8.99
2025-05-11 07:03:48,0.058,23.00,12070912,8.99
2025-05-11 07:03:53,0.058,23.00,12091392,9.01
2025-05-11 07:03:59,0.058,23.00,12091392,9.01
2025-05-11 07:04:04,0.058,23.00,12091392,9.01
2025-05-11 07:04:09,0.058,23.00,12091392,9.01
2025-05-11 07:04:14,0.043,17.08,12091392,9.01
2025-05-11 07:04:19,0.043,17.08,12091392,9.01
2025-05-11 07:04:25,0.043,17.08,12144640,9.05
2025-05-11 07:04:30,0.043,17.08,12144640,9.05
2025-05-11 07:04:35,0.043,17.08,12144640,9.05
2025-05-11 07:04:40,0.061,24.27,12144640,9.05
2025-05-11 07:04:45,0.061,24.27,12144640,9.05
2025-05-11 07:04:51,0.061,24.27,12144640,9.05
2025-05-11 07:04:56,0.061,24.27,12468224,9.29
2025-05-11 07:05:01,0.061,24.27,12468224,9.29
2025-05-11 07:05:06,0.061,24.27,12468224,9.29
2025-05-11 07:05:12,0.046,18.36,12468224,9.29
2025-05-11 07:05:17,0.046,18.36,12468224,9.29
2025-05-11 07:05:22,0.046,18.36,12300288,9.16
2025-05-11 07:05:27,0.046,18.36,12300288,9.16
2025-05-11 07:05:32,0.046,18.36,12300288,9.16
2025-05-11 07:05:38,0.046,18.36,12300288,9.16
2025-05-11 07:05:43,0.074,29.47,12300288,9.16
2025-05-11 07:05:48,0.074,29.47,12300288,9.16
2025-05-11 07:05:53,0.074,29.47,12378112,9.22
2025-05-11 07:05:58,0.074,29.47,12378112,9.22
2025-05-11 07:06:04,0.074,29.47,12378112,9.22
2025-05-11 07:06:09,0.074,29.47,12378112,9.22
2025-05-11 07:06:14,0.066,26.48,12378112,9.22
