timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 06:09:41,0.010,3.86,11108352,8.28
2025-05-11 06:09:46,0.010,3.86,11108352,8.28
2025-05-11 06:09:51,0.010,3.86,11108352,8.28
2025-05-11 06:09:57,0.010,3.86,11243520,8.38
2025-05-11 06:10:02,0.010,3.86,11243520,8.38
2025-05-11 06:10:07,0.010,3.86,11243520,8.38
2025-05-11 06:10:12,0.033,13.33,11243520,8.38
2025-05-11 06:10:17,0.033,13.33,11243520,8.38
2025-05-11 06:10:23,0.033,13.33,11309056,8.43
2025-05-11 06:10:28,0.033,13.33,11309056,8.43
2025-05-11 06:10:33,0.033,13.33,11309056,8.43
2025-05-11 06:10:38,0.033,13.33,11309056,8.43
2025-05-11 06:10:44,0.046,18.52,11309056,8.43
2025-05-11 06:10:49,0.046,18.52,11309056,8.43
2025-05-11 06:10:54,0.046,18.52,11423744,8.51
2025-05-11 06:10:59,0.046,18.52,11423744,8.51
2025-05-11 06:11:04,0.046,18.52,11423744,8.51
2025-05-11 06:11:10,0.046,18.52,11423744,8.51
2025-05-11 06:11:15,0.042,16.89,11423744,8.51
2025-05-11 06:11:20,0.042,16.89,11423744,8.51
2025-05-11 06:11:25,0.042,16.89,11476992,8.55
2025-05-11 06:11:30,0.042,16.89,11476992,8.55
2025-05-11 06:11:36,0.042,16.89,11476992,8.55
2025-05-11 06:11:41,0.065,25.94,11476992,8.55
2025-05-11 06:11:46,0.065,25.94,11476992,8.55
2025-05-11 06:11:51,0.065,25.94,11476992,8.55
2025-05-11 06:11:56,0.065,25.94,11554816,8.61
2025-05-11 06:12:02,0.065,25.94,11554816,8.61
2025-05-11 06:12:07,0.065,25.94,11554816,8.61
2025-05-11 06:12:12,0.054,21.65,11554816,8.61
2025-05-11 06:12:17,0.054,21.65,11554816,8.61
2025-05-11 06:12:22,0.054,21.65,11853824,8.83
2025-05-11 06:12:28,0.054,21.65,11853824,8.83
2025-05-11 06:12:33,0.054,21.65,11853824,8.83
2025-05-11 06:12:38,0.054,21.65,11853824,8.83
2025-05-11 06:12:43,0.059,23.46,11853824,8.83
2025-05-11 06:12:49,0.059,23.46,11853824,8.83
2025-05-11 06:12:54,0.059,23.46,11739136,8.75
2025-05-11 06:12:59,0.059,23.46,11739136,8.75
2025-05-11 06:13:04,0.059,23.46,11739136,8.75
2025-05-11 06:13:09,0.059,23.46,11739136,8.75
2025-05-11 06:13:15,0.052,20.65,11739136,8.75
2025-05-11 06:13:20,0.052,20.65,11739136,8.75
2025-05-11 06:13:25,0.052,20.65,11829248,8.81
2025-05-11 06:13:30,0.052,20.65,11829248,8.81
2025-05-11 06:13:35,0.052,20.65,11829248,8.81
2025-05-11 06:13:41,0.040,16.06,11829248,8.81
2025-05-11 06:13:46,0.040,16.06,11829248,8.81
2025-05-11 06:13:51,0.040,16.06,11829248,8.81
2025-05-11 06:13:56,0.040,16.06,12079104,9.00
2025-05-11 06:14:02,0.040,16.06,12079104,9.00
2025-05-11 06:14:07,0.040,16.06,12079104,9.00
2025-05-11 06:14:12,0.060,23.97,12079104,9.00
2025-05-11 06:14:17,0.060,23.97,12079104,9.00
2025-05-11 06:14:22,0.060,23.97,11890688,8.86
2025-05-11 06:14:28,0.060,23.97,11890688,8.86
2025-05-11 06:14:33,0.060,23.97,11890688,8.86
2025-05-11 06:14:38,0.060,23.97,11890688,8.86
2025-05-11 06:14:43,0.047,18.93,11890688,8.86
2025-05-11 06:14:48,0.047,18.93,11890688,8.86
2025-05-11 06:14:54,0.047,18.93,12091392,9.01
2025-05-11 06:14:59,0.047,18.93,12091392,9.01
2025-05-11 06:15:04,0.047,18.93,12091392,9.01
2025-05-11 06:15:09,0.047,18.93,12091392,9.01
2025-05-11 06:15:14,0.097,38.78,12091392,9.01
2025-05-11 06:15:20,0.097,38.78,12091392,9.01
2025-05-11 06:15:25,0.097,38.78,12185600,9.08
2025-05-11 06:15:30,0.097,38.78,12185600,9.08
2025-05-11 06:15:35,0.097,38.78,12185600,9.08
2025-05-11 06:15:41,0.052,20.61,12185600,9.08
2025-05-11 06:15:46,0.052,20.61,12185600,9.08
2025-05-11 06:15:51,0.052,20.61,12185600,9.08
2025-05-11 06:15:56,0.052,20.61,12660736,9.43
