timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 08:59:13,0.022,8.73,10838016,8.07
2025-05-11 08:59:19,0.022,8.73,10838016,8.07
2025-05-11 08:59:24,0.022,8.73,10891264,8.11
2025-05-11 08:59:29,0.022,8.73,10891264,8.11
2025-05-11 08:59:34,0.022,8.73,10891264,8.11
2025-05-11 08:59:39,0.022,8.73,10891264,8.11
2025-05-11 08:59:45,0.027,10.91,10891264,8.11
2025-05-11 08:59:50,0.027,10.91,10891264,8.11
2025-05-11 08:59:55,0.027,10.91,11001856,8.20
2025-05-11 09:00:00,0.027,10.91,11001856,8.20
2025-05-11 09:00:06,0.027,10.91,11001856,8.20
2025-05-11 09:00:11,0.028,11.34,11001856,8.20
2025-05-11 09:00:16,0.028,11.34,11001856,8.20
2025-05-11 09:00:21,0.028,11.34,11001856,8.20
2025-05-11 09:00:26,0.028,11.34,11132928,8.29
2025-05-11 09:00:32,0.028,11.34,11132928,8.29
2025-05-11 09:00:37,0.028,11.34,11132928,8.29
2025-05-11 09:00:42,0.065,26.09,11132928,8.29
2025-05-11 09:00:47,0.065,26.09,11132928,8.29
2025-05-11 09:00:53,0.065,26.09,11198464,8.34
2025-05-11 09:00:58,0.065,26.09,11198464,8.34
2025-05-11 09:01:03,0.065,26.09,11198464,8.34
2025-05-11 09:01:08,0.065,26.09,11198464,8.34
2025-05-11 09:01:14,0.028,11.36,11198464,8.34
2025-05-11 09:01:19,0.028,11.36,11198464,8.34
2025-05-11 09:01:24,0.028,11.36,11264000,8.39
2025-05-11 09:01:29,0.028,11.36,11264000,8.39
2025-05-11 09:01:35,0.028,11.36,11264000,8.39
2025-05-11 09:01:40,0.028,11.36,11264000,8.39
2025-05-11 09:01:45,0.062,24.90,11264000,8.39
2025-05-11 09:01:50,0.062,24.90,11264000,8.39
2025-05-11 09:01:55,0.062,24.90,11358208,8.46
2025-05-11 09:02:01,0.062,24.90,11358208,8.46
2025-05-11 09:02:06,0.062,24.90,11358208,8.46
2025-05-11 09:02:11,0.057,22.92,11358208,8.46
2025-05-11 09:02:16,0.057,22.92,11358208,8.46
2025-05-11 09:02:21,0.057,22.92,11358208,8.46
2025-05-11 09:02:27,0.057,22.92,11309056,8.43
2025-05-11 09:02:32,0.057,22.92,11309056,8.43
2025-05-11 09:02:37,0.057,22.92,11309056,8.43
2025-05-11 09:02:42,0.051,20.33,11309056,8.43
2025-05-11 09:02:48,0.051,20.33,11309056,8.43
2025-05-11 09:02:54,0.051,20.33,11399168,8.49
2025-05-11 09:02:59,0.051,20.33,11399168,8.49
2025-05-11 09:03:04,0.051,20.33,11399168,8.49
2025-05-11 09:03:09,0.051,20.33,11399168,8.49
2025-05-11 09:03:14,0.047,18.81,11399168,8.49
2025-05-11 09:03:22,0.047,18.81,11399168,8.49
2025-05-11 09:03:27,0.047,18.81,11386880,8.48
2025-05-11 09:03:32,0.047,18.81,11386880,8.48
2025-05-11 09:03:38,0.047,18.81,11386880,8.48
2025-05-11 09:03:43,0.054,21.47,11386880,8.48
2025-05-11 09:03:48,0.054,21.47,11386880,8.48
2025-05-11 09:03:53,0.054,21.47,11386880,8.48
2025-05-11 09:03:59,0.054,21.47,11452416,8.53
2025-05-11 09:04:04,0.054,21.47,11452416,8.53
2025-05-11 09:04:09,0.054,21.47,11452416,8.53
2025-05-11 09:04:14,0.039,15.71,11452416,8.53
2025-05-11 09:04:19,0.039,15.71,11452416,8.53
2025-05-11 09:04:25,0.039,15.71,11563008,8.62
2025-05-11 09:04:30,0.039,15.71,11563008,8.62
2025-05-11 09:04:35,0.039,15.71,11563008,8.62
2025-05-11 09:04:40,0.039,15.71,11563008,8.62
2025-05-11 09:04:46,0.054,21.59,11563008,8.62
2025-05-11 09:04:51,0.054,21.59,11563008,8.62
2025-05-11 09:04:56,0.054,21.59,11612160,8.65
2025-05-11 09:05:01,0.054,21.59,11612160,8.65
2025-05-11 09:05:06,0.054,21.59,11612160,8.65
2025-05-11 09:05:12,0.054,21.59,11612160,8.65
2025-05-11 09:05:17,0.061,24.22,11612160,8.65
2025-05-11 09:05:22,0.061,24.22,11612160,8.65
2025-05-11 09:05:27,0.061,24.22,11743232,8.75
2025-05-11 09:05:33,0.061,24.22,11743232,8.75
2025-05-11 09:05:38,0.061,24.22,11743232,8.75
2025-05-11 09:05:43,0.062,24.62,11743232,8.75
2025-05-11 09:05:48,0.062,24.62,11743232,8.75
2025-05-11 09:05:53,0.062,24.62,11743232,8.75
