timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:17:14,0.002,0.77,25706496,19.15
2025-05-10 12:17:19,0.002,0.77,25706496,19.15
2025-05-10 12:17:25,0.002,0.77,25706496,19.15
2025-05-10 12:17:30,0.002,0.77,25706496,19.15
2025-05-10 12:17:35,0.002,0.77,25706496,19.15
2025-05-10 12:17:41,0.000,0.03,25706496,19.15
2025-05-10 12:17:46,0.000,0.03,25706496,19.15
2025-05-10 12:17:51,0.000,0.03,25706496,19.15
2025-05-10 12:17:56,0.000,0.03,25706496,19.15
2025-05-10 12:18:02,0.000,0.03,25706496,19.15
2025-05-10 12:18:07,0.000,0.03,25706496,19.15
2025-05-10 12:18:12,0.000,0.07,25706496,19.15
2025-05-10 12:18:18,0.000,0.07,25706496,19.15
2025-05-10 12:18:23,0.000,0.07,25706496,19.15
2025-05-10 12:18:28,0.000,0.07,25706496,19.15
2025-05-10 12:18:33,0.000,0.07,25706496,19.15
2025-05-10 12:18:38,0.000,0.07,25706496,19.15
2025-05-10 12:18:44,0.000,0.03,25706496,19.15
2025-05-10 12:18:49,0.000,0.03,25706496,19.15
2025-05-10 12:18:54,0.000,0.03,25706496,19.15
2025-05-10 12:18:59,0.000,0.03,25706496,19.15
2025-05-10 12:19:05,0.000,0.03,25706496,19.15
2025-05-10 12:19:10,0.000,0.03,25706496,19.15
2025-05-10 12:19:15,0.000,0.05,25706496,19.15
2025-05-10 12:19:20,0.000,0.05,25706496,19.15
2025-05-10 12:19:25,0.000,0.05,25706496,19.15
2025-05-10 12:19:31,0.000,0.05,25706496,19.15
2025-05-10 12:19:36,0.000,0.05,25706496,19.15
2025-05-10 12:19:42,0.040,16.03,27254784,20.31
2025-05-10 12:19:47,0.040,16.03,27254784,20.31
2025-05-10 12:19:52,0.040,16.03,27254784,20.31
2025-05-10 12:19:57,0.040,16.03,27254784,20.31
2025-05-10 12:20:03,0.040,16.03,27254784,20.31
2025-05-10 12:20:08,0.040,16.03,27254784,20.31
2025-05-10 12:20:13,0.047,18.62,27488256,20.48
2025-05-10 12:20:18,0.047,18.62,27488256,20.48
2025-05-10 12:20:24,0.047,18.62,27488256,20.48
2025-05-10 12:20:29,0.047,18.62,27488256,20.48
2025-05-10 12:20:34,0.047,18.62,27488256,20.48
2025-05-10 12:20:39,0.047,18.62,27475968,20.47
2025-05-10 12:20:45,0.062,24.67,27475968,20.47
2025-05-10 12:20:50,0.062,24.67,27475968,20.47
2025-05-10 12:20:55,0.062,24.67,27475968,20.47
2025-05-10 12:21:00,0.062,24.67,27475968,20.47
2025-05-10 12:21:05,0.062,24.67,27475968,20.47
2025-05-10 12:21:11,0.060,23.97,27897856,20.79
2025-05-10 12:21:16,0.060,23.97,27897856,20.79
2025-05-10 12:21:21,0.060,23.97,27897856,20.79
2025-05-10 12:21:26,0.060,23.97,27897856,20.79
2025-05-10 12:21:32,0.060,23.97,27897856,20.79
2025-05-10 12:21:37,0.060,23.97,27897856,20.79
2025-05-10 12:21:42,0.104,41.46,27516928,20.50
2025-05-10 12:21:48,0.104,41.46,27516928,20.50
2025-05-10 12:21:53,0.104,41.46,27516928,20.50
2025-05-10 12:21:58,0.104,41.46,27516928,20.50
2025-05-10 12:22:04,0.104,41.46,27516928,20.50
2025-05-10 12:22:09,0.104,41.46,27910144,20.79
2025-05-10 12:22:14,0.087,34.88,27910144,20.79
2025-05-10 12:22:19,0.087,34.88,27910144,20.79
2025-05-10 12:22:24,0.087,34.88,27910144,20.79
2025-05-10 12:22:30,0.087,34.88,27910144,20.79
2025-05-10 12:22:35,0.087,34.88,27910144,20.79
2025-05-10 12:22:40,0.087,34.88,29061120,21.65
2025-05-10 12:22:45,0.167,66.62,29061120,21.65
2025-05-10 12:22:51,0.167,66.62,29061120,21.65
2025-05-10 12:22:56,0.167,66.62,29061120,21.65
2025-05-10 12:23:01,0.167,66.62,29061120,21.65
2025-05-10 12:23:06,0.167,66.62,29061120,21.65
2025-05-10 12:23:12,0.079,31.65,28901376,21.53
2025-05-10 12:23:17,0.079,31.65,28901376,21.53
2025-05-10 12:23:22,0.079,31.65,28901376,21.53
2025-05-10 12:23:27,0.079,31.65,28901376,21.53
2025-05-10 12:23:32,0.079,31.65,28901376,21.53
2025-05-10 12:23:38,0.079,31.65,28901376,21.53
2025-05-10 12:23:43,0.164,65.63,29171712,21.73
2025-05-10 12:23:48,0.164,65.63,29171712,21.73
2025-05-10 12:23:54,0.164,65.63,29171712,21.73
2025-05-10 12:23:59,0.164,65.63,29171712,21.73
2025-05-10 12:24:04,0.164,65.63,29171712,21.73
2025-05-10 12:24:10,0.164,65.63,29286400,21.82
2025-05-10 12:24:15,0.154,61.72,29286400,21.82
2025-05-10 12:24:20,0.154,61.72,29286400,21.82
2025-05-10 12:24:25,0.154,61.72,29286400,21.82
2025-05-10 12:24:31,0.154,61.72,29286400,21.82
2025-05-10 12:24:36,0.154,61.72,29286400,21.82
2025-05-10 12:24:41,0.087,34.94,29712384,22.14
2025-05-10 12:24:46,0.087,34.94,29712384,22.14
2025-05-10 12:24:52,0.087,34.94,29712384,22.14
2025-05-10 12:24:57,0.087,34.94,29712384,22.14
2025-05-10 12:25:02,0.087,34.94,29712384,22.14
2025-05-10 12:25:07,0.087,34.94,29712384,22.14
2025-05-10 12:25:13,0.146,58.54,29765632,22.18
2025-05-10 12:25:18,0.146,58.54,29765632,22.18
2025-05-10 12:25:23,0.146,58.54,29765632,22.18
2025-05-10 12:25:28,0.146,58.54,29765632,22.18
2025-05-10 12:25:34,0.146,58.54,29765632,22.18
2025-05-10 12:25:39,0.146,58.54,29876224,22.26
2025-05-10 12:25:44,0.159,63.61,29876224,22.26
2025-05-10 12:25:49,0.159,63.61,29876224,22.26
2025-05-10 12:25:55,0.159,63.61,29876224,22.26
2025-05-10 12:26:00,0.159,63.61,29876224,22.26
2025-05-10 12:26:05,0.159,63.61,29876224,22.26
2025-05-10 12:26:10,0.113,45.19,29835264,22.23
2025-05-10 12:26:16,0.113,45.19,29835264,22.23
2025-05-10 12:26:21,0.113,45.19,29835264,22.23
2025-05-10 12:26:26,0.113,45.19,29835264,22.23
2025-05-10 12:26:31,0.113,45.19,29835264,22.23
2025-05-10 12:26:37,0.113,45.19,29835264,22.23
2025-05-10 12:26:42,0.056,22.57,29814784,22.21
