timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 02:18:12,0.003,1.09,10747904,8.01
2025-05-11 02:18:17,0.003,1.09,10747904,8.01
2025-05-11 02:18:22,0.003,1.09,10747904,8.01
2025-05-11 02:18:27,0.003,1.09,10747904,8.01
2025-05-11 02:18:33,0.003,1.09,10952704,8.16
2025-05-11 02:18:38,0.003,1.09,10952704,8.16
2025-05-11 02:18:43,0.013,5.09,10952704,8.16
2025-05-11 02:18:48,0.013,5.09,10952704,8.16
2025-05-11 02:18:54,0.013,5.09,10952704,8.16
2025-05-11 02:18:59,0.013,5.09,10952704,8.16
2025-05-11 02:19:04,0.013,5.09,11202560,8.35
2025-05-11 02:19:09,0.013,5.09,11202560,8.35
2025-05-11 02:19:15,0.040,16.06,11202560,8.35
2025-05-11 02:19:20,0.040,16.06,11202560,8.35
2025-05-11 02:19:25,0.040,16.06,11202560,8.35
2025-05-11 02:19:30,0.040,16.06,11202560,8.35
2025-05-11 02:19:35,0.040,16.06,11755520,8.76
2025-05-11 02:19:41,0.046,18.39,11755520,8.76
2025-05-11 02:19:46,0.046,18.39,11755520,8.76
2025-05-11 02:19:51,0.046,18.39,11755520,8.76
2025-05-11 02:19:56,0.046,18.39,11755520,8.76
2025-05-11 02:20:02,0.046,18.39,11755520,8.76
2025-05-11 02:20:07,0.046,18.39,11722752,8.73
2025-05-11 02:20:12,0.068,27.04,11722752,8.73
2025-05-11 02:20:17,0.068,27.04,11722752,8.73
2025-05-11 02:20:22,0.068,27.04,11722752,8.73
2025-05-11 02:20:28,0.068,27.04,11722752,8.73
2025-05-11 02:20:33,0.068,27.04,11902976,8.87
2025-05-11 02:20:38,0.068,27.04,11902976,8.87
2025-05-11 02:20:43,0.071,28.39,11902976,8.87
2025-05-11 02:20:49,0.071,28.39,11902976,8.87
2025-05-11 02:20:54,0.071,28.39,11902976,8.87
2025-05-11 02:20:59,0.071,28.39,11902976,8.87
2025-05-11 02:21:04,0.071,28.39,11837440,8.82
2025-05-11 02:21:10,0.071,28.39,11837440,8.82
2025-05-11 02:21:15,0.052,20.83,11837440,8.82
2025-05-11 02:21:20,0.052,20.83,11837440,8.82
2025-05-11 02:21:25,0.052,20.83,11837440,8.82
2025-05-11 02:21:30,0.052,20.83,11837440,8.82
2025-05-11 02:21:36,0.052,20.83,11907072,8.87
2025-05-11 02:21:41,0.091,36.20,11907072,8.87
2025-05-11 02:21:46,0.091,36.20,11907072,8.87
2025-05-11 02:21:51,0.091,36.20,11907072,8.87
2025-05-11 02:21:57,0.091,36.20,11907072,8.87
2025-05-11 02:22:02,0.091,36.20,11907072,8.87
2025-05-11 02:22:07,0.091,36.20,11960320,8.91
2025-05-11 02:22:12,0.067,26.71,11960320,8.91
2025-05-11 02:22:17,0.067,26.71,11960320,8.91
2025-05-11 02:22:23,0.067,26.71,11960320,8.91
2025-05-11 02:22:28,0.067,26.71,11960320,8.91
2025-05-11 02:22:33,0.067,26.71,12001280,8.94
2025-05-11 02:22:38,0.067,26.71,12001280,8.94
2025-05-11 02:22:44,0.076,30.37,12001280,8.94
2025-05-11 02:22:49,0.076,30.37,12001280,8.94
2025-05-11 02:22:54,0.076,30.37,12001280,8.94
2025-05-11 02:22:59,0.076,30.37,12001280,8.94
2025-05-11 02:23:04,0.076,30.37,12013568,8.95
2025-05-11 02:23:10,0.076,30.37,12013568,8.95
2025-05-11 02:23:15,0.058,23.17,12013568,8.95
2025-05-11 02:23:20,0.058,23.17,12013568,8.95
2025-05-11 02:23:25,0.058,23.17,12013568,8.95
2025-05-11 02:23:31,0.058,23.17,12013568,8.95
2025-05-11 02:23:36,0.058,23.17,12017664,8.95
2025-05-11 02:23:41,0.057,22.71,12017664,8.95
2025-05-11 02:23:46,0.057,22.71,12017664,8.95
2025-05-11 02:23:52,0.057,22.71,12017664,8.95
2025-05-11 02:23:57,0.057,22.71,12017664,8.95
2025-05-11 02:24:02,0.057,22.71,12070912,8.99
2025-05-11 02:24:07,0.057,22.71,12070912,8.99
2025-05-11 02:24:13,0.053,21.39,12070912,8.99
2025-05-11 02:24:18,0.053,21.39,12070912,8.99
2025-05-11 02:24:23,0.053,21.39,12070912,8.99
2025-05-11 02:24:28,0.053,21.39,12070912,8.99
2025-05-11 02:24:33,0.053,21.39,12365824,9.21
2025-05-11 02:24:39,0.053,21.39,12365824,9.21
2025-05-11 02:24:44,0.064,25.73,12365824,9.21
2025-05-11 02:24:49,0.064,25.73,12365824,9.21
2025-05-11 02:24:54,0.064,25.73,12365824,9.21
2025-05-11 02:25:00,0.064,25.73,12365824,9.21
2025-05-11 02:25:05,0.064,25.73,12251136,9.13
2025-05-11 02:25:10,0.064,25.73,12251136,9.13
2025-05-11 02:25:15,0.066,26.38,12251136,9.13
2025-05-11 02:25:21,0.066,26.38,12251136,9.13
2025-05-11 02:25:26,0.066,26.38,12251136,9.13
2025-05-11 02:25:31,0.066,26.38,12251136,9.13
2025-05-11 02:25:36,0.066,26.38,12304384,9.17
2025-05-11 02:25:41,0.051,20.52,12304384,9.17
2025-05-11 02:25:47,0.051,20.52,12304384,9.17
2025-05-11 02:25:52,0.051,20.52,12304384,9.17
2025-05-11 02:25:57,0.051,20.52,12304384,9.17
2025-05-11 02:26:02,0.051,20.52,12619776,9.40
2025-05-11 02:26:08,0.051,20.52,12619776,9.40
2025-05-11 02:26:13,0.071,28.43,12619776,9.40
2025-05-11 02:26:18,0.071,28.43,12619776,9.40
2025-05-11 02:26:23,0.071,28.43,12619776,9.40
2025-05-11 02:26:28,0.071,28.43,12619776,9.40
2025-05-11 02:26:34,0.071,28.43,12791808,9.53
2025-05-11 02:26:39,0.071,28.43,12791808,9.53
2025-05-11 02:26:44,0.105,41.99,12791808,9.53
2025-05-11 02:26:49,0.105,41.99,12791808,9.53
2025-05-11 02:26:55,0.105,41.99,12791808,9.53
2025-05-11 02:27:00,0.105,41.99,12791808,9.53
2025-05-11 02:27:05,0.105,41.99,12881920,9.60
2025-05-11 02:27:10,0.107,42.87,12881920,9.60
2025-05-11 02:27:15,0.107,42.87,12881920,9.60
2025-05-11 02:27:21,0.107,42.87,12881920,9.60
2025-05-11 02:27:26,0.107,42.87,12881920,9.60
2025-05-11 02:27:31,0.107,42.87,12881920,9.60
2025-05-11 02:27:36,0.107,42.87,13250560,9.87
2025-05-11 02:27:42,0.145,58.03,13250560,9.87
2025-05-11 02:27:47,0.145,58.03,13250560,9.87
2025-05-11 02:27:52,0.145,58.03,13250560,9.87
2025-05-11 02:27:57,0.145,58.03,13250560,9.87
2025-05-11 02:28:02,0.145,58.03,13082624,9.75
2025-05-11 02:28:08,0.145,58.03,13082624,9.75
2025-05-11 02:28:13,0.094,37.78,13082624,9.75
2025-05-11 02:28:18,0.094,37.78,13082624,9.75
2025-05-11 02:28:23,0.094,37.78,13082624,9.75
2025-05-11 02:28:28,0.094,37.78,13082624,9.75
2025-05-11 02:28:34,0.094,37.78,13455360,10.03
2025-05-11 02:28:39,0.094,37.78,13455360,10.03
2025-05-11 02:28:44,0.118,47.06,13455360,10.03
2025-05-11 02:28:49,0.118,47.06,13455360,10.03
2025-05-11 02:28:55,0.118,47.06,13455360,10.03
2025-05-11 02:29:00,0.118,47.06,13455360,10.03
2025-05-11 02:29:05,0.118,47.06,13254656,9.88
2025-05-11 02:29:10,0.096,38.24,13254656,9.88
2025-05-11 02:29:15,0.096,38.24,13254656,9.88
2025-05-11 02:29:21,0.096,38.24,13254656,9.88
2025-05-11 02:29:26,0.096,38.24,13254656,9.88
2025-05-11 02:29:31,0.096,38.24,13254656,9.88
2025-05-11 02:29:36,0.096,38.24,13299712,9.91
2025-05-11 02:29:42,0.065,26.16,13299712,9.91
2025-05-11 02:29:47,0.065,26.16,13299712,9.91
2025-05-11 02:29:52,0.065,26.16,13299712,9.91
2025-05-11 02:29:57,0.065,26.16,13299712,9.91
2025-05-11 02:30:02,0.065,26.16,13656064,10.17
2025-05-11 02:30:08,0.065,26.16,13656064,10.17
2025-05-11 02:30:13,0.124,49.78,13656064,10.17
2025-05-11 02:30:18,0.124,49.78,13656064,10.17
2025-05-11 02:30:23,0.124,49.78,13656064,10.17
2025-05-11 02:30:28,0.124,49.78,13656064,10.17
2025-05-11 02:30:34,0.124,49.78,13443072,10.02
2025-05-11 02:30:39,0.124,49.78,13443072,10.02
2025-05-11 02:30:44,0.112,44.85,13443072,10.02
2025-05-11 02:30:49,0.112,44.85,13443072,10.02
2025-05-11 02:30:55,0.112,44.85,13443072,10.02
2025-05-11 02:31:00,0.112,44.85,13443072,10.02
2025-05-11 02:31:05,0.112,44.85,13529088,10.08
2025-05-11 02:31:10,0.080,31.96,13529088,10.08
2025-05-11 02:31:15,0.080,31.96,13529088,10.08
2025-05-11 02:31:21,0.080,31.96,13529088,10.08
2025-05-11 02:31:26,0.080,31.96,13529088,10.08
2025-05-11 02:31:31,0.080,31.96,13529088,10.08
2025-05-11 02:31:36,0.080,31.96,13537280,10.09
2025-05-11 02:31:41,0.087,34.94,13537280,10.09
2025-05-11 02:31:47,0.087,34.94,13537280,10.09
2025-05-11 02:31:52,0.087,34.94,13537280,10.09
2025-05-11 02:31:57,0.087,34.94,13537280,10.09
2025-05-11 02:32:02,0.087,34.94,13602816,10.13
2025-05-11 02:32:07,0.087,34.94,13602816,10.13
2025-05-11 02:32:13,0.081,32.25,13602816,10.13
2025-05-11 02:32:18,0.081,32.25,13602816,10.13
2025-05-11 02:32:23,0.081,32.25,13602816,10.13
2025-05-11 02:32:28,0.081,32.25,13602816,10.13
2025-05-11 02:32:33,0.081,32.25,13590528,10.13
2025-05-11 02:32:39,0.081,32.25,13590528,10.13
2025-05-11 02:32:44,0.033,13.08,13590528,10.13
2025-05-11 02:32:49,0.033,13.08,13590528,10.13
2025-05-11 02:32:55,0.033,13.08,13590528,10.13
2025-05-11 02:33:00,0.033,13.08,13590528,10.13
2025-05-11 02:33:05,0.033,13.08,13602816,10.13
2025-05-11 02:33:10,0.033,13.08,13602816,10.13
2025-05-11 02:33:15,0.081,32.23,13602816,10.13
2025-05-11 02:33:21,0.081,32.23,13602816,10.13
2025-05-11 02:33:26,0.081,32.23,13602816,10.13
2025-05-11 02:33:31,0.081,32.23,13602816,10.13
2025-05-11 02:33:36,0.081,32.23,13615104,10.14
2025-05-11 02:33:41,0.035,13.85,13615104,10.14
2025-05-11 02:33:47,0.035,13.85,13615104,10.14
2025-05-11 02:33:52,0.035,13.85,13615104,10.14
2025-05-11 02:33:57,0.035,13.85,13615104,10.14
2025-05-11 02:34:02,0.035,13.85,13639680,10.16
2025-05-11 02:34:07,0.035,13.85,13639680,10.16
2025-05-11 02:34:13,0.054,21.67,13639680,10.16
2025-05-11 02:34:18,0.054,21.67,13639680,10.16
2025-05-11 02:34:23,0.054,21.67,13639680,10.16
2025-05-11 02:34:28,0.054,21.67,13639680,10.16
2025-05-11 02:34:33,0.054,21.67,13950976,10.39
2025-05-11 02:34:39,0.054,21.67,13950976,10.39
2025-05-11 02:34:44,0.058,23.38,13950976,10.39
2025-05-11 02:34:49,0.058,23.38,13950976,10.39
2025-05-11 02:34:54,0.058,23.38,13950976,10.39
2025-05-11 02:35:00,0.058,23.38,13950976,10.39
2025-05-11 02:35:05,0.058,23.38,13762560,10.25
2025-05-11 02:35:10,0.058,23.38,13762560,10.25
2025-05-11 02:35:15,0.065,25.86,13762560,10.25
2025-05-11 02:35:21,0.065,25.86,13762560,10.25
2025-05-11 02:35:26,0.065,25.86,13762560,10.25
2025-05-11 02:35:31,0.065,25.86,13762560,10.25
2025-05-11 02:35:36,0.065,25.86,13852672,10.32
2025-05-11 02:35:41,0.053,21.03,13852672,10.32
2025-05-11 02:35:47,0.053,21.03,13852672,10.32
2025-05-11 02:35:52,0.053,21.03,13852672,10.32
2025-05-11 02:35:57,0.053,21.03,13852672,10.32
2025-05-11 02:36:02,0.053,21.03,13893632,10.35
2025-05-11 02:36:07,0.053,21.03,13893632,10.35
2025-05-11 02:36:13,0.049,19.74,13893632,10.35
2025-05-11 02:36:18,0.049,19.74,13893632,10.35
2025-05-11 02:36:23,0.049,19.74,13893632,10.35
2025-05-11 02:36:28,0.049,19.74,13893632,10.35
2025-05-11 02:36:34,0.049,19.74,13991936,10.42
2025-05-11 02:36:39,0.049,19.74,13991936,10.42
2025-05-11 02:36:44,0.075,29.93,13991936,10.42
2025-05-11 02:36:49,0.075,29.93,13991936,10.42
2025-05-11 02:36:54,0.075,29.93,13991936,10.42
2025-05-11 02:37:00,0.075,29.93,13991936,10.42
2025-05-11 02:37:05,0.075,29.93,14352384,10.69
2025-05-11 02:37:10,0.075,29.93,14352384,10.69
2025-05-11 02:37:15,0.110,43.99,14352384,10.69
2025-05-11 02:37:20,0.110,43.99,14352384,10.69
2025-05-11 02:37:26,0.110,43.99,14352384,10.69
2025-05-11 02:37:31,0.110,43.99,14352384,10.69
2025-05-11 02:37:36,0.110,43.99,14749696,10.99
2025-05-11 02:37:41,0.118,47.19,14749696,10.99
2025-05-11 02:37:46,0.118,47.19,14749696,10.99
2025-05-11 02:37:52,0.118,47.19,14749696,10.99
2025-05-11 02:37:57,0.118,47.19,14749696,10.99
2025-05-11 02:38:02,0.118,47.19,14749696,10.99
2025-05-11 02:38:07,0.118,47.19,14692352,10.95
2025-05-11 02:38:12,0.135,54.03,14692352,10.95
2025-05-11 02:38:18,0.135,54.03,14692352,10.95
2025-05-11 02:38:23,0.135,54.03,14692352,10.95
2025-05-11 02:38:28,0.135,54.03,14692352,10.95
2025-05-11 02:38:33,0.135,54.03,14794752,11.02
2025-05-11 02:38:38,0.135,54.03,14794752,11.02
2025-05-11 02:38:44,0.143,57.38,14794752,11.02
2025-05-11 02:38:49,0.143,57.38,14794752,11.02
2025-05-11 02:38:54,0.143,57.38,14794752,11.02
2025-05-11 02:38:59,0.143,57.38,14794752,11.02
2025-05-11 02:39:04,0.143,57.38,14860288,11.07
2025-05-11 02:39:10,0.143,57.38,14860288,11.07
2025-05-11 02:39:15,0.142,56.94,14860288,11.07
2025-05-11 02:39:20,0.142,56.94,14860288,11.07
2025-05-11 02:39:25,0.142,56.94,14860288,11.07
2025-05-11 02:39:30,0.142,56.94,14860288,11.07
2025-05-11 02:39:36,0.142,56.94,15007744,11.18
2025-05-11 02:39:41,0.054,21.49,15007744,11.18
2025-05-11 02:39:46,0.054,21.49,15007744,11.18
2025-05-11 02:39:51,0.054,21.49,15007744,11.18
2025-05-11 02:39:56,0.054,21.49,15007744,11.18
2025-05-11 02:40:02,0.054,21.49,15007744,11.18
2025-05-11 02:40:07,0.054,21.49,15024128,11.19
2025-05-11 02:40:12,0.138,55.14,15024128,11.19
