timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:41:43,0.000,0.04,10936320,8.15
2025-05-11 00:41:48,0.000,0.04,10936320,8.15
2025-05-11 00:41:53,0.000,0.04,10936320,8.15
2025-05-11 00:41:59,0.000,0.04,11689984,8.71
2025-05-11 00:42:04,0.000,0.04,11689984,8.71
2025-05-11 00:42:09,0.000,0.04,11689984,8.71
2025-05-11 00:42:14,0.014,5.75,11689984,8.71
2025-05-11 00:42:19,0.014,5.75,11689984,8.71
2025-05-11 00:42:25,0.014,5.75,11689984,8.71
2025-05-11 00:42:30,0.014,5.75,11505664,8.57
2025-05-11 00:42:35,0.014,5.75,11505664,8.57
2025-05-11 00:42:40,0.014,5.75,11505664,8.57
2025-05-11 00:42:45,0.018,7.25,11505664,8.57
2025-05-11 00:42:51,0.018,7.25,11505664,8.57
2025-05-11 00:42:56,0.018,7.25,11505664,8.57
2025-05-11 00:43:01,0.018,7.25,11579392,8.63
2025-05-11 00:43:06,0.018,7.25,11579392,8.63
2025-05-11 00:43:11,0.020,8.16,11579392,8.63
2025-05-11 00:43:16,0.020,8.16,11579392,8.63
2025-05-11 00:43:22,0.020,8.16,11579392,8.63
2025-05-11 00:43:27,0.020,8.16,11579392,8.63
2025-05-11 00:43:32,0.020,8.16,12169216,9.07
2025-05-11 00:43:37,0.020,8.16,12169216,9.07
2025-05-11 00:43:42,0.024,9.59,12169216,9.07
2025-05-11 00:43:47,0.024,9.59,12169216,9.07
2025-05-11 00:43:53,0.024,9.59,12169216,9.07
2025-05-11 00:43:58,0.024,9.59,12169216,9.07
2025-05-11 00:44:03,0.024,9.59,12328960,9.19
2025-05-11 00:44:08,0.024,9.59,12328960,9.19
2025-05-11 00:44:13,0.091,36.28,12328960,9.19
2025-05-11 00:44:19,0.091,36.28,12328960,9.19
2025-05-11 00:44:24,0.091,36.28,12328960,9.19
2025-05-11 00:44:29,0.091,36.28,12345344,9.20
2025-05-11 00:44:34,0.091,36.28,12345344,9.20
2025-05-11 00:44:40,0.091,36.28,12345344,9.20
2025-05-11 00:44:45,0.071,28.48,12345344,9.20
2025-05-11 00:44:50,0.071,28.48,12345344,9.20
2025-05-11 00:44:55,0.071,28.48,12345344,9.20
2025-05-11 00:45:00,0.071,28.48,12431360,9.26
2025-05-11 00:45:05,0.071,28.48,12431360,9.26
2025-05-11 00:45:11,0.060,24.18,12431360,9.26
2025-05-11 00:45:16,0.060,24.18,12431360,9.26
