timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:51:14,0.044,17.61,11644928,8.68
2025-05-10 00:51:19,0.044,17.61,11644928,8.68
2025-05-10 00:51:24,0.044,17.61,11644928,8.68
2025-05-10 00:51:30,0.044,17.61,11644928,8.68
2025-05-10 00:51:35,0.044,17.61,11644928,8.68
2025-05-10 00:51:40,0.044,17.61,11644928,8.68
2025-05-10 00:51:46,0.057,22.96,11706368,8.72
2025-05-10 00:51:51,0.057,22.96,11706368,8.72
2025-05-10 00:51:56,0.057,22.96,11706368,8.72
2025-05-10 00:52:01,0.057,22.96,11706368,8.72
2025-05-10 00:52:07,0.057,22.96,11706368,8.72
2025-05-10 00:52:12,0.029,11.76,11706368,8.72
2025-05-10 00:52:17,0.029,11.76,11915264,8.88
2025-05-10 00:52:23,0.029,11.76,11915264,8.88
2025-05-10 00:52:28,0.029,11.76,11915264,8.88
2025-05-10 00:52:33,0.029,11.76,11915264,8.88
2025-05-10 00:52:38,0.029,11.76,11915264,8.88
2025-05-10 00:52:44,0.109,43.74,12050432,8.98
2025-05-10 00:52:49,0.109,43.74,12050432,8.98
2025-05-10 00:52:54,0.109,43.74,12050432,8.98
2025-05-10 00:53:00,0.109,43.74,12050432,8.98
2025-05-10 00:53:05,0.109,43.74,12050432,8.98
2025-05-10 00:53:10,0.109,43.74,12050432,8.98
2025-05-10 00:53:16,0.055,21.90,13131776,9.78
2025-05-10 00:53:21,0.055,21.90,13131776,9.78
2025-05-10 00:53:26,0.055,21.90,13131776,9.78
2025-05-10 00:53:31,0.055,21.90,13131776,9.78
2025-05-10 00:53:37,0.055,21.90,13131776,9.78
2025-05-10 00:53:42,0.159,63.48,13131776,9.78
2025-05-10 00:53:47,0.159,63.48,13410304,9.99
2025-05-10 00:53:53,0.159,63.48,13410304,9.99
2025-05-10 00:53:58,0.159,63.48,13410304,9.99
2025-05-10 00:54:03,0.159,63.48,13410304,9.99
2025-05-10 00:54:08,0.159,63.48,13410304,9.99
2025-05-10 00:54:14,0.208,83.11,13733888,10.23
2025-05-10 00:54:19,0.208,83.11,13733888,10.23
2025-05-10 00:54:24,0.208,83.11,13733888,10.23
2025-05-10 00:54:29,0.208,83.11,13733888,10.23
2025-05-10 00:54:35,0.208,83.11,13733888,10.23
2025-05-10 00:54:40,0.208,83.11,13733888,10.23
2025-05-10 00:54:45,0.157,62.66,13357056,9.95
2025-05-10 00:54:51,0.157,62.66,13357056,9.95
2025-05-10 00:54:56,0.157,62.66,13357056,9.95
2025-05-10 00:55:01,0.157,62.66,13357056,9.95
2025-05-10 00:55:07,0.157,62.66,13357056,9.95
2025-05-10 00:55:12,0.170,68.18,13357056,9.95
2025-05-10 00:55:17,0.170,68.18,13635584,10.16
2025-05-10 00:55:22,0.170,68.18,13635584,10.16
2025-05-10 00:55:28,0.170,68.18,13635584,10.16
2025-05-10 00:55:33,0.170,68.18,13635584,10.16
2025-05-10 00:55:38,0.170,68.18,13635584,10.16
2025-05-10 00:55:43,0.087,34.79,13426688,10.00
2025-05-10 00:55:49,0.087,34.79,13426688,10.00
2025-05-10 00:55:54,0.087,34.79,13426688,10.00
2025-05-10 00:55:59,0.087,34.79,13426688,10.00
2025-05-10 00:56:05,0.087,34.79,13426688,10.00
2025-05-10 00:56:10,0.087,34.79,13426688,10.00
2025-05-10 00:56:15,0.150,59.97,13725696,10.23
2025-05-10 00:56:21,0.150,59.97,13725696,10.23
2025-05-10 00:56:26,0.150,59.97,13725696,10.23
2025-05-10 00:56:31,0.150,59.97,13725696,10.23
2025-05-10 00:56:36,0.150,59.97,13725696,10.23
2025-05-10 00:56:42,0.149,59.47,13725696,10.23
2025-05-10 00:56:47,0.149,59.47,13443072,10.02
2025-05-10 00:56:52,0.149,59.47,13443072,10.02
2025-05-10 00:56:57,0.149,59.47,13443072,10.02
2025-05-10 00:57:03,0.149,59.47,13443072,10.02
2025-05-10 00:57:08,0.149,59.47,13443072,10.02
2025-05-10 00:57:13,0.068,27.29,13930496,10.38
2025-05-10 00:57:20,0.068,27.29,13930496,10.38
2025-05-10 00:57:25,0.068,27.29,13930496,10.38
2025-05-10 00:57:31,0.068,27.29,13930496,10.38
2025-05-10 00:57:36,0.068,27.29,13930496,10.38
2025-05-10 00:57:41,0.068,27.29,13930496,10.38
2025-05-10 00:57:46,0.142,56.90,13950976,10.39
2025-05-10 00:57:52,0.142,56.90,13950976,10.39
2025-05-10 00:57:57,0.142,56.90,13950976,10.39
2025-05-10 00:58:02,0.142,56.90,13950976,10.39
2025-05-10 00:58:08,0.142,56.90,13950976,10.39
2025-05-10 00:58:13,0.043,17.08,13340672,9.94
2025-05-10 00:58:18,0.043,17.08,13340672,9.94
2025-05-10 00:58:23,0.043,17.08,13340672,9.94
2025-05-10 00:58:29,0.043,17.08,13340672,9.94
2025-05-10 00:58:34,0.043,17.08,13340672,9.94
2025-05-10 00:58:39,0.043,17.08,13340672,9.94
2025-05-10 00:58:44,0.092,36.75,13647872,10.17
2025-05-10 00:58:50,0.092,36.75,13647872,10.17
2025-05-10 00:58:55,0.092,36.75,13647872,10.17
2025-05-10 00:59:00,0.092,36.75,13647872,10.17
2025-05-10 00:59:06,0.092,36.75,13647872,10.17
2025-05-10 00:59:11,0.092,36.75,13647872,10.17
2025-05-10 00:59:16,0.068,27.26,13430784,10.01
2025-05-10 00:59:21,0.068,27.26,13430784,10.01
2025-05-10 00:59:27,0.068,27.26,13430784,10.01
2025-05-10 00:59:32,0.068,27.26,13430784,10.01
2025-05-10 00:59:37,0.068,27.26,13430784,10.01
2025-05-10 00:59:43,0.063,25.01,13430784,10.01
2025-05-10 00:59:48,0.063,25.01,13746176,10.24
2025-05-10 00:59:53,0.063,25.01,13746176,10.24
2025-05-10 00:59:58,0.063,25.01,13746176,10.24
2025-05-10 01:00:04,0.063,25.01,13746176,10.24
2025-05-10 01:00:09,0.063,25.01,13746176,10.24
2025-05-10 01:00:15,0.082,32.82,13549568,10.10
2025-05-10 01:00:20,0.082,32.82,13549568,10.10
2025-05-10 01:00:25,0.082,32.82,13549568,10.10
2025-05-10 01:00:30,0.082,32.82,13549568,10.10
2025-05-10 01:00:36,0.082,32.82,13549568,10.10
2025-05-10 01:00:41,0.082,32.82,13549568,10.10
2025-05-10 01:00:46,0.088,35.39,14188544,10.57
2025-05-10 01:00:51,0.088,35.39,14188544,10.57
2025-05-10 01:00:57,0.088,35.39,14188544,10.57
2025-05-10 01:01:02,0.088,35.39,14188544,10.57
2025-05-10 01:01:07,0.088,35.39,14188544,10.57
2025-05-10 01:01:12,0.135,54.02,14188544,10.57
2025-05-10 01:01:18,0.135,54.02,14479360,10.79
2025-05-10 01:01:23,0.135,54.02,14479360,10.79
2025-05-10 01:01:28,0.135,54.02,14479360,10.79
2025-05-10 01:01:33,0.135,54.02,14479360,10.79
2025-05-10 01:01:39,0.135,54.02,14479360,10.79
2025-05-10 01:01:44,0.119,47.54,14155776,10.55
2025-05-10 01:01:49,0.119,47.54,14155776,10.55
2025-05-10 01:01:54,0.119,47.54,14155776,10.55
2025-05-10 01:02:00,0.119,47.54,14155776,10.55
2025-05-10 01:02:05,0.119,47.54,14155776,10.55
2025-05-10 01:02:10,0.119,47.54,14155776,10.55
2025-05-10 01:02:15,0.160,63.98,14393344,10.72
2025-05-10 01:02:21,0.160,63.98,14393344,10.72
2025-05-10 01:02:26,0.160,63.98,14393344,10.72
2025-05-10 01:02:31,0.160,63.98,14393344,10.72
2025-05-10 01:02:36,0.160,63.98,14393344,10.72
2025-05-10 01:02:42,0.157,62.64,14393344,10.72
2025-05-10 01:02:47,0.157,62.64,14680064,10.94
2025-05-10 01:02:52,0.157,62.64,14680064,10.94
2025-05-10 01:02:58,0.157,62.64,14680064,10.94
2025-05-10 01:03:03,0.157,62.64,14680064,10.94
2025-05-10 01:03:08,0.157,62.64,14680064,10.94
2025-05-10 01:03:13,0.165,66.04,14553088,10.84
2025-05-10 01:03:19,0.165,66.04,14553088,10.84
2025-05-10 01:03:24,0.165,66.04,14553088,10.84
2025-05-10 01:03:29,0.165,66.04,14553088,10.84
2025-05-10 01:03:34,0.165,66.04,14553088,10.84
