timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 04:39:14,0.008,3.08,11059200,8.24
2025-05-11 04:39:19,0.008,3.08,11059200,8.24
2025-05-11 04:39:24,0.008,3.08,11059200,8.24
2025-05-11 04:39:30,0.008,3.08,11059200,8.24
2025-05-11 04:39:35,0.008,3.08,10854400,8.09
2025-05-11 04:39:40,0.008,3.08,10854400,8.09
2025-05-11 04:39:45,0.012,4.73,10854400,8.09
2025-05-11 04:39:50,0.012,4.73,10854400,8.09
2025-05-11 04:39:56,0.012,4.73,10854400,8.09
2025-05-11 04:40:01,0.012,4.73,10854400,8.09
2025-05-11 04:40:06,0.012,4.73,11337728,8.45
2025-05-11 04:40:12,0.032,12.69,11337728,8.45
2025-05-11 04:40:17,0.032,12.69,11337728,8.45
2025-05-11 04:40:22,0.032,12.69,11337728,8.45
2025-05-11 04:40:27,0.032,12.69,11337728,8.45
2025-05-11 04:40:32,0.032,12.69,11489280,8.56
2025-05-11 04:40:38,0.032,12.69,11489280,8.56
2025-05-11 04:40:43,0.077,30.84,11489280,8.56
2025-05-11 04:40:48,0.077,30.84,11489280,8.56
2025-05-11 04:40:53,0.077,30.84,11489280,8.56
2025-05-11 04:40:59,0.077,30.84,11489280,8.56
2025-05-11 04:41:04,0.077,30.84,11866112,8.84
2025-05-11 04:41:09,0.077,30.84,11866112,8.84
2025-05-11 04:41:14,0.061,24.32,11866112,8.84
2025-05-11 04:41:19,0.061,24.32,11866112,8.84
2025-05-11 04:41:25,0.061,24.32,11866112,8.84
2025-05-11 04:41:30,0.061,24.32,11866112,8.84
2025-05-11 04:41:35,0.061,24.32,11698176,8.72
2025-05-11 04:41:40,0.062,24.71,11698176,8.72
2025-05-11 04:41:45,0.062,24.71,11698176,8.72
2025-05-11 04:41:51,0.062,24.71,11698176,8.72
2025-05-11 04:41:56,0.062,24.71,11698176,8.72
2025-05-11 04:42:01,0.062,24.71,11698176,8.72
2025-05-11 04:42:06,0.062,24.71,12300288,9.16
2025-05-11 04:42:11,0.071,28.59,12300288,9.16
2025-05-11 04:42:17,0.071,28.59,12300288,9.16
2025-05-11 04:42:22,0.071,28.59,12300288,9.16
2025-05-11 04:42:27,0.071,28.59,12300288,9.16
2025-05-11 04:42:32,0.071,28.59,12103680,9.02
2025-05-11 04:42:38,0.071,28.59,12103680,9.02
2025-05-11 04:42:43,0.036,14.31,12103680,9.02
2025-05-11 04:42:48,0.036,14.31,12103680,9.02
2025-05-11 04:42:53,0.036,14.31,12103680,9.02
2025-05-11 04:42:58,0.036,14.31,12103680,9.02
2025-05-11 04:43:04,0.036,14.31,11857920,8.83
2025-05-11 04:43:09,0.036,14.31,11857920,8.83
2025-05-11 04:43:14,0.063,25.03,11857920,8.83
2025-05-11 04:43:19,0.063,25.03,11857920,8.83
2025-05-11 04:43:25,0.063,25.03,11857920,8.83
2025-05-11 04:43:30,0.063,25.03,11857920,8.83
2025-05-11 04:43:35,0.063,25.03,12152832,9.05
2025-05-11 04:43:40,0.065,26.16,12152832,9.05
2025-05-11 04:43:45,0.065,26.16,12152832,9.05
2025-05-11 04:43:51,0.065,26.16,12152832,9.05
2025-05-11 04:43:56,0.065,26.16,12152832,9.05
2025-05-11 04:44:01,0.065,26.16,12152832,9.05
2025-05-11 04:44:06,0.065,26.16,12210176,9.10
2025-05-11 04:44:11,0.055,21.96,12210176,9.10
2025-05-11 04:44:17,0.055,21.96,12210176,9.10
2025-05-11 04:44:22,0.055,21.96,12210176,9.10
2025-05-11 04:44:27,0.055,21.96,12210176,9.10
2025-05-11 04:44:32,0.055,21.96,12574720,9.37
2025-05-11 04:44:38,0.055,21.96,12574720,9.37
2025-05-11 04:44:43,0.055,21.99,12574720,9.37
2025-05-11 04:44:48,0.055,21.99,12574720,9.37
2025-05-11 04:44:53,0.055,21.99,12574720,9.37
2025-05-11 04:44:58,0.055,21.99,12574720,9.37
2025-05-11 04:45:04,0.055,21.99,12111872,9.02
2025-05-11 04:45:09,0.055,21.99,12111872,9.02
2025-05-11 04:45:14,0.078,31.04,12111872,9.02
2025-05-11 04:45:19,0.078,31.04,12111872,9.02
2025-05-11 04:45:25,0.078,31.04,12111872,9.02
2025-05-11 04:45:30,0.078,31.04,12111872,9.02
2025-05-11 04:45:35,0.078,31.04,12394496,9.23
2025-05-11 04:45:40,0.068,27.02,12394496,9.23
2025-05-11 04:45:46,0.068,27.02,12394496,9.23
2025-05-11 04:45:51,0.068,27.02,12394496,9.23
2025-05-11 04:45:56,0.068,27.02,12394496,9.23
