timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:19:41,0.007,2.86,11091968,8.26
2025-05-11 01:19:46,0.007,2.86,11485184,8.56
2025-05-11 01:19:51,0.007,2.86,11485184,8.56
2025-05-11 01:19:57,0.007,2.86,11485184,8.56
2025-05-11 01:20:02,0.007,2.86,11485184,8.56
2025-05-11 01:20:07,0.007,2.86,11485184,8.56
2025-05-11 01:20:12,0.017,6.70,11485184,8.56
2025-05-11 01:20:18,0.017,6.70,11227136,8.36
2025-05-11 01:20:23,0.017,6.70,11227136,8.36
2025-05-11 01:20:28,0.017,6.70,11227136,8.36
2025-05-11 01:20:33,0.017,6.70,11227136,8.36
2025-05-11 01:20:39,0.017,6.70,11227136,8.36
2025-05-11 01:20:44,0.017,6.91,11735040,8.74
2025-05-11 01:20:49,0.017,6.91,11735040,8.74
2025-05-11 01:20:54,0.017,6.91,11735040,8.74
2025-05-11 01:20:59,0.017,6.91,11735040,8.74
2025-05-11 01:21:05,0.017,6.91,11735040,8.74
2025-05-11 01:21:10,0.017,6.91,11735040,8.74
2025-05-11 01:21:15,0.022,8.61,11264000,8.39
2025-05-11 01:21:21,0.022,8.61,11264000,8.39
2025-05-11 01:21:26,0.022,8.61,11264000,8.39
2025-05-11 01:21:31,0.022,8.61,11264000,8.39
2025-05-11 01:21:36,0.022,8.61,11264000,8.39
2025-05-11 01:21:42,0.022,8.63,11264000,8.39
2025-05-11 01:21:47,0.022,8.63,11812864,8.80
2025-05-11 01:21:52,0.022,8.63,11812864,8.80
2025-05-11 01:21:57,0.022,8.63,11812864,8.80
2025-05-11 01:22:03,0.022,8.63,11812864,8.80
2025-05-11 01:22:08,0.022,8.63,11812864,8.80
2025-05-11 01:22:13,0.010,4.11,11812864,8.80
2025-05-11 01:22:18,0.010,4.11,11460608,8.54
2025-05-11 01:22:24,0.010,4.11,11460608,8.54
2025-05-11 01:22:29,0.010,4.11,11460608,8.54
2025-05-11 01:22:34,0.010,4.11,11460608,8.54
2025-05-11 01:22:39,0.010,4.11,11460608,8.54
2025-05-11 01:22:45,0.039,15.43,11694080,8.71
2025-05-11 01:22:50,0.039,15.43,11694080,8.71
2025-05-11 01:22:55,0.039,15.43,11694080,8.71
2025-05-11 01:23:00,0.039,15.43,11694080,8.71
2025-05-11 01:23:06,0.039,15.43,11694080,8.71
2025-05-11 01:23:11,0.033,13.01,11694080,8.71
2025-05-11 01:23:16,0.033,13.01,11763712,8.76
2025-05-11 01:23:21,0.033,13.01,11763712,8.76
2025-05-11 01:23:27,0.033,13.01,11763712,8.76
2025-05-11 01:23:32,0.033,13.01,11763712,8.76
2025-05-11 01:23:37,0.033,13.01,11763712,8.76
2025-05-11 01:23:42,0.037,14.77,11763712,8.76
2025-05-11 01:23:48,0.037,14.77,11792384,8.79
2025-05-11 01:23:53,0.037,14.77,11792384,8.79
2025-05-11 01:23:58,0.037,14.77,11792384,8.79
2025-05-11 01:24:03,0.037,14.77,11792384,8.79
2025-05-11 01:24:09,0.037,14.77,11792384,8.79
2025-05-11 01:24:14,0.044,17.46,11616256,8.65
2025-05-11 01:24:19,0.044,17.46,11616256,8.65
2025-05-11 01:24:24,0.044,17.46,11616256,8.65
2025-05-11 01:24:30,0.044,17.46,11616256,8.65
2025-05-11 01:24:35,0.044,17.46,11616256,8.65
2025-05-11 01:24:40,0.044,17.46,11616256,8.65
2025-05-11 01:24:45,0.035,14.13,11972608,8.92
2025-05-11 01:24:51,0.035,14.13,11972608,8.92
2025-05-11 01:24:56,0.035,14.13,11972608,8.92
2025-05-11 01:25:01,0.035,14.13,11972608,8.92
2025-05-11 01:25:06,0.035,14.13,11972608,8.92
2025-05-11 01:25:11,0.055,21.99,11972608,8.92
2025-05-11 01:25:17,0.055,21.99,12541952,9.34
2025-05-11 01:25:22,0.055,21.99,12541952,9.34
2025-05-11 01:25:27,0.055,21.99,12541952,9.34
2025-05-11 01:25:32,0.055,21.99,12541952,9.34
2025-05-11 01:25:37,0.055,21.99,12541952,9.34
2025-05-11 01:25:43,0.075,29.98,12541952,9.34
2025-05-11 01:25:48,0.075,29.98,12644352,9.42
2025-05-11 01:25:53,0.075,29.98,12644352,9.42
2025-05-11 01:25:58,0.075,29.98,12644352,9.42
2025-05-11 01:26:04,0.075,29.98,12644352,9.42
