timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 14:13:43,0.014,5.79,12091392,9.01
2025-05-10 14:13:48,0.014,5.79,12091392,9.01
2025-05-10 14:13:54,0.014,5.79,12091392,9.01
2025-05-10 14:13:59,0.014,5.79,12091392,9.01
2025-05-10 14:14:05,0.014,5.79,12091392,9.01
2025-05-10 14:14:10,0.014,5.79,11714560,8.73
2025-05-10 14:14:15,0.025,9.85,11714560,8.73
2025-05-10 14:14:20,0.025,9.85,11714560,8.73
2025-05-10 14:14:26,0.025,9.85,11714560,8.73
2025-05-10 14:14:31,0.025,9.85,11714560,8.73
2025-05-10 14:14:36,0.025,9.85,12324864,9.18
2025-05-10 14:14:42,0.017,6.70,12324864,9.18
2025-05-10 14:14:47,0.017,6.70,12324864,9.18
2025-05-10 14:14:53,0.017,6.70,12324864,9.18
2025-05-10 14:14:58,0.017,6.70,12324864,9.18
2025-05-10 14:15:03,0.017,6.70,12324864,9.18
2025-05-10 14:15:08,0.017,6.70,12136448,9.04
2025-05-10 14:15:14,0.034,13.51,12136448,9.04
2025-05-10 14:15:19,0.034,13.51,12136448,9.04
2025-05-10 14:15:25,0.034,13.51,12136448,9.04
2025-05-10 14:15:30,0.034,13.51,12136448,9.04
2025-05-10 14:15:35,0.034,13.51,12136448,9.04
2025-05-10 14:15:40,0.049,19.65,12521472,9.33
2025-05-10 14:15:46,0.049,19.65,12521472,9.33
2025-05-10 14:15:51,0.049,19.65,12521472,9.33
2025-05-10 14:15:56,0.049,19.65,12521472,9.33
2025-05-10 14:16:01,0.049,19.65,12521472,9.33
2025-05-10 14:16:07,0.049,19.65,12902400,9.61
2025-05-10 14:16:12,0.076,30.54,12902400,9.61
2025-05-10 14:16:17,0.076,30.54,12902400,9.61
2025-05-10 14:16:22,0.076,30.54,12902400,9.61
2025-05-10 14:16:28,0.076,30.54,12902400,9.61
2025-05-10 14:16:33,0.076,30.54,12902400,9.61
2025-05-10 14:16:38,0.076,30.54,13164544,9.81
2025-05-10 14:16:43,0.036,14.34,13164544,9.81
2025-05-10 14:16:49,0.036,14.34,13164544,9.81
2025-05-10 14:16:54,0.036,14.34,13164544,9.81
2025-05-10 14:16:59,0.036,14.34,13164544,9.81
2025-05-10 14:17:04,0.036,14.34,13164544,9.81
2025-05-10 14:17:10,0.036,14.34,12718080,9.48
2025-05-10 14:17:15,0.073,29.28,12718080,9.48
2025-05-10 14:17:20,0.073,29.28,12718080,9.48
2025-05-10 14:17:25,0.073,29.28,12718080,9.48
2025-05-10 14:17:31,0.073,29.28,12718080,9.48
